广工大院一楼带70方花园使用率高 西南北通风采光好,广工大院,黄花岗,3室2厅 ,72.23, 南 北 , 简装 ,7,1991, 塔楼,3,4,4990000.0,"69,085元/平",VR房源 房本满五年 随时看房 
西华路 彩虹桥 陈家祠地铁 精装两室一厅 厅出阳台,西华路,西华路,2室1厅 ,38.36, 东南 , 精装 ,9,1994, 塔楼,5,16,1480000.0,"38,582元/平",VR看装修 房本满五年 
书同巷社区 户型正中层 精装住家 东南向 过五唯一,海珠北路,西门口,3室1厅 ,69.3, 东南 , 精装 ,8,1990, 塔楼,1,9,2530000.0,"36,508元/平",近地铁 VR看装修 房本满五年 
华侨 南向小户型正规两房 安静 近公园,淘金路,淘金,2室1厅 ,53.22, 南 , 简装 ,7,1990, 塔楼,0,7,3400000.0,"63,886元/平",近地铁 VR看装修 房本满五年 
永福西约，商品二房，安静，采光，楼层好。,永福路永福西约,黄花岗,2室2厅 ,68.41, 西北 , 精装 ,7,1995, 板楼,0,15,2100000.0,"30,698元/平",近地铁 VR看装修 房本满五年 
越秀 中楼层 单边位 精装两房 通风采光好,西华路,西华路,2室1厅 ,50.31, 东 , 精装 ,9,1994, 塔楼,1,4,1950000.0,"38,760元/平",近地铁 VR看装修 房本满五年 
华侨 南向小户型正规两房 安静 近公园,淘金路,淘金,2室1厅 ,53.22, 南 , 简装 ,7,1990, 塔楼,0,7,3400000.0,"63,886元/平",近地铁 VR看装修 房本满五年 
西华路 彩虹桥站250米，住家精装修三房，满五唯一,西华路,西华路,3室1厅 ,64.78, 东南 , 精装 ,7,1993, 塔楼,14,30,1830000.0,"28,250元/平",近地铁 VR房源 房本满五年 随时看房 
满五唯一 电梯 中楼层 南向无遮挡  视野好,太和岗路,淘金,2室1厅 ,55.8, 南 , 简装 ,8,1995, 塔楼,0,30,3290000.0,"58,961元/平",VR房源 房本满五年 随时看房 
署前，小区环境，环境好，格局方正，实用面积大,庙前直街,东山口,3室1厅 ,101.35, 南 , 简装 ,7,1990, 塔楼,2,29,6800000.0,"67,095元/平",VR看装修 房本满五年 随时看房 
各付各税 铁一 低楼层 南北向 精装两房 户型靓,福今路,东山口,2室1厅 ,65.0, 南 北 , 精装 ,9,1988, 塔楼,3,25,4100000.0,"63,077元/平",近地铁 VR房源 房本满两年 随时看房 
淘金黄花岗公园后门原装电梯两房 新装修有华侨位,淘金路,淘金,2室1厅 ,55.96, 西南 , 精装 ,15,1985, 塔楼,0,19,3420000.0,"61,116元/平",近地铁 VR看装修 房本满两年 随时看房 
农讲所 条形砖 07年楼 厅出阳台 全明两房 看房方便,俊逸阁,农讲所,2室1厅 ,75.88, 东 北 , 简装 ,22,2005, 塔楼,0,18,4250000.0,"56,010元/平",近地铁 VR看装修 房本满两年 
淘金家园峯璟 次新房 西南向户型 视野开阔 看房便利,淘金家园峯璟,淘金,3室1厅 ,118.44, 西南 , 精装 ,30,2013, 塔楼,1,23,11500000.0,"97,096元/平",近地铁 VR房源 房本满五年 
电视台大院 东南向 安静 电梯 精装三房  带平台花园,电视台大院,淘金,3室2厅 ,73.2, 东南 , 精装 ,25,1991, 塔楼,1,17,5390000.0,"73,634元/平",近地铁 VR看装修 房本满五年 
黄花岗81号大院 电梯三房 南北采光好,先烈中路81号大院,黄花岗,3室1厅 ,95.72, 南 北 , 简装 ,9,2000, 塔楼,1,27,5200000.0,"54,326元/平",VR看装修 房本满五年 
满五唯一安静视野好南北对流一梯一户急卖看房方便！！,麓苑路,淘金,3室2厅 ,93.86, 南 北 , 简装 ,9,1993, 板楼,101, 7个月以前发布,3280000.0,"34,946元/平",近地铁 VR房源 房本满五年 
药检所大院 环境好 电梯协商中 生活交通便利,广东省药物研究所甜水横巷分所,西门口,3室2厅 ,112.18, 东 西 , 精装 ,9,1988, 塔楼,25, 7个月以前发布,3480000.0,"31,022元/平",近地铁 VR看装修 房本满五年 
大德路濠畔街，中层东南向，视野开阔，采光好,大德路,解放南,3室1厅 ,70.72, 东南 , 简装 ,9,1993, 塔楼,12, 一年前发布,2330000.0,"32,947元/平",近地铁 VR看装修 房本满五年 随时看房 
建设商圈   东南向三房  装修温馨舒适 视野开阔,建设二马路,建设路,3室1厅 ,58.12, 东南 北 , 精装 ,7,1992, 板楼,19, 6个月以前发布,2800000.0,"48,177元/平",近地铁 VR看装修 房本满五年 随时看房 
淘金华庭 高层 三房 二卫二厅 视野开阔 云山景观,淘金华庭,淘金,3室2厅 ,124.67, 北 , 简装 ,32,2002, 塔楼,23, 11个月以前发布,7990000.0,"64,090元/平",近地铁 VR看装修 房本满五年 随时看房 
富力御龙庭 高层 南向两房 看小蛮腰 黄花岗公园,富力御龙庭,淘金,2室1厅 ,79.77, 东南 , 精装 ,28,2004, 塔楼,13, 6个月以前发布,6480000.0,"81,234元/平",近地铁 VR房源 房本满五年 随时看房 
此房满五两房 交通便利 中高层视野,富力御龙庭,淘金,2室1厅 ,76.67, 北 , 简装 ,27,2004, 塔楼,3, 5个月以前发布,6180000.0,"80,606元/平",近地铁 VR房源 房本满五年 随时看房 
华侨新村团结路大四房，东南北单边，户型方正通风对流,华侨新村,淘金,4室2厅 ,129.12, 南 , 精装 ,4,2000, 板楼,52, 5个月以前发布,7980000.0,"61,803元/平",近地铁 VR看装修 房本满五年 随时看房 
方正实用，朝向好，采光好，视野好，配套设施齐全,永福路永福西约,黄花岗,2室1厅 ,44.48, 东 , 其他 ,6,1995, 塔楼,3, 2个月以前发布,1820000.0,"40,918元/平",近地铁 VR看装修 房本满五年 随时看房 
中 星，电梯三房，环境安静，无遮挡，采光好,太和岗路22号大院,黄花岗,3室1厅 ,56.35, 东北 , 精装 ,8,1988, 板塔结合,25, 3个月以前发布,2900000.0,"51,465元/平",VR看装修 房本满五年 随时看房 
"准电梯，省教育厅大院，中低层,户型好，三面单边。",北京路,北京路,3室1厅 ,68.86, 东南 , 精装 ,8,1999, 塔楼,4, 1个月以前发布,3650000.0,"53,007元/平",VR房源 房本满五年 随时看房 
小区加装电梯楼，大三房实用率高，安静不吵，户型方正,碧翠苑,麓景,3室1厅 ,97.69, 北 , 简装 ,9,1998, 塔楼,11, 2个月以前发布,3400000.0,"34,804元/平",VR看装修 房本满五年 随时看房 
满五年少重税，户口可迁，精装修保养好大两房,富力御龙庭,淘金,2室1厅 ,85.84, 西 西北 , 精装 ,27,2004, 塔楼,58, 一年前发布,6360000.0,"74,092元/平",近地铁 VR房源 房本满五年 随时看房 
东园新村 3房1厅带主套 南北向 新装修  大院管理,东园新村,东山口,3室1厅 ,65.36, 南 北 , 精装 ,7,1980, 板楼,136, 5个月以前发布,4500000.0,"68,850元/平",VR看装修 房本满两年 随时看房 
省政协满五唯一，不入证50方，电梯南北三房，精致装修,省政协宿舍,五羊新城,3室2厅 ,72.7, 南 北 , 精装 ,8,1989, 塔楼,9, 1个月以前发布,4480000.0,"61,624元/平",VR看装修 房本满五年 随时看房 
海鹰大厦 1室0厅 北,海鹰大厦,解放南,1室0厅 ,26.84, 北 , 其他 ,12,1985, 塔楼,0, 1个月以前发布,920000.0,"34,278元/平",近地铁 VR看装修 房本满五年 随时看房 
南向厅出阳台 全明屋 单边位 方正三房精装 有位装电梯,东华西路,东川路,3室2厅 ,80.72, 南 北 , 精装 ,9,1992, 塔楼,3,22,3700000.0,"45,838元/平",VR看装修 房本满五年 
电视台大院，电梯直达，带品质精装修，满五年商品房,电视台大院,淘金,3室1厅 ,76.55, 南 西 北 , 精装 ,9,1991, 塔楼,0,18,6120000.0,"79,948元/平",近地铁 VR看装修 房本满五年 
东环路6号大院 已加装电梯 大院里面 安静不吵,东环路6号大院,环市东,3室1厅 ,97.02, 东南 , 简装 ,9,1997, 塔楼,0,27,6660000.0,"68,646元/平",近地铁 VR看装修 房本满五年 
此房满五年税费低，总嫁低，刚需入手，高档小区,东湖御苑,东湖,3室1厅 ,123.46, 南 , 精装 ,51,2005, 塔楼,14, 2个月以前发布,7800000.0,"63,179元/平",近地铁 VR房源 房本满五年 随时看房 
中曦大厦 电梯三房两厅 东南西朝向,中曦大厦,北京路,3室1厅 ,103.33, 东南 西 , 精装 ,32,2001, 塔楼,146, 4个月以前发布,7000000.0,"67,745元/平",近地铁 VR房源 房本满五年 随时看房 
越秀区全明电梯高层3房智能新装可住6口之家,明泉花园,机场路,3室1厅 ,71.23, 南 , 精装 ,9,2000, 塔楼,33, 2个月以前发布,1850000.0,"25,973元/平",VR看装修 房本满五年 随时看房 
满五唯一税费少，生活配套齐全，装修保养好,淘金路,淘金,2室1厅 ,50.25, 北 , 精装 ,8,1990, 塔楼,3, 3个月以前发布,2990000.0,"59,503元/平",近地铁 VR看装修 房本满五年 随时看房 
小北 原电梯 楼龄新 双阳台 三房带车位 精装修 近公园,国龙大厦,小北,3室2厅 ,127.84, 西北 东北 , 精装 ,30,2005, 塔楼,52, 4个月以前发布,6100000.0,"47,716元/平",近地铁 VR看装修 房本满两年 随时看房 
骏朗轩精装三房，标准户型，业主诚意出,骏朗轩,建设路,3室1厅 ,109.42, 东北 , 简装 ,16,2004, 塔楼,24, 10个月以前发布,8380000.0,"76,586元/平",近地铁 VR看装修 房本满五年 随时看房 
十七中旁 加装电梯 马赛克外墙楼龄新  业主诚意出,小北路,小北,3室1厅 ,84.51, 南 北 , 简装 ,9,1996, 板楼,11, 5个月以前发布,3500000.0,"41,416元/平",近地铁 VR看装修 房本满五年 随时看房 
大德路 方正三房 有电梯位 低首付 轻松上车,大德路,解放南,3室2厅 ,74.02, 东北 , 简装 ,9,1993, 塔楼,19, 3个月以前发布,2000000.0,"27,020元/平",近地铁 VR看装修 房本满两年 随时看房 
淘金家园2房1厅，楼层好光线足,淘金家园一期,淘金,2室1厅 ,61.74, 北 , 简装 ,9,2003, 塔楼,40, 8个月以前发布,4130000.0,"66,894元/平",VR房源 房本满五年 随时看房 
富力物业小区，小区建设独特。环境优美，旁边是公园,富力御龙庭,淘金,2室1厅 ,75.74, 东北 , 精装 ,27,2004, 塔楼,3, 4个月以前发布,6080000.0,"80,275元/平",近地铁 VR房源 房本满五年 随时看房 
南向三房，格局方正通风采光好。,淘金家园二三期,淘金,3室1厅 ,108.31, 东南 , 简装 ,28,2005, 塔楼,9, 6个月以前发布,11230000.0,"103,684元/平",VR房源 房本满五年 随时看房 
淘金路，电梯三房，南北对流，少有放卖,淘金路,淘金,3室1厅 ,65.57, 南 , 精装 ,8,1990, 塔楼,13, 3个月以前发布,4060000.0,"61,919元/平",近地铁 VR房源 房本满五年 随时看房 
麓湖阁 西南向3房 中层采光好 视野开阔 随时看房,麓湖阁,淘金,3室2厅 ,96.43, 西南 , 精装 ,28,2001, 板塔结合,35, 9个月以前发布,5300000.0,"54,963元/平",VR看装修 房本满五年 随时看房 
越秀区麓湖公园 实用3房 户型方正 采光好 产权清晰,下塘西路,麓景,3室1厅 ,72.31, 东 西 , 精装 ,9,1997, 塔楼,101, 9个月以前发布,2500000.0,"34,574元/平",近地铁 VR房源 房本满五年 随时看房 
水荫直街 满五唯一 物业 准电梯南向三房 全新装修,水荫直街,水荫,3室1厅 ,52.16, 南 , 精装 ,8,1992, 塔楼,0,17,3000000.0,"57,516元/平",近地铁 VR看装修 房本满五年 
精选两房、满五唯一、户型方正带阳台,农林下横路,东山口,2室1厅 ,49.35, 东北 , 其他 ,8,1998, 塔楼,1,23,2760000.0,"55,928元/平",VR看装修 房本满五年 
北秀花园 2室2厅 东北,北秀花园,小北,2室2厅 ,73.53, 东北 , 简装 ,26,1999, 塔楼,0,25,5700000.0,"77,520元/平",近地铁 VR房源 房本满五年 
大沙头低层，朝向好，大院管理，安静舒适,大沙头路,东湖,2室1厅 ,58.13, 南 , 精装 ,9,1989, 塔楼,0,23,2880000.0,"49,545元/平",近地铁 VR看装修 房本满五年 
楼龄新，朝向好，近市场和黄花公园,淘金华庭,淘金,2室1厅 ,59.36, 南 东南 , 精装 ,32,2002, 塔楼,1,18,4300000.0,"72,440元/平",VR看装修 房本满两年 
电梯高层东南单边位南北对流 窗外树影婆娑,水荫直街,水荫,3室1厅 ,81.89, 南 北 , 简装 ,8,1990, 塔楼,1,19,4850000.0,"59,226元/平",房本满五年 
水荫直街 方正两房 加装电梯 单边位,水荫直街,水荫,2室1厅 ,58.35, 南 , 简装 ,8,1992, 板楼,0, 1个月以前发布,3650000.0,"62,554元/平",近地铁 VR看装修 房本满五年 随时看房 
中山一路 3室1厅 南,中山一路,东风东,3室1厅 ,71.0, 南 , 其他 ,9,1990, 塔楼,4, 1个月以前发布,3950000.0,"55,634元/平",近地铁 VR看装修 房本满五年 随时看房 
地铁站旁 加装电梯已公示 东南向三房 靓户型 光线刺眼,光塔路,西门口,3室1厅 ,71.15, 东南 , 简装 ,8,1993, 塔楼,36, 6个月以前发布,2450000.0,"34,435元/平",近地铁 VR看装修 房本满五年 随时看房 
公元前商圈 低层 复式三房 拎包入住,解放中路,北京路,3室2厅 ,33.77, 南 , 精装 ,9,1992, 塔楼,15, 3个月以前发布,1590000.0,"47,084元/平",VR看装修 房本满两年 随时看房 
低总 正规精装修小两房 南北对流,执信南路,东山口,2室1厅 ,39.53, 南 北 , 精装 ,9,1990, 塔楼,91, 11个月以前发布,2280000.0,"57,678元/平",近地铁 VR看装修 房本满五年 随时看房 
半封闭式大院管理，加装电梯带车位，双阳台实用率高,竹丝岗四马路,东山口,2室1厅 ,66.59, 南 北 , 精装 ,8,1992, 板楼,11, 2个月以前发布,4080000.0,"61,271元/平",近地铁 VR看装修 房本满五年 随时看房 
近淘金地铁满五年税费低，简装两房，看房方便,帝景大厦,淘金,2室1厅 ,77.66, 西 , 精装 ,25,1995, 塔楼,3, 7个月以前发布,4300000.0,"55,370元/平",近地铁 VR看装修 房本满五年 随时看房 
东华东路 长庚门前街 楼梯高层 通风采光好,东华东路,东山口,3室1厅 ,55.25, 东 , 精装 ,9,1990, 塔楼,26, 1个月以前发布,1990000.0,"36,019元/平",近地铁 VR房源 房本满五年 随时看房 
满五免重税 业主诚心放卖 中等楼层 视野通透性好,海中宝大厦,解放南,2室1厅 ,70.45, 西北 东北 , 简装 ,28,2006, 塔楼,1,10,3100000.0,"44,003元/平",近地铁 VR看装修 房本满五年 
大院管理，有车位使用，电梯平层入户，业主诚心放卖,广东省药物研究所甜水横巷分所,西门口,2室1厅 ,56.21, 南 北 , 简装 ,7,1988, 塔楼,2,16,2300000.0,"40,918元/平",近地铁 VR看装修 房本满五年 
美东大厦 3室1厅 西北,美东大厦,西门口,3室1厅 ,91.4, 西北 , 精装 ,28,2000, 塔楼,1,16,4200000.0,"45,952元/平",近地铁 VR房源 房本满五年 
电梯25楼 落地窗大飘台；楼下地铁,锦源国际公寓,北京路,2室1厅 ,81.96, 西北 , 简装 ,37,1997, 塔楼,2,8,2500000.0,"30,503元/平",VR看装修 房本满五年 
德兴苑 三房两厅 精装修 厅出阳台 地鉄六号线,德兴苑,人民路,3室1厅 ,78.28, 北 南 , 精装 ,24,1998, 塔楼,3, 1个月以前发布,3250000.0,"41,518元/平",近地铁 VR房源 房本满五年 随时看房 
原道路中层三房东南朝向 框架结构交通生活配套便利,华侨新村,淘金,3室1厅 ,95.82, 东南 , 简装 ,9,1992, 板楼,33, 6个月以前发布,4500000.0,"46,964元/平",近地铁 VR看装修 房本满五年 随时看房 
越秀区 圣安苑 过五年 地铁站500米 采光好 间隔方正,圣安苑,桂花岗,2室2厅 ,71.0, 东南 , 简装 ,8,1995, 塔楼,21, 2个月以前发布,1380000.0,"19,437元/平",近地铁 VR看装修 房本满五年 随时看房 
南北对流，实用三房，全屋精装，西华美食一条街,人民北路,西华路,3室2厅 ,58.07, 北 南 , 精装 ,7,1990, 板楼,4, 2个月以前发布,2230000.0,"38,402元/平",VR看装修 房本满五年 随时看房 
越秀北路 精致3房 楼梯低层 光线好 看房方便,越秀北路,小北,3室1厅 ,52.71, 东 , 精装 ,5,1990, 塔楼,121, 一年前发布,1850000.0,"35,098元/平",近地铁 VR看装修 房本满两年 随时看房 
原装电梯两房，户型方正实用双阳台，南向视野开阔,广信美景大厦,五羊新城,2室1厅 ,75.53, 南 , 简装 ,25,1993, 塔楼,1, 1个月以前发布,4380000.0,"57,991元/平",近地铁 VR看装修 房本满五年 随时看房 
文德广场 电梯三房两厅 精致住家装修,文德广场,越秀南,3室2厅 ,74.0, 东 西 , 精装 ,29,2000, 塔楼,35, 5个月以前发布,4400000.0,"59,460元/平",近地铁 VR看装修 房本满五年 随时看房 
农讲所 精装电梯三房带主套 厅出阳台 南北通透 全明屋,恒雅苑,农讲所,3室1厅 ,97.8, 南 北 , 精装 ,9,2000, 塔楼,5, 1个月以前发布,4850000.0,"49,592元/平",近地铁 VR看装修 房本满五年 随时看房 
流花雅轩 2室1厅 西,流花雅轩,人民北,2室1厅 ,64.63, 西 , 精装 ,14,2000, 塔楼,2, 1个月以前发布,3400000.0,"52,608元/平",近地铁 VR房源 房本满五年 随时看房 
广州大学宿舍北区 东南采光 满五年,广州大学宿舍,桂花岗,2室1厅 ,57.15, 东南 , 简装 ,9,1992, 塔楼,202, 10个月以前发布,1770000.0,"30,972元/平",VR看装修 房本满五年 随时看房 
广州大里 优静环境 户型方正电梯三房,广州大学宿舍,桂花岗,3室2厅 ,79.08, 南 , 其他 ,9,1992, 塔楼,36, 3个月以前发布,2730000.0,"34,523元/平",VR房源 房本满五年 随时看房 
沙河顶地铁口200米，框架小三房,水荫路,水荫,3室1厅 ,57.84, 南 , 精装 ,6,1993, 板楼,119, 5个月以前发布,1890000.0,"32,677元/平",近地铁 VR看装修 房本满两年 随时看房 
小北路 住家精装修通风采光窗户多 南北向 稀有单位,机关宿舍,小北,3室1厅 ,70.36, 南 , 精装 ,7,1990, 塔楼,17, 3个月以前发布,5080000.0,"72,201元/平",近地铁 VR看装修 房本满五年 随时看房 
小北电梯房 户型方正，视野开阔，采光充足，3房2卫,国龙大厦,小北,3室2厅 ,108.34, 西 西北 北 , 简装 ,30,2005, 塔楼,24, 2个月以前发布,4990000.0,"46,059元/平",近地铁 VR看装修 房本满五年 随时看房 
东华东路 长庚门前街 楼梯高层 通风采光好,东华东路,东山口,3室1厅 ,55.25, 东 , 精装 ,9,1990, 塔楼,26, 1个月以前发布,1990000.0,"36,019元/平",近地铁 VR房源 房本满五年 随时看房 
拥翠小区，实用两房，通风采光好，配套完善，出行方便,拥翠小区,建设路,2室1厅 ,45.36, 东 西 , 精装 ,7,2000, 板楼,12, 3个月以前发布,2340000.0,"51,588元/平",近地铁 VR房源 房本满五年 随时看房 
波尔多庄园原装电梯高层两房  精装修 小区管理 过五年,波尔多庄园,黄花岗,2室1厅 ,46.48, 东南 , 精装 ,22,2004, 塔楼,45, 7个月以前发布,3500000.0,"75,302元/平",VR看装修 房本满五年 随时看房 
珠城旁 住家精装电梯三房安静舒适 10米地铁口置换必卖,深华大厦,五羊新城,3室1厅 ,91.78, 东北 , 精装 ,26,1993, 塔楼,39, 4个月以前发布,5700000.0,"62,106元/平",近地铁 VR看装修 房本满五年 随时看房 
北京路仰忠街大院方正两房 可入文德路,文明路,农讲所,2室1厅 ,48.73, 西南 , 简装 ,9,1990, 塔楼,24, 6个月以前发布,3100000.0,"63,616元/平",VR房源 房本满五年 随时看房 
东山100 楼龄新 小区管理  税费少,海印集团中心,东湖,2室2厅 ,83.31, 西南 , 简装 ,39,2013, 塔楼,28, 6个月以前发布,5700000.0,"68,420元/平",近地铁 VR看装修 房本满五年 随时看房 
望珠江 原装电梯楼 珠江边公园配套齐全 精装修,东华南路,东湖,3室2厅 ,102.51, 南 北 , 精装 ,19,2000, 塔楼,1, 1个月以前发布,5190000.0,"50,630元/平",近地铁 VR房源 房本满五年 随时看房 
朝天路两房 有电梯  光塔路社区环境  框架结构,朝天路,西门口,2室1厅 ,47.18, 南 西 , 简装 ,9,1990, 塔楼,0, 1个月以前发布,2320000.0,"49,174元/平",VR看装修 房本满五年 随时看房 
五羊华轩 原装电梯三房  安静不吵,五羊华轩,五羊新城,3室2厅 ,84.13, 东北 , 简装 ,24,2004, 塔楼,2, 5个月以前发布,6300000.0,"74,885元/平",近地铁 VR看装修 房本满五年 随时看房 
电梯复式三房 厅出30方私家平台花园 户型实用方正,银山大厦,公园前,3室1厅 ,97.89, 北 , 简装 ,24,1999, 塔楼,8, 2个月以前发布,5500000.0,"56,186元/平",近地铁 VR房源 房本满五年 随时看房 
西元岗小区 铁一电梯一房一厅 住家装修,西元岗小区,杨箕,1室1厅 ,33.43, 东 西 , 简装 ,8,1993, 塔楼,26, 一年前发布,3200000.0,"95,723元/平",近地铁 VR看装修 房本满五年 随时看房 
五羊小区 东南向两房 装修保养好,五羊小区,五羊新城,2室1厅 ,61.78, 东南 , 精装 ,8,1986, 塔楼,5, 3个月以前发布,3550000.0,"57,462元/平",VR看装修 房本满五年 随时看房 
电梯框架 东南向 两房，双阳台！,先烈中路81号大院,黄花岗,2室2厅 ,56.64, 东南 , 简装 ,9,2000, 板楼,3, 1个月以前发布,2990000.0,"52,790元/平",近地铁 VR看装修 房本满五年 随时看房 
农讲所电梯两房 厅出阳台 东南朝向 通风采光好,仓边路,农讲所,2室1厅 ,49.79, 南 , 其他 ,9,1996, 塔楼,1, 1个月以前发布,2250000.0,"45,190元/平",近地铁 VR房源 房本满五年 随时看房 
越秀区物业 低层一房一厅 有阳台  采光好 明泉花园,明泉花园,机场路,1室1厅 ,40.0, 东 , 简装 ,9,2000, 塔楼,16, 6个月以前发布,840000.0,"21,000元/平",VR看装修 房本满五年 随时看房 
此房采光通风好 装修保养好 方正两房全部有窗户,越秀北路,小北,2室1厅 ,41.44, 东 西 北 , 精装 ,9,1990, 塔楼,8, 1个月以前发布,1790000.0,"43,195元/平",近地铁 VR房源 房本满五年 随时看房 
带管道煤气可明火南向 户型方正 带大阳台视野开阔,广东国际大厦,淘金,1室2厅 ,87.41, 西南 , 简装 ,35,1990, 塔楼,1, 3个月以前发布,1338000.0,"15,308元/平",近地铁 房本满五年 随时看房 
彩虹桥地铁200米 南北对流户型 通风采光好中楼层,西华路,西华路,2室1厅 ,60.68, 南 北 , 简装 ,7,1993, 塔楼,183, 7个月以前发布,1830000.0,"30,159元/平",VR看装修 房本满五年 随时看房 
中层精装修单位 商品房满五年唯一单位 楼距宽敞光线足,惠福西路,解放南,2室1厅 ,42.32, 南 北 , 精装 ,7,1990, 塔楼,113, 10个月以前发布,1160000.0,"27,411元/平",近地铁 VR看装修 房本满五年 随时看房 
高层南向两房，无遮挡视野开阔，,五羊小区,五羊新城,2室1厅 ,52.03, 南 西南 , 简装 ,9,1986, 塔楼,1, 1个月以前发布,2550000.0,"49,011元/平",近地铁 VR看装修 房本满五年 随时看房 
恒福苑，电梯中层，南北通透，满五免增值税,恒福苑,淘金,2室1厅 ,59.01, 南 北 , 简装 ,9,1990, 塔楼,2, 1个月以前发布,2860000.0,"48,467元/平",VR看装修 房本满五年 随时看房 
桂花岗 雕塑公园旁 等于2楼 南北对流，环境好,桂花岗,桂花岗,2室1厅 ,62.54, 南 北 , 简装 ,9,1996, 塔楼,8, 1个月以前发布,1330000.0,"21,267元/平",VR房源 房本满两年 随时看房 
五羊小区 证满5年 东向安静2房 楼下地铁 采光通风好,五羊小区,五羊新城,2室1厅 ,59.38, 东 , 简装 ,8,1986, 塔楼,29, 2个月以前发布,3450000.0,"58,101元/平",近地铁 VR看装修 房本满五年 随时看房 
广工大院中楼层框架两房 采光通风好,广工大院,黄花岗,2室1厅 ,53.6, 南 北 , 简装 ,9,1991, 塔楼,2, 2个月以前发布,3150000.0,"58,769元/平",近地铁 VR看装修 房本满两年 随时看房 
华秀苑 2室1厅 东,华秀苑,机场路,2室1厅 ,64.8, 东 , 简装 ,14,1997, 塔楼,2, 3个月以前发布,1650000.0,"25,463元/平",近地铁 VR看装修 房本满五年 随时看房 
低层方正两房 精致装修保养干净 近小北,童心路,麓景,2室1厅 ,40.13, 北 , 精装 ,8,2000, 塔楼,217, 7个月以前发布,1260000.0,"31,398元/平",近地铁 VR看装修 房本满两年 随时看房 
海珠中精装中层东西向小三房，距离地铁500米。,海珠中路,西门口,3室1厅 ,47.2, 东 西 , 精装 ,6,1995, 塔楼,55, 一年前发布,1500000.0,"31,780元/平",近地铁 VR看装修 房本满两年 
原装电梯，农讲所地铁站，近北京路商圈，全明屋大阳台,文德雅轩,越秀南,1室1厅 ,54.6, 北 , 精装 ,24,2005, 塔楼,106, 3个月以前发布,3650000.0,"66,850元/平",VR房源 房本满五年 随时看房 
市府机关大院  少有放盘  低层三房  大院管理  东风西,市府机关宿舍大院,盘福,3室2厅 ,83.47, 南 , 精装 ,6,1985, 板楼,2, 1个月以前发布,3980000.0,"47,682元/平",VR看装修 房本满两年 
淘金板块 恒华阁 电梯大3房2厅 满五年 东向望珠城夜景,恒华阁,淘金,3室2厅 ,119.48, 东 , 精装 ,29,2005, 塔楼,18, 3个月以前发布,7500000.0,"62,773元/平",VR看装修 房本满五年 
