低密度舒适小区 优质配套 业主很诚意,光大花园中海锦榕湾,工业大道北,3室2厅 ,109.59, 南 , 简装 ,33,2010, 塔楼,1,7,8600000.0,"78,475元/平",VR看装修 房本满五年 随时看房 
保利天悦二期东南单边户，三房两卫，中楼层视野开阔,保利天悦公寓,万胜围,3室2厅 ,133.55, 南 , 精装 ,34,2016, 塔楼,0,6,8450000.0,"63,273元/平",房本满两年 
基建新村 低层两房，过五唯一 精装修全明屋 格局方正,基建新村,沙园,2室1厅 ,51.55, 南 北 , 精装 ,5,1998, 板楼,6,24,1480000.0,"28,710元/平",近地铁 VR看装修 房本满五年 随时看房 
瑞宝花园电梯两房 间隔方正使用率高 安静望花园,瑞宝花园,东晓南,2室1厅 ,67.25, 北 , 简装 ,9,1998, 塔楼,1,18,2400000.0,"35,688元/平",近地铁 VR看装修 房本满五年 随时看房 
瑞宝花园 南向电梯3房 采光通风好 配套齐全 交通便利,瑞宝花园,东晓南,3室1厅 ,81.0, 南 , 简装 ,9,1998, 塔楼,9,24,2800000.0,"34,568元/平",近地铁 VR看装修 房本满五年 随时看房 
南 向 电 梯  方 正 实 用 两 房,荔福路,沙园,2室1厅 ,66.68, 南 , 精装 ,9,1992, 塔楼,3,19,2480000.0,"37,193元/平",VR房源 房本满五年 随时看房 
满五唯一 高层二房 户型方正 通风采光好 诚心放卖,江景苑,滨江东,2室1厅 ,61.83, 东 西南 北 , 精装 ,9,1997, 塔楼,2,24,2100000.0,"33,965元/平",近地铁 VR看装修 房本满五年 随时看房 
小区环境安静 适合刚需置换客户 装修保养好,保利海棠花园,江燕路,3室1厅 ,108.5, 东 , 其他 ,11,2008, 塔楼,0,19,6800000.0,"62,673元/平",近地铁 VR看装修 房本满五年 随时看房 
可逸豪苑 南向三房 全新装修 越秀物业,可逸豪苑,宝岗,3室1厅 ,97.5, 南 , 其他 ,32,2010, 塔楼,8,20,5880000.0,"60,308元/平",近地铁 VR看装修 房本满五年 随时看房 
大品牌开发商管理好 东南向 户型实用 高层视野开阔,芭堤水岸,滨江东,2室2厅 ,84.63, 东南 , 精装 ,33,2006, 塔楼,3,29,6660000.0,"78,696元/平",近地铁 VR房源 房本满五年 随时看房 
鸣泉大宅，尊贵身份的象征，一梯一户入门，江景开阔,珠江帝景苑,滨江东,4室2厅 ,256.96, 南 北 , 精装 ,18,2007, 板楼,3,27,14030000.0,"54,593元/平",近地铁 VR看装修 房本满五年 随时看房 
花园小区 近地铁 户型方正实用三房 看房方便,穗发花园,新港西,3室1厅 ,69.31, 西 , 精装 ,9,1999, 塔楼,72, 4个月以前发布,2100000.0,"30,299元/平",近地铁 VR看装修 房本满五年 随时看房 
小区花园，原装电梯三房，东南向，看房方便,宝岗大厦,宝岗,4室1厅 ,100.56, 东南 南 , 其他 ,31,1999, 塔楼,43, 4个月以前发布,3400000.0,"33,811元/平",VR房源 房本满五年 随时看房 
改善优选 总忦低电梯三房 东向带平台花园,海印南苑,东晓路,3室2厅 ,96.08, 东 , 其他 ,9,2000, 塔楼,10, 2个月以前发布,3800000.0,"39,551元/平",VR看装修 房本满五年 随时看房 
中大地铁站 富景花园电梯高层三房带主套，产权清晰，,富景花园,新港西,3室1厅 ,100.72, 北 , 简装 ,32,2003, 塔楼,78, 7个月以前发布,4400000.0,"43,686元/平",近地铁 VR房源 房本满两年 随时看房 
南北对流望湖景 唯一中楼层 三房带主套 诚心出让,珠江帝景苑,滨江东,3室2厅 ,100.89, 东南 , 简装 ,20,2007, 塔楼,8, 1个月以前发布,5510000.0,"54,593元/平",近地铁 VR房源 房本满五年 随时看房 
悦涛轩 温馨三房带主套 南北对流通风好 有钥匙 随时看,珠江帝景苑,滨江东,3室1厅 ,100.84, 东 东南 北 , 精装 ,20,2007, 塔楼,7, 1个月以前发布,5510000.0,"54,593元/平",近地铁 VR房源 房本满五年 随时看房 
鹭江地铁口三房户型，马赛克外墙，大院管理,下渡路,中大,3室1厅 ,67.7, 北 , 精装 ,6,1999, 暂无数据,23, 5个月以前发布,2490000.0,"36,780元/平",近地铁 VR看装修 房本满五年 随时看房 
中海名都 西南向3房 满五年 A6栋安静不吵 诚心卖,中海名都,滨江中,3室2厅 ,106.86, 西南 , 精装 ,38,2003, 塔楼,74, 一年前发布,8050000.0,"75,333元/平",VR看装修 房本满五年 随时看房 
电梯南向三房 大院管理 安静不吵 格局方正,金乐大厦,中大,3室2厅 ,124.75, 东南 , 精装 ,17,1999, 塔楼,2, 1个月以前发布,4290000.0,"34,389元/平",VR房源 房本满五年 随时看房 
穗发花园 双地铁物业 可加装电梯 中层3房,穗发花园,新港西,3室1厅 ,69.37, 北 , 简装 ,7,1999, 塔楼,17, 8个月以前发布,2280000.0,"32,868元/平",近地铁 VR房源 房本满五年 随时看房 
哇 中大校长楼 楼栋位置佳 大三房两卫 快来看吧,中山大学宿舍,中大,3室2厅 ,102.0, 南 , 其他 ,15,2000, 塔楼,2, 1个月以前发布,8500000.0,"83,334元/平",近地铁 VR看装修 房本满五年 随时看房 
高楼层，西南向安静望小区花园，看房方便,嘉仕花园东区,滨江东,3室2厅 ,124.25, 西南 , 精装 ,33,2006, 塔楼,10, 2个月以前发布,8080000.0,"65,031元/平",VR房源 房本满五年 随时看房 
通透格局好，采光充足，校园里面，很安静舒适,中山大学宿舍,中大,3室2厅 ,67.63, 南 北 , 简装 ,6,1985, 塔楼,55, 5个月以前发布,3980000.0,"58,850元/平",近地铁 VR看装修 房本满五年 随时看房 
滨江东路地铁 东晓花苑 电梯三房 精装修 厅出阳台南向,东晓花苑,东晓路,2室1厅 ,59.22, 南 , 精装 ,9,1999, 塔楼,16, 3个月以前发布,2480000.0,"41,878元/平",VR看装修 房本满两年 随时看房 
正南向 双阳台 大两房 南北对流 近中大地铁 安静不吵,远洋宿舍（晓港）,中大,2室2厅 ,73.6, 南 , 简装 ,6,1987, 塔楼,25, 7个月以前发布,1940000.0,"26,359元/平",近地铁 VR看装修 房本满五年 随时看房 
户型方正实用 阳台无遮挡 视野开阔 通风采光好,顺景雅苑,新港西,3室2厅 ,113.6, 南 , 精装 ,13,2000, 塔楼,127, 11个月以前发布,5000000.0,"44,015元/平",近地铁 VR看装修 房本满五年 随时看房 
轻工学院 小区管理严格 电梯实用3房 证过5年,广东轻工学院宿舍,新港西,3室2厅 ,75.75, 南 , 简装 ,6,1994, 塔楼,14, 3个月以前发布,2990000.0,"39,472元/平",近地铁 VR看装修 房本满五年 随时看房 
鹭江地铁口  南北对流 通风采光好 满五唯一,电器研究所,新港西,3室2厅 ,128.51, 东北 , 精装 ,18,2006, 塔楼,14, 7个月以前发布,7000000.0,"54,471元/平",近地铁 VR房源 房本满五年 随时看房 
电梯3房 东南北向 户型方正 厅大房大,大江苑南贤大街,新港西,3室2厅 ,95.0, 东 南 北 , 其他 ,8,1997, 塔楼,12, 1个月以前发布,3800000.0,"40,000元/平",近地铁 VR看装修 房本满五年 随时看房 
海景阁 中层望江大三房 户型方正 视野开阔,海景阁,滨江中,3室1厅 ,109.0, 西北 , 简装 ,28,1998, 塔楼,7, 1个月以前发布,4980000.0,"45,689元/平",VR看装修 房本满五年 随时看房 
克莱金殿 南向*大五房 十米景观阳台 安静望花园泳池,珠江帝景苑,滨江东,5室2厅 ,250.74, 东 东南 南 , 精装 ,32,2007, 塔楼,104, 一年前发布,13690000.0,"54,593元/平",近地铁 VR房源 房本满五年 
嘉仕东区尚海轩蕞好景观的三房，少放的房源，值得了解,嘉仕花园东区,滨江东,3室2厅 ,107.56, 东北 , 精装 ,33,2006, 塔楼,3, 1个月以前发布,8350000.0,"77,632元/平",VR房源 房本满五年 
力迅时光里望花园 三房带主套 安静不吵 过5免重税,力迅时光里,江南大道中,3室2厅 ,111.37, 东北 , 精装 ,32,2011, 塔楼,33, 一年前发布,7580000.0,"68,062元/平",近地铁 VR房源 房本满五年 
南向三房 高楼层户型好 户型好 通光采光都不错,江南新苑,新港西,3室2厅 ,106.94, 南 , 精装 ,32,2002, 塔楼,31, 3个月以前发布,6900000.0,"64,523元/平",近地铁 VR看装修 房本满五年 
富力银禧三期，南北对流 保养新净，采光通风好。,富力银禧花园,滨江东,3室1厅 ,110.37, 东 , 精装 ,29,2008, 塔楼,45, 9个月以前发布,8680000.0,"78,645元/平",近地铁 VR房源 房本满五年 
品质小区 中间栋单边位四房 南北通透望花园  改善优选,光大花园中海锦榕湾,工业大道北,4室2厅 ,141.23, 南 北 , 精装 ,32,2009, 塔楼,6, 1个月以前发布,11000000.0,"77,888元/平",近地铁 VR看装修 房本满五年 
"靓房,靓房,新收富力银禧花园三期,靓户型南北对流.少有",富力银禧花园,滨江东,3室1厅 ,125.38, 东南 , 精装 ,32,2008, 塔楼,43, 5个月以前发布,11380000.0,"90,765元/平",VR房源 房本满五年 
精装修小3房 厅出阳台 户型方正实用 证满5年,丰盈居,滨江东,3室1厅 ,86.0, 东北 , 简装 ,23,2002, 塔楼,4, 2个月以前发布,4700000.0,"54,652元/平",近地铁 VR看装修 房本满五年 
双阳台，高层望江，舒适四房，小区环境优美,光大花园榕岸,工业大道北,4室2厅 ,147.58, 东南 西北 , 简装 ,33,2006, 塔楼,24, 3个月以前发布,10390000.0,"70,403元/平",近地铁 VR看装修 房本满五年 
中旅侨苑 2室1厅 西北,中旅侨苑,昌岗,2室1厅 ,61.0, 西北 , 简装 ,32,2003, 塔楼,2,14,2680000.0,"43,935元/平",近地铁 VR房源 房本满五年 随时看房 
嘉仕花园东区 满五 望花园三房带主套 近十号线,嘉仕花园东区,滨江东,4室1厅 ,124.25, 西 , 精装 ,33,2006, 塔楼,22, 4个月以前发布,8100000.0,"65,192元/平",VR房源 房本满五年 
业主诚信置换 房屋南北对流 有产权车位 景观好,光大花园中海锦榕湾,工业大道北,4室1厅 ,141.23, 南 北 , 精装 ,32,2006, 塔楼,33, 4个月以前发布,11600000.0,"82,136元/平",近地铁 VR看装修 房本满五年 
珠江广场 大型 小区 安静四房 业主自己住,珠江广场,滨江东,4室2厅 ,103.85, 西北 , 精装 ,17,2000, 塔楼,9, 3个月以前发布,6200000.0,"59,702元/平",近地铁 VR看装修 房本满五年 
"珠江帝景紫龙府""双CBD""做邻居，东南向视野采光好",珠江帝景苑合生紫龙府,滨江东,4室2厅 ,183.94, 南 , 精装 ,30,2013, 塔楼,57, 10个月以前发布,10050000.0,"54,593元/平",近地铁 VR房源 房本满五年 
翠馨华庭 电梯楼 东北向单边位 满五年 看房方便,翠馨华庭,广州大道南,2室1厅 ,40.2, 东 东北 , 简装 ,24,2003, 塔楼,0,10,1630000.0,"40,548元/平",VR房源 房本满五年 随时看房 
光大花园二期 南北对流 正望花园 过五年唯一,光大花园榕景四季,工业大道北,4室2厅 ,139.73, 东 北 , 简装 ,18,2004, 塔楼,10, 1个月以前发布,8760000.0,"62,693元/平",近地铁 VR房源 房本满五年 
近江边 东南向 原装电梯 五房双卫生间 海悦大厦,海悦大厦,同福,5室1厅 ,113.0, 东 东南 , 毛坯 ,30,1995, 塔楼,19, 6个月以前发布,4380000.0,"38,762元/平",近地铁 VR看装修 房本满五年 
珠江帝景三期赏湖轩 安静3+1房 东北望花园 望海心沙,珠江帝景苑,滨江东,4室2厅 ,132.71, 北 东北 , 精装 ,13,2005, 塔楼,10, 2个月以前发布,7250000.0,"54,593元/平",近地铁 VR房源 房本满五年 
此房满五，通透格局，视野宽阔，采光充足，装修保养好,瀚林水岸,滨江东,3室2厅 ,110.0, 东 东南 , 简装 ,27,2006, 塔楼,2, 1个月以前发布,7700000.0,"70,000元/平",近地铁 VR看装修 房本满五年 
精装修 鸿运花园 中楼层南向两房望小区园林,鸿运花园,赤岗,2室2厅 ,70.2, 南 , 简装 ,9,1995, 塔楼,2,10,3250000.0,"46,297元/平",近地铁 VR房源 房本满五年 
聚德东区，中楼层两房，户型方正，满五唯一,聚德花园,赤岗,2室1厅 ,50.41, 北 , 简装 ,10,1997, 塔楼,0,10,1800000.0,"35,708元/平",VR房源 房本满五年 
纵横公寓 住宅70年产权 南向 满五唯一,纵横公寓,赤岗,2室1厅 ,61.9, 南 , 精装 ,30,2012, 塔楼,0,12,2630000.0,"42,488元/平",VR房源 房本满五年 
逸景翠园中层南向三房，业主自住房  精装修,逸景翠园,广州大道南,3室2厅 ,100.85, 南 , 精装 ,12,2004, 塔楼,3,10,6050000.0,"59,991元/平",VR房源 房本满两年 
柏涛雅苑 跃式两房 南向望泳池,柏涛雅苑,昌岗,2室2厅 ,80.83, 西南 , 简装 ,9,2001, 塔楼,2,14,4130000.0,"51,095元/平",VR房源 房本满五年 
信和广场 近昌岗双地铁 望花园小区南向大两房,信和广场,昌岗,2室1厅 ,78.3, 东南 南 , 精装 ,17,2001, 塔楼,1,14,3760000.0,"48,021元/平",VR房源 房本满五年 
万华花园 中层两房 安静舒适 出行便利,万华花园,东晓南,2室1厅 ,57.82, 北 , 精装 ,8,2005, 板楼,1,8,2380000.0,"41,163元/平",近地铁 VR看装修 房本满两年 
北向望花园，产权清晰，保养好，交通便利,富景花园,新港西,3室1厅 ,91.81, 北 , 精装 ,11,1997, 塔楼,21, 3个月以前发布,3780000.0,"41,172元/平",近地铁 VR房源 房本满五年 随时看房 
滨江东 一线江景推荐 三房带主套 中层视野开阔 随时看,海琴湾,滨江东,3室1厅 ,98.75, 西北 , 简装 ,32,2002, 板塔结合,216, 1个月以前发布,7340000.0,"74,330元/平",近地铁 VR房源 房本满两年 随时看房 
沙园地铁两房 安静社区 格局方正 红本在手 看房约,沙园,沙园,2室1厅 ,54.7, 西南 , 简装 ,9,2002, 塔楼,2,21,1600000.0,"29,251元/平",近地铁 VR看装修 房本满五年 随时看房 
全屋定制精装三房，实用率高，门口可以种花，证满五年,聚德花园,赤岗,2室1厅 ,76.37, 东 , 精装 ,10,1997, 塔楼,0,18,2780000.0,"36,402元/平",VR房源 房本满五年 随时看房 
棕榈园 2室1厅 南 北,棕榈园,前进路,2室1厅 ,48.8, 南 北 , 简装 ,7,1988, 塔楼,1,5,1470000.0,"30,123元/平",VR看装修 房本满五年 随时看房 
东南向 安静宜居实用高。步行到珠江边只需200米，,江湾花苑,滨江中,2室1厅 ,73.0, 南 , 简装 ,8,1999, 塔楼,1,14,3000000.0,"41,096元/平",VR房源 房本满五年 随时看房 
金碧少有中楼层，正南向安静望花园，业主诚心卖,金碧花园第一金碧,金碧,2室1厅 ,62.8, 南 , 精装 ,15,2000, 塔楼,2,10,3050000.0,"48,567元/平",近地铁 VR房源 房本满五年 随时看房 
怡安花园 方正3房望小区 满五年 海实无占用 全明屋,怡安花园,滨江中,3室2厅 ,68.69, 东 南 北 , 精装 ,9,1999, 塔楼,1,10,3050000.0,"44,403元/平",VR看装修 房本满五年 随时看房 
金碧花园第三金碧 1室0厅 东,金碧花园第三金碧,金碧,1室0厅 ,29.8, 东 , 精装 ,32,2005, 塔楼,2,5,1380000.0,"46,309元/平",近地铁 VR看装修 房本满五年 随时看房 
此房装修保养好，大型花园小区的电梯2房 环境舒适,珠江广场,滨江东,2室1厅 ,30.34, 东 , 精装 ,17,2000, 塔楼,2,12,1990000.0,"65,590元/平",近地铁 VR看装修 房本满两年 随时看房 
满5唯1，电梯在用，视野开阔，交通便利，配套设施齐全,洪德雅苑,同福,2室1厅 ,61.96, 东南 南 , 精装 ,9,1998, 塔楼,3,15,2290000.0,"36,960元/平",VR房源 房本满五年 
叠彩园 电梯四房 东南单边 过五唯一 附带20方平台,叠彩园,广州大道南,4室1厅 ,102.86, 东南 , 简装 ,13,2002, 塔楼,2,15,5300000.0,"51,527元/平",VR房源 房本满五年 
金玫瑰苑 封闭小区 带50㎡露台三房 满五年,嘉鸿花园金玫瑰苑,东晓南,3室2厅 ,104.24, 东 , 简装 ,27,2005, 塔楼,1,11,4750000.0,"45,568元/平",近地铁 VR房源 房本满五年 
客村地铁电梯两房双阳台满五唯一随时看房,金影花园,客村,2室1厅 ,72.77, 北 , 其他 ,9,2003, 塔楼,1,7,3100000.0,"42,600元/平",近地铁 VR房源 房本满五年 
工业大道沙园大厦高层装修好3房看江通风透气视野开阔,沙园大厦,沙园,3室2厅 ,103.58, 东南 , 精装 ,22,2001, 塔楼,0,14,4650000.0,"44,893元/平",近地铁 VR看装修 房本满两年 
侨诚花园  精装修  厅直出阳台 明厨明厕  实用两房,侨诚花园,东晓南,2室1厅 ,60.05, 北 , 精装 ,9,1999, 塔楼,2,5,2500000.0,"41,632元/平",近地铁 VR房源 房本满五年 
满五年楼龄新 带70方鱼池花园 三房两厅保养好南北对流,保利花园(海珠),工业大道中,3室2厅 ,95.09, 北 , 简装 ,11,2000, 板楼,2,13,5500000.0,"57,840元/平",近地铁 VR看装修 房本满五年 
珠江御景湾 4室2厅 南,珠江御景湾,南洲,4室2厅 ,215.52, 南 , 精装 ,23,2008, 塔楼,4,14,6920000.0,"32,094元/平",VR房源 房本满五年 
鹭江客村双地铁 大型小区东南向高层两房 通风采光好,愉景雅苑,新港西,2室1厅 ,73.66, 东南 , 精装 ,14,2000, 塔楼,4,15,4180000.0,"56,748元/平",近地铁 VR看装修 房本满五年 
大型小区花园，低层厅出阳台南向光线好，两房加装电梯,海富花园,江燕路,3室1厅 ,75.94, 南 , 精装 ,10,2000, 塔楼,4,7,3400000.0,"44,773元/平",近地铁 VR房源 房本满五年 
比邻滨江东10号线    明星楼盘东向高层2房    景观好,富力银禧花园,滨江东,2室1厅 ,84.0, 东 , 精装 ,20,2005, 塔楼,16, 3个月以前发布,6250000.0,"74,405元/平",近地铁 VR房源 房本满五年 随时看房 
精装修满五年大小区视野景观好，南北对流格局方正,珠江御景湾,南洲,4室1厅 ,137.69, 南 北 , 精装 ,17,2008, 塔楼,2,19,4420000.0,"32,094元/平",VR房源 房本满五年 随时看房 
颐景华苑 89方三房 卖435 满五免个税 双地铁,合生颐景华苑,东晓南,3室1厅 ,89.7, 南 北 , 精装 ,24,2012, 板楼,14,27,4350000.0,"48,495元/平",近地铁 VR房源 房本满五年 随时看房 
产权满5年，昌岗柏涛雅苑，跃式2房，西南单边采光,柏涛雅苑,昌岗,2室1厅 ,80.83, 南 , 精装 ,9,2001, 塔楼,2,27,4220000.0,"52,209元/平",近地铁 VR看装修 房本满两年 随时看房 
满五年没有增值税 装修干净拎包入住 望广州塔,保利花园(海珠),工业大道中,2室1厅 ,76.84, 北 , 简装 ,18,2000, 板楼,4,30,3830000.0,"49,844元/平",近地铁 VR看装修 房本满五年 随时看房 
珠影大院 客村双地铁交汇 满五 一梯两户 南北对流,珠影大院,客村,3室1厅 ,79.48, 东南 , 简装 ,6,1996, 板楼,3,26,2980000.0,"37,494元/平",VR看装修 房本满五年 随时看房 
电梯中层，采光通风好，配套完善,悦安花园,昌岗,3室2厅 ,90.8, 南 北 , 简装 ,19,2002, 塔楼,4, 1个月以前发布,4400000.0,"48,459元/平",近地铁 VR房源 房本满五年 
顶复 一线江景 视野开阔 精美装修 业主诚意出,天鹅湾,工业大道北,7室2厅 ,264.6, 西北 , 精装 ,31,2006, 塔楼,3,21,18880000.0,"71,353元/平",近地铁 VR房源 房本满五年 
满五年唯一 交通方便出行便捷 温馨居家舒适,穗发花园,新港西,2室1厅 ,60.2, 东北 , 精装 ,8,1999, 塔楼,8, 1个月以前发布,1700000.0,"28,240元/平",近地铁 VR看装修 房本满五年 
南田路原装电梯小区中底层实用大两房 满五年,宝岗大厦,宝岗,2室1厅 ,64.65, 西北 , 精装 ,31,1999, 塔楼,2, 1个月以前发布,2180000.0,"33,721元/平",VR房源 房本满五年 
满五年唯一  南向采光好 小三房,保利花园(海珠),工业大道中,3室1厅 ,77.49, 南 , 简装 ,6,2000, 板楼,1,24,3850000.0,"49,684元/平",近地铁 VR房源 房本满五年 
保利正规三房带主套 精装修 高层 视野开阔,保利花园(海珠),工业大道中,3室2厅 ,106.02, 西南 , 精装 ,19,2000, 板楼,2,23,5250000.0,"49,519元/平",VR看装修 房本满五年 
岭南小区电梯南 向 对流三房双阳台 精装修诚心放卖,岭南小区,广州大道南,3室1厅 ,94.07, 南 , 精装 ,8,1993, 塔楼,1,21,3500000.0,"37,207元/平",VR房源 房本满两年 
海景阁 电梯两房一厅 户型方正  视野开阔,海景阁,滨江中,2室1厅 ,47.52, 南 , 简装 ,9,1996, 塔楼,2,24,1840000.0,"38,721元/平",VR看装修 房本满两年 
洪德居 花园小区 近地铁 方正三房 光线好,洪德居,洪德,3室1厅 ,74.6, 南 北 , 简装 ,11,2001, 塔楼,4,24,2780000.0,"37,266元/平",近地铁 VR看装修 房本满五年 
芭堤水岸 精装三房 望小区花园 安静  拎包入住,芭堤水岸,滨江东,3室1厅 ,94.32, 西北 , 精装 ,33,2007, 塔楼,3,28,7070000.0,"74,958元/平",VR房源 房本满五年 
光大花园二期此房证过五年唯一物业 自己住保养新净,光大花园榕景四季,工业大道北,2室1厅 ,69.61, 西北 , 简装 ,16,2004, 塔楼,2,16,4100000.0,"58,900元/平",VR房源 房本满五年 
光大花园 上车必看盘 珍贵三房 东南向 园景安静,光大花园,工业大道北,3室1厅 ,84.58, 南 , 精装 ,6,2000, 塔楼,6,20,4750000.0,"56,160元/平",近地铁 VR看装修 房本满五年 
全新精装两房 大院管理带小平台 南北对流,基立北街四航局宿舍,前进路,2室1厅 ,41.07, 东 , 精装 ,7,1982, 塔楼,1,16,1260000.0,"30,680元/平",近地铁 VR看装修 房本满五年 随时看房 
海琴湾  望江三房带主套 近江边 配备省幼儿园,海琴湾,滨江东,3室2厅 ,87.37, 东 , 简装 ,32,2002, 板塔结合,8, 7个月以前发布,6070000.0,"69,475元/平",近地铁 VR看装修 房本满五年 
广州塔旁一线望江三房，业主置换满五房子。,琴海居,滨江东,3室2厅 ,116.0, 南 西南 , 精装 ,21,2004, 塔楼,69, 4个月以前发布,8600000.0,"74,138元/平",近地铁 VR房源 房本满五年 
江南西新一城、2000年、精装修电梯大四房、天台大花园,宝岗大道,宝岗,4室2厅 ,111.2, 南 西 北 , 精装 ,9,1995, 塔楼,107, 9个月以前发布,3680000.0,"33,094元/平",近地铁 VR房源 房本满五年 
业主诚心放卖， 大院管理，首层前后花园 实用高,基建新村,沙园,2室1厅 ,65.84, 南 , 简装 ,6,1998, 板楼,41, 一年前发布,1700000.0,"25,821元/平",VR看装修 房本满五年 随时看房 
此房满五年物业 产权清晰 业主随时可以过户,银山尚橙,工业大道北,1室1厅 ,53.71, 北 , 精装 ,28,2013, 塔楼,44, 5个月以前发布,2450000.0,"45,616元/平",近地铁 VR房源 房本满五年 随时看房 
宝岗大道怡雅苑二期三房2卫通风透气采光好,怡雅苑(海珠),宝岗,3室2厅 ,105.02, 西北 , 简装 ,16,1999, 塔楼,60, 4个月以前发布,3990000.0,"37,993元/平",近地铁 VR看装修 房本满五年 随时看房 
基立北街 三边单边 东南向 南北对流 全明格局 *格好,前进路(海珠),前进路,2室2厅 ,64.94, 东南 , 简装 ,8,1997, 塔楼,237, 一年前发布,1410000.0,"21,713元/平",VR看装修 房本满五年 随时看房 
满五年唯一人车分流 安静不吵 产权清晰 小区安静,益鹏翠苑,南洲,2室1厅 ,64.98, 南 , 精装 ,16,2003, 板楼,5, 1个月以前发布,2360000.0,"36,319元/平",近地铁 VR看装修 房本满五年 随时看房 
江南西路玫瑰园 楼龄新 南向2房 地铁口100米 满五唯一,玫瑰园,江南西,2室1厅 ,82.58, 东南 , 精装 ,19,2007, 板塔结合,56, 一年前发布,4200000.0,"50,860元/平",VR看装修 房本满五年 随时看房 
低层安静三房，户型方正  采光好  使用率高,荟翠苑,新港西,3室2厅 ,96.12, 东 东南 , 简装 ,9,1998, 塔楼,25, 一年前发布,2100000.0,"21,848元/平",近地铁 VR看装修 房本满两年 随时看房 
沙园地铁口大院 全明户型 框架结构 通风好 采光足,沙园,沙园,2室1厅 ,59.9, 南 , 简装 ,7,2002, 塔楼,5, 1个月以前发布,1860000.0,"31,052元/平",近地铁 VR看装修 房本满五年 随时看房 
江南西地铁站 杏园小区 交通便利 配套成熟,杏园小区,宝岗,2室2厅 ,73.0, 南 , 精装 ,8,1998, 塔楼,20, 一年前发布,3350000.0,"45,891元/平",近地铁 VR看装修 房本满五年 随时看房 
满五年 装修好 高楼层 视野采光好,顺景雅苑,新港西,2室2厅 ,75.34, 东北 , 精装 ,13,2000, 塔楼,6, 1个月以前发布,3350000.0,"44,466元/平",近地铁 VR房源 房本满五年 随时看房 
