双地铁 临江物业 户型方正 装修新净,悦涛雅苑,黄埔区府,2室2厅 ,67.36, 北 , 精装 ,13,2000, 塔楼,0,6,2820000.0,"41,865元/平",近地铁 VR房源 房本满五年 随时看房 
南向大三房 过五唯一 带主套 户型方正 采光充裕,金碧领秀国际,黄埔区府,3室2厅 ,116.6, 南 , 精装 ,33,2007, 塔楼,42, 4个月以前发布,5030000.0,"43,124元/平",VR看装修 房本满五年 随时看房 
南向次新房 中层望整个花园 视野开阔 双地铁300米,中鼎君和名城,黄埔区府,3室1厅 ,99.19, 南 , 精装 ,33,2015, 塔楼,89, 5个月以前发布,4420000.0,"44,551元/平",近地铁 VR房源 房本满两年 随时看房 
佳兆业城市广场复式四房，南向中高楼层，望小区景观好,佳兆业城市广场,沙村,4室2厅 ,121.52, 南 , 精装 ,38,2020, 塔楼,1, 4个月以前发布,4500000.0,"37,031元/平",VR房源 房本满两年 随时看房 
东荟城两房 通风采光保养好 位置好,万科东荟城,香雪,2室2厅 ,70.84, 北 , 精装 ,23,2016, 塔楼,1,7,2600000.0,"36,703元/平",VR看装修 房本满两年 随时看房 
全明格局，视野开阔，东南向望花园复式四房,万科金色梦想,香雪,4室2厅 ,95.07, 南 , 精装 ,40,2015, 板塔结合,0,9,3420000.0,"35,974元/平",VR房源 房本满两年 
房子安静不吵，独栋，高楼层采光好，房子装修保养好,万科东荟城,香雪,3室1厅 ,85.98, 南 , 精装 ,18,2015, 塔楼,3,10,3350000.0,"38,963元/平",VR看装修 房本满两年 
保利香雪山南向大四房出卖看房方便,保利香雪山花园,科学城,4室2厅 ,144.35, 南 , 精装 ,10,2009, 板楼,2,9,5720000.0,"39,596元/平",近地铁 VR看装修 房本满五年 
中鼎君和名城 高层南向单边位 望小蛮腰望江,中鼎君和名城,黄埔区府,3室2厅 ,108.83, 南 , 精装 ,33,2015, 塔楼,3,14,4850000.0,"44,551元/平",近地铁 VR看装修 房本满五年 
怡园小区 南向电梯三房 精装修保养很好 满五唯一,怡园小区,大沙地,3室1厅 ,70.98, 南 , 精装 ,8,1992, 塔楼,0,15,3050000.0,"42,970元/平",近地铁 VR看装修 房本满五年 
"政策之前购买可以正常交易视野无遮挡精装修中楼层,",保利罗兰国际,科学城,3室2厅 ,90.37, 北 , 精装 ,33,2016, 塔楼,1,6,2820000.0,"31,161元/平",VR看装修 房本满两年 
黄埔区知识城  三房两厅 带天然气 阳台,合景天峻广场,知识城,3室2厅 ,89.16, 北 , 精装 ,32,2019, 塔楼,174, 5个月以前发布,880000.0,"9,870元/平",房本满五年 随时看房 
金碧世纪花园 经典厅出阳台  中高层  满五年,金碧世纪花园,大沙地,2室2厅 ,73.15, 东北 , 精装 ,32,2006, 塔楼,1,23,3600000.0,"49,214元/平",VR看装修 房本满五年 随时看房 
居民区中芯位置 南向通风采光好 楼层不高生活方便,宏康花园四期康慧苑,开发东区,3室2厅 ,88.48, 南 , 简装 ,7,2005, 塔楼,0,27,1820000.0,"20,570元/平",VR房源 房本满五年 
怡港花园  中层  户型方正  采光通风好,怡港花园,黄埔区府,2室2厅 ,75.7, 西 , 简装 ,9,1999, 塔楼,1,23,2540000.0,"33,509元/平",近地铁 VR房源 房本满五年 
乙烯大院 全新精装修 附智能家电 双地铁  怡园学府,乙烯大院,黄埔区府,2室1厅 ,75.13, 东南 , 精装 ,8,1998, 塔楼,0,25,2580000.0,"34,341元/平",近地铁 VR房源 房本满两年 
总监甄选》2016年楼》祥辉苑星座 双地铁 满五且唯一,祥辉苑,大沙地,2室2厅 ,81.35, 西北 , 精装 ,19,2016, 塔楼,2,17,3350000.0,"41,181元/平",近地铁 VR看装修 房本满两年 
各付各税 南向望花园 视野开阔 看房方便,时代天韵,知识城,3室2厅 ,102.75, 南 , 精装 ,31,2018, 塔楼,4,27,3180000.0,"30,949元/平",近地铁 VR看装修 房本满两年 
科城山庄 楼层视野开阔 格局方正 保养好 看房方便,科城山庄锦泽园,科学城,4室1厅 ,142.9, 南 , 简装 ,17,2015, 塔楼,3,21,5590000.0,"39,118元/平",近地铁 VR房源 房本满两年 
带车位 业主诚心放卖 中高楼层 望花园 含全屋定制家私,万科幸福誉,知识城,3室2厅 ,97.22, 南 , 精装 ,34,2014, 板塔结合,1,28,2980000.0,"30,653元/平",近地铁 VR看装修 房本满两年 
珠江嘉园  南北对流 三房两厅两卫 中高楼层  满五唯一,珠江嘉园,科学城,3室2厅 ,101.54, 南 , 精装 ,32,2015, 塔楼,1,25,2050000.0,"20,190元/平",VR看装修 房本满五年 
合景天峻 收租王诚意放卖 随时看房 毗 邻地铁口,合景天峻广场,知识城,1室0厅 ,36.71, 南 , 其他 ,32,2019, 塔楼,2,16,360000.0,"9,807元/平",房本满两年 随时看房 
万科尚城复shi三房 户型方正实用 次新小区 配套齐,万科尚城,夏园,3室1厅 ,75.79, 东北 , 精装 ,34,2016, 板楼,22, 8个月以前发布,2760000.0,"36,417元/平",VR房源 房本满两年 
业主自住 精装修 保养好  配套齐全,佳兆业城市广场,沙村,4室2厅 ,96.98, 北 , 精装 ,31,2017, 塔楼,34, 一年前发布,3300000.0,"34,028元/平",VR房源 房本满两年 
南向高楼层，一线江景，户型方正，满五免增值税,金碧领秀国际,黄埔区府,3室2厅 ,116.6, 南 , 精装 ,33,2007, 塔楼,16, 5个月以前发布,5030000.0,"43,124元/平",近地铁 VR看装修 房本满五年 
佳兆业精装复式四房 中高层视野开阔,佳兆业城市广场,沙村,4室2厅 ,91.33, 南 , 精装 ,37,2019, 塔楼,30, 一年前发布,3050000.0,"33,396元/平",VR房源 房本满两年 
金碧三房两卫 安静望花园 中间楼层 格局好,金碧世纪花园,大沙地,3室2厅 ,99.88, 北 , 其他 ,17,2003, 塔楼,2,9,4600000.0,"46,056元/平",VR房源 房本满五年 
金融街融穗御府 3室2厅 北,金融街融穗御府,科学城,3室2厅 ,82.0, 北 , 精装 ,30,2016, 塔楼,0,11,2900000.0,"35,366元/平",VR看装修 房本满两年 
全屋定制家私家电  保养好 中间楼层 拎包入住,万科里享家,科学城,3室2厅 ,78.8, 南 西南 , 精装 ,34,2017, 塔楼,0,12,1698000.0,"21,549元/平",VR看装修 房本满两年 
满五免重税，望园林，新装修房源,万科东荟城,香雪,3室2厅 ,86.28, 东北 , 精装 ,28,2015, 塔楼,0,8,3400000.0,"39,407元/平",VR看装修 房本满五年 
一线江景 格局方正 三房二厅二卫生间 视野好,金碧领秀国际,黄埔区府,3室2厅 ,116.6, 东南 , 精装 ,33,2007, 塔楼,1, 1个月以前发布,5030000.0,"43,124元/平",VR看装修 房本满五年 随时看房 
地铁5号线大沙东，电梯小三房，中高层,丰乐小区91号大院,大沙地,3室1厅 ,72.96, 东北 , 简装 ,8,1990, 塔楼,7, 一年前发布,2310000.0,"31,549元/平",近地铁 VR看装修 房本满五年 随时看房 
万科金色梦想 4室2厅 南 北,万科金色梦想,香雪,4室2厅 ,94.95, 南 北 , 精装 ,40,2015, 板塔结合,7, 1个月以前发布,3250000.0,"34,229元/平",VR房源 房本满两年 随时看房 
春晓精装3房小区中间位置望花园 保养好满五唯一带车位,奥园春晓,科学城,3室2厅 ,89.97, 东北 , 精装 ,18,2014, 塔楼,5, 2个月以前发布,3250000.0,"36,124元/平",近地铁 VR看装修 房本满五年 随时看房 
交通便利 安静不吵 城市地段 配套齐全,悦涛雅苑,黄埔区府,3室1厅 ,76.66, 东 西 , 其他 ,13,2000, 塔楼,59, 4个月以前发布,3100000.0,"40,439元/平",VR看装修 房本满五年 随时看房 
南向三房 中高楼层 央企物业 满五 楼下幼儿园到初中,中海誉城北苑,香雪,3室2厅 ,96.6, 南 , 精装 ,33,2015, 塔楼,10, 2个月以前发布,3250000.0,"33,644元/平",VR看装修 房本满五年 随时看房 
南向全新未入住大三房，一期交通方便，业主诚心可谈,实地常春藤,科学城,3室2厅 ,97.0, 南 , 精装 ,33,2017, 塔楼,103, 一年前发布,2100000.0,"21,650元/平",VR看装修 房本满两年 随时看房 
万科新里程  中楼层  满五年 优质南向三房,万科新里程,科学城,3室1厅 ,89.73, 南 , 简装 ,25,2009, 塔楼,2, 2个月以前发布,3020000.0,"33,601元/平",近地铁 VR房源 房本满五年 随时看房 
地铁口旁 南向一房 高层视野好  楼龄新,丰逸尚居,文冲,1室1厅 ,48.6, 南 , 精装 ,29,2012, 塔楼,29, 5个月以前发布,2010000.0,"41,359元/平",近地铁 VR看装修 房本满五年 随时看房 
黄埔花园楼龄新，东南向高层一房一厅,黄埔花园,黄埔区府,1室1厅 ,62.13, 东南 , 精装 ,24,2012, 塔楼,0, 1个月以前发布,2410000.0,"38,662元/平",近地铁 VR房源 房本满五年 随时看房 
保利学府里 鱼珠CBD次新小区 业主自住 装修新拎包可住,保利学府里,大沙地,3室2厅 ,78.91, 北 , 精装 ,36,2015, 塔楼,11, 2个月以前发布,4480000.0,"56,774元/平",近地铁 VR看装修 房本满两年 随时看房 
宏康东筑安静大两房，电梯高层，视野开阔，满五唯一,宏康花园五期宏康东筑,开发东区,2室2厅 ,78.64, 北 , 精装 ,22,2009, 塔楼,18, 4个月以前发布,1700000.0,"21,618元/平",VR看装修 房本满五年 随时看房 
奥园春晓精装三房两卫 位置安静,奥园春晓,科学城,3室1厅 ,90.27, 西北 , 精装 ,18,2014, 塔楼,78, 5个月以前发布,2550000.0,"28,249元/平",近地铁 VR房源 房本满两年 随时看房 
满五唯一、单边位东南向高楼层保养好、望小区花园,万科东荟城,香雪,3室2厅 ,100.24, 南 , 精装 ,32,2016, 板塔结合,2, 1个月以前发布,4050000.0,"40,404元/平",VR看装修 房本满五年 随时看房 
万科新里程  品质小区 近地鉄 配套成熟 看房方便,万科新里程,科学城,3室2厅 ,88.81, 西北 , 精装 ,25,2009, 塔楼,43, 8个月以前发布,2990000.0,"33,601元/平",近地铁 VR看装修 房本满五年 随时看房 
新里程南向3房 采光充足望花园 交通便利 看房方便,万科新里程,科学城,3室2厅 ,89.15, 南 , 简装 ,18,2009, 塔楼,20, 4个月以前发布,3000000.0,"33,601元/平",近地铁 VR看装修 房本满五年 随时看房 
龙光单边位三房，三面通风，三房两阳台全望花园。,龙光峰景华庭,科学城,3室2厅 ,89.03, 西北 , 精装 ,18,2009, 塔楼,20, 3个月以前发布,2540000.0,"28,463元/平",VR看装修 房本满五年 随时看房 
实地常春藤 中高层 望花园大三房 安静舒适,实地常春藤,科学城,3室2厅 ,95.73, 北 , 精装 ,32,2015, 塔楼,16, 7个月以前发布,2050000.0,"21,415元/平",VR看装修 房本满两年 随时看房 
南北对流 精装三房 满五省税 诚心卖,中海誉城北苑,香雪,3室2厅 ,114.38, 东南 西北 , 精装 ,27,2015, 塔楼,40, 4个月以前发布,3560000.0,"31,125元/平",VR看装修 房本满五年 随时看房 
科学城南北对流三房两卫户型中楼层；全新未入住,实地常春藤,科学城,3室2厅 ,98.87, 南 , 精装 ,33,2017, 板塔结合,22, 4个月以前发布,2200000.0,"22,252元/平",VR看装修 房本满两年 随时看房 
里享家 三房 采光通风好 安静舒适 视野开阔 出行方便,万科里享家,科学城,3室2厅 ,75.2, 北 , 精装 ,30,2017, 塔楼,30, 11个月以前发布,1500000.0,"19,947元/平",VR看装修 房本满两年 随时看房 
珠江嘉园三房 北朝向 视野宽阔,珠江嘉园,科学城,3室2厅 ,91.45, 北 , 精装 ,32,2017, 塔楼,17, 一年前发布,1650000.0,"18,043元/平",VR看装修 房本满两年 随时看房 
双地铁＋BRT 电梯新装修 全明户型,黄埔新村黄埔雅苑,黄埔区府,3室2厅 ,97.54, 东北 , 精装 ,11,2004, 塔楼,128, 10个月以前发布,2690000.0,"27,544元/平",近地铁 VR房源 房本满五年 随时看房 
黄埔区中间位置 精装修 南向4房  多扩20平方,港湾路,大沙地,3室1厅 ,57.1, 南 北 , 精装 ,7,1999, 塔楼,48, 6个月以前发布,1740000.0,"30,473元/平",VR看装修 房本满五年 随时看房 
东城华庭东南向大三房，高层视野采光好,泰景花园东城华庭,黄埔区府,3室1厅 ,121.1, 东南 , 毛坯 ,31,2014, 塔楼,17, 3个月以前发布,4230000.0,"34,915元/平",VR看装修 房本满五年 随时看房 
泰景花园 南向精装两房 看房方便,泰景花园,黄埔区府,2室1厅 ,70.81, 南 , 精装 ,8,2006, 塔楼,60, 4个月以前发布,2480000.0,"34,915元/平",近地铁 VR房源 房本满两年 随时看房 
双地铁，交通便利，配套完善，满五唯一,泰景花园,黄埔区府,3室1厅 ,95.61, 东南 , 精装 ,8,2000, 塔楼,8, 6个月以前发布,3200000.0,"33,470元/平",近地铁 VR房源 房本满五年 随时看房 
满五年且唯一看小区安静，保养不错，没欠款交易方便,保利林语山庄,科学城,4室1厅 ,134.16, 南 , 精装 ,18,2008, 塔楼,10, 2个月以前发布,4460000.0,"33,192元/平",近地铁 VR看装修 房本满五年 随时看房 
时代天韵 改善型小区 方正靓户型 配套设施齐全,时代天韵,知识城,3室2厅 ,108.73, 东北 , 精装 ,20,2018, 塔楼,15, 一年前发布,3360000.0,"30,903元/平",近地铁 VR看装修 房本满两年 随时看房 
万科幸福誉，精装三房，250   各付各税,万科幸福誉,知识城,3室1厅 ,87.42, 北 , 精装 ,34,2014, 板塔结合,9, 5个月以前发布,2500000.0,"28,598元/平",近地铁 VR房源 房本满两年 随时看房 
宏康花园实用2房 小区中间位置 视野开阔 居住之选,宏康花园三期建鑫苑,开发东区,2室1厅 ,81.28, 北 , 精装 ,7,2000, 塔楼,11, 9个月以前发布,1650000.0,"20,301元/平",VR房源 房本满五年 随时看房 
东城雅苑安静三房两卫，户型方正实用，业主诚意放卖。,东城雅苑,开发东区,3室2厅 ,105.7, 北 , 简装 ,12,2005, 塔楼,1, 1个月以前发布,2280000.0,"21,571元/平",VR房源 房本满五年 随时看房 
黄埔科学城 大三房带全屋家私，房子业主诚心放卖,宝能文化广场,科学城,3室1厅 ,126.34, 南 , 精装 ,31,2018, 塔楼,26, 8个月以前发布,5300000.0,"41,951元/平",近地铁 VR房源 房本满两年 随时看房 
户型方正，诚心放卖，一线湖景。,时代天韵,知识城,4室2厅 ,139.79, 南 , 精装 ,24,2016, 塔楼,14, 3个月以前发布,4280000.0,"30,618元/平",近地铁 VR看装修 房本满五年 随时看房 
林语精装大三房 望小区花园景观好 高楼层采光通风好,保利越秀岭南林语,科学城,3室2厅 ,102.68, 南 , 精装 ,32,2016, 塔楼,5, 2个月以前发布,3780000.0,"36,814元/平",VR看装修 房本满两年 随时看房 
正东向高层  光线足  视野开阔  保养好,万科幸福誉,知识城,2室2厅 ,72.15, 东 , 精装 ,34,2014, 板塔结合,60, 一年前发布,2000000.0,"27,721元/平",近地铁 VR看装修 房本满两年 随时看房 
长平站三房  奥园春晓  精装入住   看房方便,奥园春晓,科学城,3室2厅 ,89.05, 北 , 精装 ,18,2014, 塔楼,1,25,3000000.0,"33,689元/平",近地铁 VR房源 房本满两年 
万科幸福誉 3室2厅 南,万科幸福誉,知识城,3室2厅 ,88.57, 南 , 简装 ,24,2014, 板塔结合,4,19,2550000.0,"28,791元/平",近地铁 VR看装修 房本满两年 
新福港鼎峰经典三房两卫，满五年，南北对流，视野开阔,新福港鼎峰,科学城,3室1厅 ,87.2, 南 , 精装 ,30,2015, 塔楼,1,30,3860000.0,"44,156元/平",近地铁 VR看装修 房本满两年 随时看房 
合景天峻F1单间，单边位单间房子,合景天峻广场,知识城,1室1厅 ,34.53, 南 , 精装 ,25,2019, 板塔结合,3,27,390000.0,"11,295元/平",近地铁 房本满两年 
金融城东区 精装三房 望花园 满五年,金碧世纪花园,大沙地,3室2厅 ,99.88, 北 , 简装 ,17,2003, 塔楼,2, 5个月以前发布,4600000.0,"46,056元/平",VR房源 房本满五年 随时看房 
珠江嘉园三房 楼层好 视野宽阔 采光充足,珠江嘉园,科学城,3室2厅 ,91.0, 北 , 其他 ,32,2015, 塔楼,16, 7个月以前发布,1780000.0,"19,561元/平",VR看装修 房本满五年 随时看房 
下楼是育蕾和怡园东，阳台可看到操场,金碧领秀国际,黄埔区府,1室1厅 ,33.34, 北 , 精装 ,33,2007, 塔楼,1, 2个月以前发布,1440000.0,"43,124元/平",近地铁 VR房源 房本满两年 随时看房 
金碧世纪花园 看小区 安静不吵  采光好 满五年,金碧世纪花园,大沙地,3室2厅 ,90.6, 北 , 精装 ,32,2006, 塔楼,21, 3个月以前发布,4150000.0,"45,806元/平",VR看装修 房本满五年 随时看房 
东苑小区 电梯两房出* 近地铁,东苑小区,大沙地,2室2厅 ,87.68, 东南 , 精装 ,15,2000, 塔楼,12, 一年前发布,3180000.0,"36,269元/平",近地铁 VR看装修 房本满五年 随时看房 
央企开发，品质物业，大一房，户型量少。,中海誉城南苑,香雪,1室1厅 ,50.77, 北 , 其他 ,33,2015, 塔楼,1, 5个月以前发布,1550000.0,"30,530元/平",VR看装修 房本满两年 随时看房 
满五 东南向三房 中间层 视野开阔 采光透亮,万科金色梦想,香雪,3室2厅 ,86.27, 东南 , 精装 ,29,2015, 板塔结合,1, 1个月以前发布,3100000.0,"35,934元/平",VR房源 房本满五年 随时看房 
业主诚心放卖 保养好 楼栋位置很安静 无遮挡 采光透亮,中海誉城南苑,香雪,2室2厅 ,79.69, 北 , 精装 ,33,2015, 塔楼,2, 一年前发布,2490000.0,"31,247元/平",VR看装修 房本满两年 随时看房 
金色梦想南向三房满五年，安静视野开阔。诚意卖。,万科金色梦想,香雪,3室1厅 ,87.6, 南 , 简装 ,28,2014, 板塔结合,13, 3个月以前发布,2930000.0,"33,448元/平",VR看装修 房本满五年 随时看房 
17年收的楼，比较新，南北对流，安静,万科东荟城,香雪,4室2厅 ,123.84, 南 北 , 精装 ,32,2016, 塔楼,5, 2个月以前发布,5150000.0,"41,586元/平",VR看装修 房本满两年 随时看房 
科城山庄大两房、交通便利、配套好,科城山庄峻森园,科学城,2室2厅 ,71.27, 西 , 精装 ,18,2015, 塔楼,4, 4个月以前发布,2790000.0,"39,118元/平",VR看装修 房本满两年 随时看房 
泰景花园  电梯三房  地铁五号线  采光不错,泰景花园,黄埔区府,3室2厅 ,95.84, 东 西 , 精装 ,8,2000, 塔楼,26, 6个月以前发布,3300000.0,"34,433元/平",近地铁 VR房源 房本满五年 随时看房 
房子满二，户型方正保养好近地铁口,广州绿地城,知识城,2室1厅 ,74.4, 西北 , 精装 ,33,2017, 板塔结合,9, 4个月以前发布,1860000.0,"25,000元/平",VR房源 房本满两年 随时看房 
精装两房，中楼层，楼栋在门口位置，视野采光好,龙光峰景华庭,科学城,2室2厅 ,72.96, 东南 , 精装 ,18,2009, 塔楼,12, 2个月以前发布,2080000.0,"28,463元/平",VR看装修 房本满五年 随时看房 
中海誉城南苑两房 格局方正中楼层 安静位置 业主包税,中海誉城南苑,香雪,2室1厅 ,79.57, 北 , 精装 ,32,2015, 塔楼,97, 一年前发布,2460000.0,"30,917元/平",VR看装修 房本满两年 随时看房 
满五税费少，望花园，安静，采光好,龙光峰景华庭,科学城,3室2厅 ,92.5, 东北 , 精装 ,18,2009, 塔楼,1, 2个月以前发布,2640000.0,"28,463元/平",VR看装修 房本满五年 随时看房 
奥园春晓南向低楼层两房，业主诚心出,奥园春晓,科学城,2室1厅 ,77.0, 南 , 精装 ,18,2014, 塔楼,120, 11个月以前发布,2600000.0,"33,767元/平",近地铁 VR看装修 房本满五年 随时看房 
龙光峰峰华庭两房，东南向，满五年，业主急卖,龙光峰景华庭,科学城,2室1厅 ,73.31, 南 , 简装 ,18,2009, 塔楼,37, 3个月以前发布,2090000.0,"28,463元/平",VR看装修 房本满五年 随时看房 
黄埔花园 G栋三房二卫 中高楼层 满五年 望花园,黄埔花园,黄埔区府,3室2厅 ,91.5, 西北 北 , 精装 ,30,2010, 塔楼,15, 2个月以前发布,3540000.0,"38,662元/平",近地铁 VR房源 房本满两年 随时看房 
业主诚心放卖 楼层好 望花园 全新没住过,万科幸福誉,知识城,3室2厅 ,97.22, 南 , 精装 ,34,2014, 板塔结合,9, 3个月以前发布,2850000.0,"29,315元/平",近地铁 VR看装修 房本满两年 随时看房 
全屋定制家具家电  含车位  南向户型方正采光好,万科幸福誉,知识城,3室2厅 ,97.22, 西南 , 精装 ,34,2014, 板塔结合,18, 3个月以前发布,3030000.0,"31,167元/平",近地铁 VR看装修 房本满两年 随时看房 
安静  ，看花园  ，包增值税  ， 包个税,保利罗兰国际,科学城,3室2厅 ,88.65, 西 , 精装 ,33,2018, 塔楼,6, 5个月以前发布,2770000.0,"31,161元/平",近地铁 VR看装修 房本满两年 随时看房 
保利罗兰国际，南向三房，动静分区，保养好,保利罗兰国际,科学城,3室2厅 ,97.83, 东南 , 精装 ,32,2016, 塔楼,250, 7个月以前发布,3050000.0,"31,161元/平",近地铁 VR看装修 房本满两年 随时看房 
房子保养好  装修新，拎包可住，交通便利 小区安静,保利学府里,大沙地,3室2厅 ,78.91, 北 , 简装 ,36,2015, 塔楼,8, 2个月以前发布,4480000.0,"56,774元/平",近地铁 VR看装修 房本满两年 随时看房 
挂牌400   望小区花园 安静不吵 户型实用性高,万科城市花园,文冲,3室2厅 ,100.5, 西北 , 精装 ,11,2003, 塔楼,16, 8个月以前发布,4000000.0,"39,801元/平",近地铁 VR看装修 房本满五年 随时看房 
乙烯大院   实用三房    交通便利   视野开阔,乙烯大院,黄埔区府,3室2厅 ,96.27, 南 东南 北 , 简装 ,8,1998, 塔楼,7, 8个月以前发布,2750000.0,"28,566元/平",近地铁 VR看装修 房本满五年 随时看房 
户型方正  小区环境好   保养好  楼龄新,保利学府里,大沙地,3室2厅 ,102.5, 南 , 精装 ,32,2015, 塔楼,29, 6个月以前发布,6030000.0,"58,830元/平",近地铁 VR看装修 房本满两年 随时看房 
房屋格局方正、采用精装修、中间楼层对流、视野开阔,实地常春藤,科学城,3室2厅 ,95.0, 南 , 精装 ,32,2015, 塔楼,6, 4个月以前发布,2160000.0,"22,737元/平",VR看装修 房本满两年 随时看房 
高层四房 南北对流 诚心放卖 可带车位 望花园,万科里享家,科学城,4室2厅 ,113.22, 南 , 精装 ,30,2017, 塔楼,26, 6个月以前发布,2780000.0,"24,554元/平",VR看装修 房本满两年 随时看房 
万科城，出门就是地铁，靓楼层，业主诚心出,万科城,科学城,3室2厅 ,98.16, 南 , 精装 ,12,2008, 板塔结合,4, 1个月以前发布,3240000.0,"33,005元/平",近地铁 VR房源 房本满两年 随时看房 
龙光三房，望小区园林，装修保养好，产权清晰。,龙光峰景华庭,科学城,3室2厅 ,90.4, 东南 , 精装 ,18,2009, 塔楼,5, 3个月以前发布,2580000.0,"28,463元/平",VR看装修 房本满五年 随时看房 
知识城二手好房各付各税，房屋通透 采光性好,时代天韵,知识城,3室1厅 ,87.71, 东北 , 精装 ,31,2018, 塔楼,9, 2个月以前发布,2580000.0,"29,416元/平",近地铁 VR看装修 房本满两年 随时看房 
时代天韵二期南三房房源，业主诚心出*，*格优质,时代天韵,知识城,3室2厅 ,102.75, 南 , 精装 ,31,2018, 塔楼,58, 一年前发布,3050000.0,"29,684元/平",近地铁 VR看装修 房本满两年 随时看房 
地铁口 东南向 三房 采光好 格局方正,大沙地东路,大沙地,3室1厅 ,63.38, 南 , 简装 ,7,1998, 塔楼,50, 一年前发布,1890000.0,"29,821元/平",近地铁 VR看装修 房本满五年 随时看房 
