此小区位于广州后花园之都从化流溪河。,翰林国际,旧城区,4室2厅 ,118.34, 南 , 精装 ,11,2018, 板楼,14, 10个月以前发布,1080000.0,"9,127元/平",VR看装修 房本满两年 随时看房 
房子准新房。没住过，业主诚心放卖，看中谈谈。,珠江壹城,神岗镇,3室2厅 ,88.13, 东北 , 简装 ,28,2018, 板塔结合,1,11,1180000.0,"13,390元/平",近地铁 VR看装修 房本满两年 随时看房 
星河绿洲 南向3房 河东板块 少有小区房放卖的,星河绿洲,江浦街,3室2厅 ,102.26, 南 , 毛坯 ,8,2009, 塔楼,0,6,1130000.0,"11,051元/平",VR看装修 房本满五年 
云星钱隆天誉 3室2厅 南,云星钱隆天誉,太平镇,3室2厅 ,89.94, 南 , 毛坯 ,25,2016, 塔楼,1,20,1000000.0,"11,119元/平",VR看装修 房本满两年 随时看房 
精装修  望花园   安静 即买即可入住,上城湾畔东区,江浦街,3室2厅 ,95.96, 东北 , 精装 ,15,2009, 塔楼,1,26,1780000.0,"18,550元/平",近地铁 VR看装修 房本满两年 随时看房 
南北通透，单边位望湖，配车位，拎包入住,方圆明月山溪,温泉镇,2室1厅 ,89.59, 南 北 , 精装 ,11,2014, 塔楼,1,29,680000.0,"7,591元/平",VR看装修 房本满五年 
南向望花园  安静舒适  格局方正,御景宏雅花园,江浦街,3室2厅 ,112.92, 南 , 精装 ,13,2014, 塔楼,1,29,1280000.0,"11,336元/平",VR看装修 房本满两年 
品质雅居乐 小区环境绿化高雅居乐物业公司24小时保安,雅居乐滨江花园,江浦街,3室2厅 ,117.41, 南 , 精装 ,18,2007, 塔楼,1,22,2350000.0,"20,016元/平",近地铁 VR房源 房本满五年 
业主置换 ，现3房精装带修家私家电,逸泉映翠,江浦街,3室2厅 ,97.09, 南 北 , 精装 ,24,2015, 塔楼,0,17,900000.0,"9,270元/平",VR看装修 房本满五年 
巴厘天地 精装三房 双阳台 看流溪河,人盛巴厘天地,神岗镇,3室2厅 ,107.96, 南 北 , 精装 ,17,2013, 塔楼,0, 2个月以前发布,1100000.0,"10,189元/平",VR看装修 房本满五年 随时看房 
巴厘天地配套齐全，生活方便，环境优美。,人盛巴厘天地,神岗镇,3室2厅 ,101.56, 东南 , 精装 ,17,2012, 塔楼,3, 一年前发布,860000.0,"8,468元/平",VR看装修 房本满两年 随时看房 
人丁兴旺毛坯三房，阳台视野开阔无遮挡，中高楼层,珠光流溪御景,赤草,3室2厅 ,114.09, 西北 北 东北 , 毛坯 ,21,2012, 板楼,6, 一年前发布,1080000.0,"9,467元/平",VR看装修 房本满五年 随时看房 
青春 近地铁洋房  好出租 配套齐全,御景宏雅花园,江浦街,2室2厅 ,85.46, 东北 , 精装 ,13,2014, 塔楼,1, 1个月以前发布,890000.0,"10,415元/平",VR看装修 房本满两年 随时看房 
此房南北对流，中高楼层，采光通透明亮,人盛巴厘天地,神岗镇,3室2厅 ,108.99, 南 北 , 毛坯 ,17,2012, 塔楼,13, 4个月以前发布,920000.0,"8,442元/平",VR看装修 房本满五年 随时看房 
荔山雅筑赤草地铁站，碧桂园物业，精装大三房望花园,荔山雅筑,赤草,3室2厅 ,119.21, 南 , 精装 ,26,2019, 塔楼,9, 1个月以前发布,1100000.0,"9,228元/平",近地铁 VR看装修 房本满五年 随时看房 
富力泉天下 3室2厅 东南,富力泉天下,温泉镇,3室2厅 ,100.4, 东南 , 精装 ,18,2013, 塔楼,26, 3个月以前发布,730000.0,"7,271元/平",VR房源 房本满五年 随时看房 
此房看山景，风景好，环境好，居住舒适！,富力泉天下,温泉镇,3室2厅 ,108.68, 南 , 精装 ,23,2014, 塔楼,1, 5个月以前发布,880000.0,"8,098元/平",VR房源 房本满两年 随时看房 
业主诚意出手，手期低，证过5唯一，,珠光御景山水城,江浦街,3室2厅 ,96.12, 北 , 毛坯 ,32,2014, 塔楼,14, 8个月以前发布,795000.0,"8,271元/平",VR看装修 房本满五年 随时看房 
地铁口，出行方便，电梯高层，舒适南向三房两厅两卫,荔山雅筑,赤草,3室2厅 ,120.0, 东南 南 , 简装 ,26,2019, 塔楼,16, 6个月以前发布,1380000.0,"11,500元/平",VR看装修 房本满两年 随时看房 
证过二 免5.3增值税 电梯3房 带主套,云星钱隆天誉,太平镇,3室2厅 ,96.93, 东南 , 毛坯 ,25,2016, 塔楼,1, 5个月以前发布,1038000.0,"10,709元/平",VR看装修 房本满两年 随时看房 
人盛巴厘天地，电梯三房，配套设施成熟,人盛巴厘天地,神岗镇,3室2厅 ,100.45, 北 , 毛坯 ,10,2013, 塔楼,2, 4个月以前发布,800000.0,"7,965元/平",VR看装修 房本满两年 随时看房 
钱隆天誉 地铁口三房 配套齐全,云星钱隆天誉,太平镇,3室2厅 ,100.47, 东北 , 毛坯 ,24,2017, 塔楼,5, 一年前发布,1020000.0,"10,153元/平",VR看装修 房本满两年 随时看房 
巴厘天地精装修三房，户型方正，采光好，证过2,人盛巴厘天地,神岗镇,3室2厅 ,84.04, 南 北 , 精装 ,18,2018, 塔楼,36, 4个月以前发布,720000.0,"8,568元/平",VR房源 房本满两年 随时看房 
紫泉 精装三房 急急急 税点少满五唯一,紫泉翠荔嘉园,太平镇,3室2厅 ,89.9, 西南 , 精装 ,6,2006, 板楼,9, 3个月以前发布,1068000.0,"11,880元/平",VR看装修 房本满五年 随时看房 
御景宏雅花园 3室2厅 南 北,御景宏雅花园,江浦街,3室2厅 ,101.18, 南 北 , 简装 ,17,2014, 塔楼,0, 1个月以前发布,1130000.0,"11,169元/平",VR房源 房本满两年 
逸泉映翠，优美环境，养生必选，安静舒适,逸泉映翠,江浦街,3室2厅 ,94.25, 北 , 毛坯 ,24,2012, 塔楼,6, 8个月以前发布,830000.0,"8,807元/平",VR看装修 房本满五年 
此房装修好，环境舒适，带车位一个，视野开阔！,雅居乐小院流溪,赤草,4室2厅 ,129.46, 北 , 精装 ,17,2013, 塔楼,19, 11个月以前发布,1300000.0,"10,042元/平",VR看装修 房本满五年 
建宏德怡花苑 2室1厅 东北,建宏德怡花苑,旺城片区,2室1厅 ,78.25, 东北 , 精装 ,9,2011, 塔楼,4, 5个月以前发布,890000.0,"11,374元/平",VR看装修 房本满五年 随时看房 
精装修满二刚需好房，值得过来看看！,珠江壹城,神岗镇,3室1厅 ,88.13, 东北 , 精装 ,28,2018, 板塔结合,4, 2个月以前发布,1100000.0,"12,482元/平",近地铁 VR看装修 房本满两年 
巴厘天地，3房采光好，无遮挡，适合居住,人盛巴厘天地,神岗镇,3室2厅 ,100.67, 西北 , 精装 ,18,2018, 塔楼,16, 一年前发布,880000.0,"8,742元/平",VR看装修 房本满两年 随时看房 
中间位置，刚需户型，可以再谈谈。,人盛巴厘天地,神岗镇,3室2厅 ,99.3, 东南 西北 北 , 毛坯 ,17,2012, 塔楼,2, 8个月以前发布,860000.0,"8,661元/平",VR看装修 房本满两年 随时看房 
向南朝向，通透，采光好，宽敞客厅，阳台望小区花园,大城云山,太平镇,1室1厅 ,59.4, 北 , 毛坯 ,22,2016, 塔楼,1, 1个月以前发布,650000.0,"10,943元/平",近地铁 VR看装修 房本满两年 随时看房 
交通方便，近地铁，满二不唯一，小区格局好，,华标荔苑,太平镇,1室1厅 ,44.11, 南 , 毛坯 ,6,2013, 塔楼,82, 一年前发布,520000.0,"11,789元/平",近地铁 VR看装修 房本满两年 随时看房 
御景绿洲花园 近地铁 近商场 近市场 户型实用 采光好,名城御景绿洲,江浦街,3室2厅 ,121.06, 北 , 毛坯 ,27,2011, 塔楼,1, 4个月以前发布,1400000.0,"11,565元/平",近地铁 VR看装修 房本满五年 
御景绿洲精装修 业主急卖 中楼层西南向,名城御景绿洲,江浦街,3室2厅 ,108.85, 西南 , 精装 ,26,2014, 塔楼,49, 10个月以前发布,1230000.0,"11,300元/平",近地铁 VR看装修 房本满五年 
业主诚意卖房，近地铁，配套好，保养新，楼间距宽,珠江壹城,神岗镇,3室2厅 ,88.39, 东北 , 精装 ,28,2017, 板塔结合,9, 7个月以前发布,1100000.0,"12,445元/平",VR看装修 房本满两年 
东方夏湾拿 4室4厅 北,东方夏湾拿,太平镇,4室4厅 ,270.5, 北 , 精装 ,3, 板塔结合 , 联排别墅 ,0,5,4500000.0,"16,636元/平",VR房源 房本满两年 
珠江壹城别墅，无按揭，格局户型好，双拼,珠江壹城,神岗镇,5室3厅 ,354.57, 东南 , 精装 ,2, 板塔结合 , 独栋别墅 ,0,25,4500000.0,"12,692元/平",VR房源 房本满两年 随时看房 
地铁盘 电梯房，采光好，宽敞客厅，阳台望小区花园,大城云山,太平镇,3室2厅 ,96.42, 东北 , 毛坯 ,9,2016, 塔楼,0,10,1060000.0,"10,994元/平",近地铁 VR看装修 房本满五年 随时看房 
太平地铁口精装三房，南北对流，望花园，无遮挡视野,大城云山,太平镇,3室2厅 ,113.13, 东南 东北 , 精装 ,17,2016, 塔楼,0,14,1330000.0,"11,757元/平",近地铁 VR房源 房本满五年 随时看房 
精装大三房 业主置换 楼层好 视线好 采光好 格局好,人盛巴厘天地,神岗镇,3室1厅 ,129.61, 南 , 精装 ,17,2012, 塔楼,0,6,1270000.0,"9,799元/平",VR房源 房本满五年 
名城御景绿洲 地铁300米 交通方便,名城御景绿洲,江浦街,3室2厅 ,122.15, 东北 , 精装 ,27,2011, 塔楼,1, 1个月以前发布,1600000.0,"13,099元/平",近地铁 VR看装修 房本满两年 
珠江壹城 三房两卫 中楼层 全新没住 位置安静 配套齐,珠江壹城,神岗镇,3室2厅 ,100.26, 东北 , 精装 ,28,2018, 板塔结合,0, 1个月以前发布,1310000.0,"13,067元/平",近地铁 VR看装修 房本满两年 随时看房 
此房精装，楼层采光好，格局方正。,逸泉山庄,赤草,4室1厅 ,149.14, 南 , 精装 ,7,2013, 塔楼,0,19,1950000.0,"13,075元/平",近地铁 VR房源 房本满两年 随时看房 
从化14号，雅居乐品牌物业，环境优美，交通生活便利,雅居乐滨江花园,江浦街,3室1厅 ,118.97, 南 , 毛坯 ,11,2007, 塔楼,0,29,2600000.0,"21,855元/平",近地铁 VR看装修 房本满五年 随时看房 
逸泉山庄 准地铁口电梯房 南北对流户型,逸泉山庄,赤草,4室2厅 ,155.85, 东南 西北 , 毛坯 ,15,2006, 塔楼,0,28,1900000.0,"12,192元/平",近地铁 VR看装修 房本满五年 随时看房 
逸泉映翠 高层 三房两厅 望花园 景观视野靓,逸泉映翠,江浦街,3室2厅 ,97.09, 南 , 毛坯 ,24,2015, 塔楼,0,29,900000.0,"9,270元/平",VR看装修 房本满五年 随时看房 
从化温泉财富小镇 方圆明月山溪 南北对流二房格局方正,方圆明月山溪,温泉镇,2室2厅 ,85.48, 南 , 精装 ,18,2014, 塔楼,0,28,850000.0,"9,944元/平",VR看装修 房本满两年 随时看房 
珠江国际城 环境优美 交通便利 近神岗地铁口,珠江壹城,神岗镇,3室2厅 ,119.13, 南 , 精装 ,27,2018, 板塔结合,0,5,1530000.0,"12,844元/平",近地铁 VR看装修 房本满两年 随时看房 
东方夏湾拿双拼小别墅，花园160方,东方夏湾拿,太平镇,5室2厅 ,171.17, 东北 , 简装 ,3, 板塔结合 , 独栋别墅 ,9, 4个月以前发布,3450000.0,"20,156元/平",VR房源 房本满两年 随时看房 
诚意出* 温泉旅游区  拥有丰富的原生态资源,方圆明月山溪,温泉镇,3室2厅 ,160.46, 南 , 精装 ,16,2012, 塔楼,4, 一年前发布,1750000.0,"10,907元/平",VR看装修 房本满两年 随时看房 
联排中间位精装中庭别墅，前后花园120方双露台带阳台,逸泉山庄,赤草,4室2厅 ,183.39, 东南 , 精装 ,3,2001, 暂无数据,36, 一年前发布,3500000.0,"19,086元/平",近地铁 VR房源 房本满五年 随时看房 
星汇峰  中层 三房两厅 二孩家庭刚需户型,星汇峰,太平镇,3室2厅 ,100.08, 东北 , 毛坯 ,6,2010, 塔楼,2, 一年前发布,1200000.0,"11,991元/平",VR看装修 房本满五年 随时看房 
珠江国际城豪精装别墅，拎包即可入住,珠江壹城,神岗镇,6室3厅 ,354.57, 西南 , 精装 ,2, 板塔结合 , 独栋别墅 ,5, 一年前发布,7500000.0,"21,153元/平",VR房源 房本满两年 随时看房 
紫泉流溪湾   大户型四房  采光充足  朝向好,紫泉流溪湾,太平镇,4室2厅 ,186.3, 南 , 毛坯 ,10,2016, 板楼,5, 一年前发布,2420000.0,"12,990元/平",VR看装修 房本满五年 随时看房 
靓盘！靓盘，地铁口14号线！联排别墅！花园130方左右,逸泉山庄,赤草,5室2厅 ,206.0, 东北 , 精装 ,3,2006, 暂无数据,99, 一年前发布,3330000.0,"16,166元/平",VR房源 房本满五年 随时看房 
东方夏湾拿 5室2厅 西北,东方夏湾拿,太平镇,5室2厅 ,144.29, 西北 , 简装 ,3, 板塔结合 , 独栋别墅 ,0, 2个月以前发布,2480000.0,"17,188元/平",VR房源 房本满五年 随时看房 
御湖城实用别墅，靠湖边，南北对流位置安静,君源御湖城,江浦街,6室2厅 ,369.41, 西南 , 毛坯 ,4,2017, 暂无数据,0, 4个月以前发布,3480000.0,"9,421元/平",VR房源 房本满两年 随时看房 
紫泉翠荔嘉园 精致小区 复式房 过5唯一*,紫泉翠荔嘉园,太平镇,4室2厅 ,118.98, 南 北 , 毛坯 ,6,2006, 板楼,6, 一年前发布,1420000.0,"11,935元/平",VR看装修 房本满五年 随时看房 
紫泉翠荔嘉园精装复式四房  少有户型  *低,紫泉翠荔嘉园,太平镇,4室2厅 ,124.62, 东南 , 精装 ,6,2007, 板楼,20, 一年前发布,1300000.0,"10,432元/平",VR房源 房本满五年 随时看房 
户型方正，采光充足，交通过便利,逸泉山庄,赤草,3室2厅 ,138.72, 南 北 , 简装 ,11,2011, 塔楼,14, 一年前发布,1900000.0,"13,697元/平",近地铁 VR看装修 房本满五年 随时看房 
雅居乐 流溪河边 四层边位别墅 5大房 200平大花园,雅居乐小院流溪,赤草,5室2厅 ,326.36, 南 北 , 毛坯 ,3,2012, 塔楼,9, 一年前发布,5200000.0,"15,934元/平",VR房源 房本满五年 随时看房 
户型方正，小区环境优美，视野宽阔，空气清新,雅居乐小院流溪,赤草,3室2厅 ,140.36, 东南 , 毛坯 ,17,2013, 塔楼,6, 一年前发布,1260000.0,"8,977元/平",VR看装修 房本满五年 随时看房 
环境优南北对流 空气好 地铁精装洋房带大阳台,逸泉山庄,赤草,3室2厅 ,139.0, 南 , 精装 ,11,2011, 塔楼,9, 一年前发布,2050000.0,"14,749元/平",近地铁 VR看装修 房本满五年 随时看房 
高层复式，带天台自用，通透对流，视野开阔看花园,流溪河山庄,赤草,4室3厅 ,176.77, 南 , 简装 ,6,2008, 板楼,122, 一年前发布,1300000.0,"7,355元/平",VR房源 房本满五年 随时看房 
格局方正视野开阔 景观*好，优越生活乐章,方圆明月山溪,温泉镇,3室2厅 ,160.35, 南 , 精装 ,16,2012, 塔楼,12, 一年前发布,1650000.0,"10,290元/平",VR看装修 房本满五年 随时看房 
华标荔苑 复式4房 南北对流 采光通风,华标荔苑,太平镇,4室2厅 ,234.1, 西南 , 毛坯 ,11,2013, 板楼,30, 一年前发布,2400000.0,"10,253元/平",近地铁 VR房源 房本满两年 随时看房 
家有老人门前大花园，饭后散步居住舒适配套齐,君源御湖城,江浦街,5室3厅 ,376.91, 东南 , 毛坯 ,4,2013, 塔楼,3, 7个月以前发布,4000000.0,"10,613元/平",VR房源 房本满两年 随时看房 
南向两层半别墅，采光好，露台和阁楼已建好，出行方便,逸泉山庄,赤草,3室2厅 ,142.46, 南 , 毛坯 ,2,2008, 平房,91, 一年前发布,2680000.0,"18,813元/平",VR房源 房本满五年 随时看房 
双拼别·墅流 溪河边 环境优雅 大花园,珠光流溪御景,赤草,5室2厅 ,325.0, 东南 , 毛坯 ,3, 暂无数据 , 双拼别墅 ,18, 一年前发布,4180000.0,"12,862元/平",VR房源 房本满五年 随时看房 
从化温泉 富力泉天下 度假休养上叠叠墅 空气清新,富力泉天下,温泉镇,7室2厅 ,256.16, 南 , 精装 ,3,2014, 塔楼,31, 7个月以前发布,2080000.0,"8,120元/平",VR房源 房本满五年 随时看房 
东方夏湾拿4层别墅，依山傍水，流流河畔,东方夏湾拿,太平镇,4室2厅 ,259.35, 南 北 , 简装 ,3,2010, 板塔结合,44, 一年前发布,3300000.0,"12,725元/平",VR房源 房本满五年 随时看房 
紫泉流溪弯复式8房，南北通透。,紫泉流溪湾,太平镇,8室2厅 ,163.23, 南 北 , 毛坯 ,10,2016, 板楼,14, 一年前发布,2600000.0,"15,929元/平",VR房源 房本满两年 随时看房 
业主置换 南北对流 观湖大四房 大平层,紫泉翠荔嘉园,太平镇,4室2厅 ,176.87, 东北 西南 , 毛坯 ,6,2007, 板楼,27, 一年前发布,1780000.0,"10,064元/平",VR房源 房本满五年 随时看房 
夏湾拿逸墅C户型中空大厅，格局通透，花园适中,东方夏湾拿,太平镇,5室3厅 ,276.43, 东南 , 毛坯 ,4,2017, 暂无数据,19, 一年前发布,3830000.0,"13,856元/平",VR房源 房本满两年 随时看房 
富力泉天下 4室2厅 南,富力泉天下,温泉镇,4室2厅 ,227.45, 南 , 精装 ,2, 塔楼 , 独栋别墅 ,16, 4个月以前发布,4680000.0,"20,576元/平",VR房源 房本满两年 随时看房 
紫泉翠荔嘉园 视野开阔 毛坯房户型方正,紫泉翠荔嘉园,太平镇,3室1厅 ,107.04, 东南 , 毛坯 ,18,2010, 塔楼,5, 一年前发布,1365000.0,"12,753元/平",VR看装修 房本满五年 随时看房 
流溪御景 南向一线江景 精装修大5房,珠光流溪御景,赤草,5室1厅 ,168.61, 南 , 精装 ,27,2012, 塔楼,15, 3个月以前发布,1750000.0,"10,379元/平",VR看装修 房本满五年 随时看房 
实用四房，长阳台，采光好，改善型居住环境,荔山雅筑,赤草,4室2厅 ,136.15, 南 , 毛坯 ,6,2011, 塔楼,39, 一年前发布,1350000.0,"9,916元/平",近地铁 VR看装修 房本满五年 随时看房 
夏湾拿别墅，中空餐厅，实用面积260方，多功能格局,东方夏湾拿,太平镇,7室2厅 ,208.66, 东南 , 精装 ,3,2007, 板塔结合,11, 10个月以前发布,3980000.0,"19,075元/平",VR房源 房本满五年 随时看房 
逸泉山庄 4室2厅 东南,逸泉山庄,赤草,4室2厅 ,343.55, 东南 , 毛坯 ,2, 暂无数据 , 独栋别墅 ,0,6,7550000.0,"21,977元/平",VR房源 房本满两年 
夏湾拿别墅 精装 过五唯一税费低,东方夏湾拿,太平镇,5室2厅 ,259.35, 东南 , 精装 ,3, 板塔结合 , 联排别墅 ,0,16,3800000.0,"14,653元/平",VR房源 房本满五年 随时看房 
地铁口 碧桂园管理  南北对流 大三房  满二税费低,荔山雅筑,赤草,3室2厅 ,109.41, 南 北 , 精装 ,26,2019, 塔楼,1,18,1500000.0,"13,710元/平",VR看装修 房本满两年 随时看房 
大城云山  急转 太平地铁站  大3房,大城云山,太平镇,3室2厅 ,111.11, 东北 , 精装 ,17,2016, 塔楼,0,10,1380000.0,"12,421元/平",近地铁 VR房源 房本满两年 随时看房 
流溪湾洋房 享受别墅的配套 大二房 视线开阔,紫泉流溪湾,太平镇,2室1厅 ,78.77, 西北 , 毛坯 ,15,2015, 板楼,0,2,950000.0,"12,061元/平",VR房源 房本满两年 随时看房 
莱茵水岸 3室2厅 西北,莱茵水岸,江浦街,3室2厅 ,109.0, 西北 , 简装 ,24,2012, 塔楼,1,13,1750000.0,"16,056元/平",近地铁 VR房源 房本满五年 
君源御湖城 7室4厅 南,君源御湖城,江浦街,7室4厅 ,390.03, 南 , 其他 ,4,2013, 塔楼,0, 9个月以前发布,4500000.0,"11,538元/平",VR房源 房本满两年 随时看房 
双拼单边位置，业主实收，前后大花园。,逸泉山庄,赤草,5室2厅 ,248.18, 东南 , 其他 ,3,2010, 暂无数据,21, 10个月以前发布,3870000.0,"15,594元/平",VR房源 房本满五年 随时看房 
此房源格局很好，望花园舒适环境，地铁口。,雅居乐滨江花园,江浦街,4室2厅 ,202.79, 南 北 , 其他 ,18,2007, 塔楼,1, 4个月以前发布,5080000.0,"25,051元/平",近地铁 VR房源 房本满五年 随时看房 
"夏湾拿小区环境好，优美，三面流溪河,门口是湿地公园",东方夏湾拿,太平镇,6室2厅 ,240.0, 东南 , 其他 ,3, 板塔结合 , 独栋别墅 ,0, 11个月以前发布,4600000.0,"19,167元/平",VR房源 房本满五年 随时看房 
大型别墅群，配套齐全，户型多样，流溪河旁,东方夏湾拿,太平镇,5室2厅 ,207.68, 南 , 其他 ,3, 板塔结合 , 独栋别墅 ,5, 2个月以前发布,3380000.0,"16,276元/平",VR房源 房本满五年 随时看房 
巴厘天地，大三房，绿化较高，适合人群。,人盛巴厘天地,神岗镇,3室2厅 ,118.21, 东南 , 其他 ,17,2012, 塔楼,12, 一年前发布,1100000.0,"9,306元/平",VR看装修 房本满五年 随时看房 
珠光流溪御景 4室2厅 南,珠光流溪御景,赤草,4室2厅 ,168.61, 南 , 毛坯 ,27,2012, 塔楼,1, 1个月以前发布,2100000.0,"12,455元/平",VR看装修 房本满两年 随时看房 
雅居乐小院流溪 3室2厅 东 西,雅居乐小院流溪,赤草,3室2厅 ,110.0, 东 西 , 毛坯 ,16,2015, 塔楼,0, 1个月以前发布,1200000.0,"10,910元/平",VR看装修 房本满两年 随时看房 
紫泉翠荔嘉园 4室2厅 东,紫泉翠荔嘉园,太平镇,4室2厅 ,89.43, 东 , 精装 ,6,2008, 塔楼,0,20,1150000.0,"12,860元/平",VR看装修 房本满两年 随时看房 
星汇峰小区，生活便利，近地铁口，环境优美，,星汇峰,太平镇,3室1厅 ,108.78, 南 , 精装 ,12,2010, 塔楼,0, 1个月以前发布,1145000.0,"10,526元/平",VR房源 房本满五年 随时看房 
