合一国际 南向 三房有主套 漂亮装修  中空大厅,合一国际,同和,3室1厅 ,69.16, 南 , 精装 ,18,2006, 塔楼,44, 9个月以前发布,3380000,"48,873元/平",近地铁 VR房源 房本满两年 随时看房 
实用大三房 采光通风好 近三泰公园 交通便利 配套齐,景泰新村,景泰,3室2厅 ,114.69, 西北 , 简装 ,8,1990, 塔楼,0,14,2280000,"19,880元/平",VR看装修 房本满五年 随时看房 
城西花园 2室1厅 西北,城西花园,金沙洲,2室1厅 ,63.74, 西北 , 其他 ,9,1999, 塔楼,1,13,1900000,"29,809元/平",近地铁 VR看装修 房本满两年 随时看房 
体育花园电梯单边位 南北对流 1梯2户 视野开阔采光足,体育花园,白云大道南,4室2厅 ,180.98, 南 北 , 简装 ,7,2001, 塔楼,16, 2个月以前发布,12000000,"66,306元/平",近地铁 VR房源 房本满五年 
168方南向高层大四房 通风采光视野佳,富力城南区,夏茅,4室2厅 ,168, 南 , 精装 ,18,2006, 塔楼,24, 4个月以前发布,4600000,"27,381元/平",VR看装修 房本满五年 
云山诗意 急卖 满五唯一 南北对流 高层通风采光好,云山诗意,黄边,4室2厅 ,129.64, 南 , 精装 ,18,2008, 塔楼,35, 2个月以前发布,5780000,"44,586元/平",VR看装修 房本满五年 
穗和名庭 3室2厅 南,穗和名庭,人和,3室2厅 ,122.04, 南 , 精装 ,11,2011, 塔楼,4,25,1580000,"12,947元/平",近地铁 房本满五年 
景泰新村 少有一楼放盘 适合养老 门前有地利用种花草,景泰新村,景泰,2室1厅 ,46.76, 南 北 , 精装 ,7,1992, 塔楼,0,17,1530000,"32,721元/平",VR看装修 房本满五年 
桃园凸出无遮挡江景阳台，D区中高层，产权清晰无按揭,富力桃园,罗冲围,2室1厅 ,80.94, 东北 , 简装 ,30,2004, 塔楼,0,8,3150000,"38,918元/平",VR房源 房本满五年 
蓝湾中高层望花园，满五唯一，业主诚心卖,金域蓝湾,金沙洲,2室1厅 ,74.89, 西北 , 其他 ,19,2008, 塔楼,0,6,3080000,"41,127元/平",近地铁 VR看装修 房本满五年 
飞云楼 2室1厅 北,飞云楼,黄石,2室1厅 ,58.58, 北 , 其他 ,9,1996, 塔楼,0,12,1580000,"26,972元/平",VR看装修 房本满五年 
云苑新村 平层电梯次顶楼 全南向 采光通风好,广园云苑新村,景泰,2室1厅 ,60.02, 南 , 简装 ,9,1999, 塔楼,1,15,1870000,"31,157元/平",VR看装修 房本满五年 
合益小区 满五唯一 南向厅出阳台 采光视野宽阔,合益小区,机场路,2室1厅 ,76.3, 南 , 毛坯 ,9,1995, 塔楼,0,12,1750000,"22,936元/平",VR看装修 房本满五年 
各付各税，半岛电梯刚需笋两房，户型方正通透，,富力半岛花园,罗冲围,2室1厅 ,60.04, 东南 , 简装 ,18,2002, 塔楼,0,14,2300000,"38,308元/平",VR看装修 房本满两年 
电梯南向房出阳台 客厅对流 采光通风好,心谊交警宿舍,机场路,2室2厅 ,84, 南 , 简装 ,15,1997, 塔楼,4, 5个月以前发布,2250000,"26,786元/平",VR看装修 房本满五年 随时看房 
保利紫薇花园 南向三房 *信旁 棠溪火车站,紫薇花园,新市,3室2厅 ,94.95, 东南 , 简装 ,18,2006, 塔楼,65, 一年前发布,3490000,"36,757元/平",VR看装修 房本满五年 随时看房 
上步花园，有装电梯计划，大2房，原格局三房，笋,上步花园,同德围,2室1厅 ,98.62, 北 , 简装 ,9,1998, 塔楼,23, 3个月以前发布,1880000,"19,064元/平",近地铁 VR看装修 房本满五年 随时看房 
准电梯房，近地铁，高楼层视野好，诚意放卖,侨德花园,同德围,3室1厅 ,80.12, 南 , 简装 ,9,1998, 塔楼,11, 2个月以前发布,1580000,"19,721元/平",近地铁 VR房源 房本满五年 随时看房 
三元里地铁口  侨爱苑  实用三房  证满5年,侨爱苑,机场路,3室1厅 ,94.93, 北 , 简装 ,9,1995, 塔楼,8, 8个月以前发布,2350000,"24,756元/平",近地铁 VR房源 房本满五年 随时看房 
富力桃园 A区单边位两房 无遮挡视野开阔 装修保养好,富力桃园,罗冲围,2室1厅 ,77, 北 , 简装 ,32,2004, 塔楼,0, 1个月以前发布,2560000,"33,247元/平",VR看装修 房本满五年 随时看房 
岭南正规大四房 安静看花园 满五不唯一,岭南新世界,嘉禾望岗,4室2厅 ,132.34, 东北 , 精装 ,18,2008, 塔楼,25, 3个月以前发布,5530000,"41,787元/平",VR房源 房本满五年 随时看房 
嘉柏居 电梯3房 南向带主套 满五年 无抵押,嘉柏居,同德围,3室2厅 ,92.13, 南 , 简装 ,12,2000, 塔楼,21, 6个月以前发布,2920000,"31,695元/平",近地铁 VR房源 房本满两年 随时看房 
泽德花苑，小区环境好管理好，近地铁，房子实用率高,泽德花苑,同德围,2室1厅 ,62.2, 西北 , 简装 ,9,1998, 塔楼,41, 一年前发布,1180000,"18,972元/平",近地铁 VR房源 房本满五年 随时看房 
南向全明三房，横厅设计，方正实用，通风采光好,天河御品,京溪,3室2厅 ,109.98, 南 , 精装 ,25,2010, 塔楼,81, 一年前发布,5150000,"46,827元/平",近地铁 VR看装修 房本满五年 随时看房 
金碧雅苑 150米楼间距望园林 白云山风景一览无余,金碧雅苑,黄边,2室2厅 ,70.87, 东南 , 简装 ,17,2004, 塔楼,19, 2个月以前发布,2895000,"40,850元/平",近地铁 VR看装修 房本满五年 随时看房 
乐嘉路精装电梯两房 格局方正 近地铁 有钥匙 看房方便,春暖花园,机场路,2室1厅 ,58.78, 东 , 精装 ,9,1995, 塔楼,10, 8个月以前发布,1780000,"30,283元/平",近地铁 VR看装修 房本满两年 随时看房 
满五年唯一物业，电梯2房，间隔方正 精装修,恒丰花园,同德围,2室1厅 ,77.87, 西 , 精装 ,11,2000, 塔楼,31, 5个月以前发布,1880000,"24,143元/平",VR房源 房本满五年 随时看房 
富力城南向两房，视野开阔，保养新净，合适置业,富力城北区,夏茅,2室2厅 ,80.18, 南 , 精装 ,12,2008, 塔楼,0, 1个月以前发布,2250000,"28,062元/平",VR看装修 房本满五年 随时看房 
白兰花园 电梯高层 采光通风好  满五年,广信白兰花园,景泰,2室1厅 ,49.24, 东北 , 简装 ,9,1998, 塔楼,14, 6个月以前发布,1690000,"34,322元/平",近地铁 VR看装修 房本满五年 随时看房 
近地铁，装修好，交通方便， 环境好，闹中取静,白云畔山花园,梅花园,2室2厅 ,76.94, 东北 , 精装 ,10,2003, 塔楼,81, 5个月以前发布,2490000,"32,363元/平",近地铁 VR房源 房本满五年 随时看房 
盈翠华庭 中低层南向三房、厅出阳台 户型方正,盈翠华庭,景泰,3室1厅 ,85, 南 , 简装 ,7,2001, 塔楼,39, 7个月以前发布,3450000,"40,589元/平",VR房源 房本满五年 随时看房 
白云新城 低总* 地铁口方正小两房,隆康花园,白云大道南,2室1厅 ,56.69, 东北 , 精装 ,11,2002, 塔楼,130, 一年前发布,2180000,"38,455元/平",近地铁 VR房源 房本满两年 随时看房 
金碧雅苑 南向安静 厅出阳台两居室 私密性好,金碧雅苑,黄边,2室2厅 ,65.55, 南 , 精装 ,11,2003, 塔楼,39, 5个月以前发布,2880000,"43,936元/平",近地铁 VR房源 房本满五年 随时看房 
满五年唯一 业主自己住 小三房 格局方正 棠溪菜市场,聚芳园,机场路,3室1厅 ,74.43, 西南 , 简装 ,9,2000, 塔楼,18, 一年前发布,1210000,"16,257元/平",VR看装修 房本满五年 随时看房 
高尔夫东区 南向三房 望小区 无遮挡 可随时交易,白云高尔夫花园东区,黄石,3室2厅 ,93.96, 南 , 简装 ,12,2004, 塔楼,5, 1个月以前发布,3380000,"35,973元/平",VR看装修 房本满五年 随时看房 
黄石花园 电梯中层三房  安静不吵 装修新,黄石花园,黄石,3室2厅 ,84.89, 东北 , 精装 ,8,1997, 塔楼,15, 2个月以前发布,2280000,"26,859元/平",VR房源 房本满五年 随时看房 
汇侨新城北区  厅出阳台中楼层两房,汇侨新城北区,新市,2室1厅 ,61.78, 西 , 简装 ,17,2000, 塔楼,29, 5个月以前发布,1638000,"26,514元/平",VR看装修 房本满五年 随时看房 
心谊路精装低层三房  满五年免重税 通风采光好 双地铁,心谊路派出所宿舍,机场路,3室2厅 ,70.65, 南 , 精装 ,9,1997, 塔楼,51, 5个月以前发布,1680000,"23,780元/平",VR房源 房本满五年 随时看房 
梅花园京溪板块畔山花园白云山脚下的花园,白云畔山花园,梅花园,2室1厅 ,64.78, 南 , 精装 ,8,2003, 塔楼,63, 6个月以前发布,1780000,"27,478元/平",近地铁 VR房源 房本满五年 随时看房 
此房精装修，实用三房，中层，光线好,嘉华苑,机场路,3室1厅 ,72.13, 南 , 精装 ,9,1995, 塔楼,21, 2个月以前发布,1860000,"25,787元/平",VR看装修 房本满两年 随时看房 
颐和上院 方正三房带主套 诚意放卖,颐和上院二期,白云大道南,3室1厅 ,147.48, 西北 , 简装 ,9,2006, 塔楼,2, 1个月以前发布,6400000,"43,396元/平",VR房源 房本满两年 随时看房 
此房满五唯一 业主诚心卖房 电梯中层 采光好 视野佳,景泰名苑,景泰,2室1厅 ,60.17, 西南 , 简装 ,11,2001, 塔楼,5, 2个月以前发布,1850000,"30,747元/平",VR房源 房本满五年 随时看房 
岭南花园低层照顾老人优选。精装,岭南花园,同德围,3室1厅 ,91.51, 东 西 , 精装 ,6,2001, 板楼,29, 一年前发布,3050000,"33,330元/平",近地铁 VR看装修 房本满五年 随时看房 
少有户型，电梯三房，精装，带平台，两卫，格局好,汇侨新城南区,新市,3室2厅 ,100, 南 , 精装 ,17,2000, 塔楼,57, 3个月以前发布,2290000,"22,900元/平",VR房源 房本满五年 随时看房 
云苑新村  高层南向 电梯已开工 预计年底投入使用,广园云苑新村,景泰,2室1厅 ,67.54, 南 , 简装 ,9,1999, 塔楼,1, 1个月以前发布,1790000,"26,503元/平",VR房源 房本满两年 随时看房 
经理推荐 云东小区，看花园方正两房，户型少有在卖,云东小区,同和,2室2厅 ,73.7, 北 , 精装 ,7,1997, 塔楼,53, 一年前发布,1750000,"23,745元/平",近地铁 VR看装修 房本满五年 随时看房 
祥景花园AC区 2室1厅 南,祥景花园AC区,黄石,2室1厅 ,57.66, 南 , 精装 ,9,2000, 塔楼,24, 3个月以前发布,1200000,"20,812元/平",VR看装修 房本满五年 随时看房 
大型菜市场 生活便利 多个公交车站 满五税费低,机安宿舍,机场路,2室1厅 ,68.18, 东南 , 简装 ,9,1995, 塔楼,15, 2个月以前发布,1380000,"20,241元/平",VR看装修 房本满五年 随时看房 
满五物业  小区管理 户型方正 采光通风  中楼层,百事佳新村A区,景泰,2室1厅 ,45.86, 东 , 精装 ,9,2006, 塔楼,28, 3个月以前发布,1480000,"32,273元/平",VR看装修 房本满五年 随时看房 
大型花园小区，户型方正，电梯房中层,又一居花园,机场路,3室2厅 ,96.05, 东 , 简装 ,9,1998, 塔楼,9, 3个月以前发布,3250000,"33,837元/平",近地铁 VR看装修 房本满五年 随时看房 
乐嘉路云顶花园中低层精装3房 双地铁 业主急卖,云顶花园,机场路,3室1厅 ,68.46, 西 , 精装 ,9,1998, 塔楼,146, 一年前发布,1730000,"25,271元/平",近地铁 VR看装修 房本满五年 随时看房 
小区中间位置安静舒适，业主自己从新装修，诚心放卖.,一品湖山,南湖,3室2厅 ,87.09, 南 北 , 精装 ,7,2011, 板楼,11, 2个月以前发布,3290000,"37,778元/平",VR看装修 房本满五年 随时看房 
白云明珠广场 电梯两房 小区管理 望花园 小区管理,白云明珠广场,机场路,2室1厅 ,71.44, 南 , 简装 ,14,1996, 塔楼,11, 2个月以前发布,1900000,"26,596元/平",VR房源 房本满五年 随时看房 
云东花园凤凰层 东南向 随时看房,云东花园,景泰,3室1厅 ,99.57, 东南 , 简装 ,9,1998, 塔楼,6, 3个月以前发布,2080000,"20,890元/平",VR房源 房本满两年 随时看房 
正南向 云城省实摇号地段  未来3条地铁,云逸苑,新市,3室1厅 ,98.64, 南 , 其他 ,12,2000, 塔楼,1, 1个月以前发布,3500000,"35,483元/平",近地铁 VR看装修 房本满五年 随时看房 
精装修电梯两房，适合居住，交通便利,汇侨新城南区,新市,2室1厅 ,66.15, 东南 西 , 简装 ,17,2000, 塔楼,39, 一年前发布,1780000,"26,909元/平",VR看装修 房本满两年 随时看房 
民航南门小区 格局方正三房 南北对流 近地铁,民航小区向云西街,机场路,3室1厅 ,73.19, 南 , 精装 ,5,1995, 板楼,83, 一年前发布,1680000,"22,954元/平",VR看装修 房本满五年 随时看房 
小区安静位置，满五南向大四房。,万科云山花园,东平,4室2厅 ,152.39, 南 , 精装 ,18,2007, 塔楼,41, 10个月以前发布,4200000,"27,561元/平",VR看装修 房本满五年 随时看房 
满五，低层采光好。刚需三房。看房有钥匙方便,云东花园,景泰,3室1厅 ,84.63, 东南 , 毛坯 ,9,1998, 塔楼,21, 2个月以前发布,1900000,"22,451元/平",VR房源 房本满五年 随时看房 
岗贝社区全新精装3房  低楼层满五唯一  简约温馨实用,白沙新村,机场路,3室2厅 ,66.21, 南 , 精装 ,9,1998, 塔楼,19, 4个月以前发布,1580000,"23,864元/平",VR看装修 房本满五年 随时看房 
小户型！总金额低！适合刚需上车盘,金迪城市花园,机场路,2室2厅 ,51.56, 南 , 简装 ,15,1995, 塔楼,19, 2个月以前发布,1330000,"25,796元/平",近地铁 VR房源 房本满五年 随时看房 
房子户型好，东向望花园，景观好,白云明珠广场,机场路,2室1厅 ,79.15, 东 , 简装 ,14,1996, 塔楼,1, 2个月以前发布,1920000,"24,258元/平",VR房源 房本满五年 随时看房 
新市商圈，电梯高楼层，精装修光线好,新市花园二区,新市,2室2厅 ,76, 东 北 , 简装 ,15,2000, 塔楼,55, 6个月以前发布,1850000,"24,343元/平",VR房源 房本满五年 随时看房 
低层小两房 实用高 精美装修 拎包入住 适合新婚,广园云苑新村,景泰,2室1厅 ,47.65, 南 , 精装 ,9,1993, 塔楼,1, 1个月以前发布,1550000,"32,529元/平",VR看装修 房本满五年 随时看房 
春庭花园 满五年商品房 高楼层 采光通风好,春庭花园,元下田,3室2厅 ,61.65, 东南 , 简装 ,9,1999, 塔楼,30, 3个月以前发布,1050000,"17,032元/平",近地铁 VR房源 房本满五年 随时看房 
计划加装电梯 东向两房，中低层采光通风好，jia格笋,田心花园,同德围,2室2厅 ,76, 东 , 简装 ,9,1998, 塔楼,24, 一年前发布,1830000,"24,079元/平",近地铁 VR看装修 房本满五年 随时看房 
同和地铁 户型方正使用率高 楼层适中 生活便利,同和云苑新村,同和,3室1厅 ,88.86, 南 北 , 简装 ,8,2000, 塔楼,28, 11个月以前发布,2250000,"25,321元/平",近地铁 VR看装修 房本满五年 随时看房 
天河御品 全新未入住过精装3房，望花园望湖，满五唯一,天河御品,京溪,3室2厅 ,105.36, 东北 , 精装 ,25,2010, 塔楼,153, 5个月以前发布,5180000,"49,165元/平",近地铁 VR看装修 房本满五年 随时看房 
机场路又一居花园 园林小区 电梯三房 双地铁覆盖,又一居花园,机场路,3室2厅 ,90.44, 南 , 简装 ,9,1998, 塔楼,1, 1个月以前发布,3330000,"36,820元/平",近地铁 VR看装修 房本满五年 随时看房 
户型方正 采光好 出行便利 配套齐全,飞鹅西路,桂花岗,2室1厅 ,40.91, 南 , 精装 ,8,1995, 塔楼,61, 一年前发布,1110000,"27,133元/平",VR看装修 房本满五年 随时看房 
产权清晰 看花园 格局方正采光好 有钥匙看房方便,祥景花园AC区,黄石,2室1厅 ,55.9, 东南 东北 , 简装 ,9,1999, 塔楼,69, 一年前发布,1090000,"19,500元/平",VR房源 房本满五年 随时看房 
景泰新村 中层三房  户型方正 采光通风  精装修,景泰新村,景泰,3室1厅 ,70.62, 东 , 精装 ,8,1992, 塔楼,18, 3个月以前发布,1940000,"27,471元/平",VR房源 房本满五年 随时看房 
白天鹅花园 精装实用南向两房 过五唯一 业主诚心,白天鹅花园,沙太北,2室1厅 ,89.01, 南 , 精装 ,17,2008, 塔楼,51, 一年前发布,2950000,"33,143元/平",VR看装修 房本满五年 随时看房 
富力桃园 望江小三房 满五年唯一 产权清晰,富力桃园,罗冲围,3室1厅 ,89.93, 东北 , 精装 ,32,2004, 塔楼,110, 9个月以前发布,3200000,"35,584元/平",VR房源 房本满五年 随时看房 
富力桃园，精装两房，南北对流，业主诚心放卖，随时看,富力桃园,罗冲围,2室1厅 ,76.29, 西南 , 精装 ,32,2004, 塔楼,2, 1个月以前发布,2650000,"34,736元/平",VR房源 房本满五年 随时看房 
元邦三期靓房 满五唯一物业 省税 诚意卖房 详情可谈!,元邦航空家园,马务,3室2厅 ,124.36, 东南 , 简装 ,15,2004, 塔楼,0,14,3980000,"32,004元/平",VR房源 房本满五年 随时看房 
南湖板块，中层望南湖，正三房，满五年,南湖半山东苑,南湖,3室2厅 ,104.04, 西南 , 精装 ,28,2005, 塔楼,0,18,2850000,"27,394元/平",VR房源 房本满五年 随时看房 
东南向观白云山 空中别墅 有钥匙 只要指标不要房,东方明珠花园,白云大道南,3室2厅 ,241.74, 东南 , 精装 ,10,1999, 塔楼,3,20,8200000,"33,921元/平",近地铁 VR房源 房本满两年 随时看房 
景泰新村 2室1厅 南 西,景泰新村,景泰,2室1厅 ,61.36, 南 西 , 简装 ,9,1990, 塔楼,0,15,1460000,"23,795元/平",VR房源 房本满五年 随时看房 
大院管理   有位置安装电梯 双阳台 三卧朝南,松柏新村,景泰,3室1厅 ,81.97, 南 北 , 简装 ,8,1986, 塔楼,2,15,1720000,"20,984元/平",VR房源 房本满五年 随时看房 
中楼层 南北对流采光好 户型方正实用性高 产权清晰,黄石小区,黄石,3室2厅 ,96.56, 南 北 , 简装 ,9,1999, 塔楼,0,8,3580000,"37,076元/平",VR房源 房本满五年 随时看房 
侨德花园 2室1厅 南,侨德花园,同德围,2室1厅 ,47.55, 南 , 简装 ,9,1998, 塔楼,0,6,1200000,"25,237元/平",近地铁 VR看装修 房本满五年 随时看房 
金碧雅苑 满五唯一视野宽阔 格局方正 交通方便,金碧雅苑,黄边,2室2厅 ,67.98, 东 , 精装 ,18,2005, 塔楼,3,14,2550000,"37,512元/平",近地铁 VR房源 房本满五年 随时看房 
富力城北区 3室1厅 北,富力城北区,夏茅,3室1厅 ,92.97, 北 , 精装 ,12,2008, 塔楼,0,14,2850000,"30,656元/平",VR看装修 房本满两年 随时看房 
同德花园同景苑 2室1厅 南,同德花园同景苑,同德围,2室1厅 ,71.33, 南 , 简装 ,8,1998, 塔楼,1,2,1780000,"24,955元/平",近地铁 VR房源 房本满五年 随时看房 
半岛A区直排三房 中高层 视野开阔 过五年唯一 有钥匙,富力半岛花园,罗冲围,3室1厅 ,70.03, 西南 , 精装 ,7,1998, 塔楼,2,11,2400000,"34,272元/平",VR房源 房本满五年 随时看房 
栢信地铁商圈旁，带精装准电梯三房，证过五年免重税,嘉景园,新市,3室1厅 ,60.27, 西北 , 精装 ,9,1995, 塔楼,0,5,1390000,"23,063元/平",VR房源 房本满五年 随时看房 
汇侨新城东区 1室1厅 南,汇侨新城东区,新市,1室1厅 ,40.43, 南 , 简装 ,9,2000, 塔楼,0,6,880000,"21,767元/平",VR看装修 房本满五年 随时看房 
嘉柏居 3室1厅 南,嘉柏居,同德围,3室1厅 ,92.13, 南 , 简装 ,12,2000, 塔楼,1,6,2680000,"29,090元/平",近地铁 VR看装修 房本满五年 
满五年采光好，厅出阳台南向户型方正，有平台,合益小区,机场路,2室1厅 ,61.21, 南 , 精装 ,9,1995, 塔楼,1,4,1500000,"24,506元/平",VR看装修 房本满五年 
恒大绿洲  对流看花园三阳台户型  看江单位税费少,恒大绿洲花园,金沙洲,5室2厅 ,295.51, 南 北 , 精装 ,31,2008, 塔楼,0,3,11100000,"37,563元/平",近地铁 VR房源 房本满五年 
云裳丽影 单边位带入户 高层看白云山 满五唯一税费少,云裳丽影,同和,3室1厅 ,108.2, 南 , 精装 ,30,2007, 塔楼,1,6,5350000,"49,446元/平",近地铁 VR看装修 房本满五年 
万科蓝山 鸟语花香 望别墅区 位置安静,万科蓝山,南湖,3室2厅 ,124.8, 东南 , 精装 ,18,2007, 塔楼,2,21,4120000,"33,013元/平",VR看装修 房本满五年 
中高层，南北对流三房 业主诚意放 卖,怡新花园,梅花园,3室2厅 ,100.76, 南 , 精装 ,14,2007, 塔楼,0,28,4980000,"49,425元/平",近地铁 VR房源 房本满五年 
