该房子满五年 格局方正 南北对流,碧桂园豪进广场,白江,3室2厅 ,116.77, 南 北 , 毛坯 ,31,2016, 塔楼,0,11,2480000.0,"21,239元/平",近地铁 VR房源 房本满五年 随时看房 
豪进山湖珺璟~~南向5房，可拎包入住,豪进山湖珺璟,白江,5室2厅 ,189.14, 南 , 精装 ,31,2013, 塔楼,2,28,4100000.0,"21,678元/平",VR房源 房本满五年 随时看房 
东方名都二期，地铁口优质盘，户型方正，看房有钥匙,东方名都,白江,3室2厅 ,96.01, 西 , 毛坯 ,29,2013, 塔楼,2,14,1850000.0,"19,269元/平",近地铁 VR房源 房本满五年 随时看房 
合景誉山国际 3室2厅 南 北,合景誉山国际,永和,3室2厅 ,102.0, 南 北 , 精装 ,18,2016, 塔楼,0,11,1600000.0,"15,687元/平",VR看装修 房本满两年 随时看房 
广州刚需三房，业主诚心卖，随时可以看房。,广州敏捷绿湖首府三期,石滩镇,3室2厅 ,83.17, 东北 , 精装 ,32,2019, 塔楼,0,7,850000.0,"10,221元/平",VR看装修 房本满两年 随时看房 
天麓山 凤锦苑 改善型 大四房 有车位,碧桂园凤凰城凤锦苑,凤凰城,4室1厅 ,196.28, 北 , 精装 ,26,2002, 塔楼,3,14,3390000.0,"17,272元/平",VR房源 房本满五年 随时看房 
东方名都二期，西南向复式5房，地铁口优质盘，有钥匙,东方名都,白江,5室2厅 ,141.03, 南 西南 , 毛坯 ,29,2013, 塔楼,0,14,2700000.0,"19,145元/平",近地铁 VR房源 房本满五年 随时看房 
南向小三房，格局方正，小区中间位置，望花园，采光好,新塘新世界花园万象苑,沙村,3室1厅 ,94.57, 南 , 简装 ,18,2012, 塔楼,0,10,2160000.0,"22,841元/平",近地铁 VR房源 房本满五年 随时看房 
金地香山湖 4室2厅 东南 南,金地香山湖,永和,4室2厅 ,137.89, 东南 南 , 精装 ,33,2019, 塔楼,1,7,1700000.0,"12,329元/平",VR房源 房本满两年 
凤凰城凤馨苑 三房对流户型 高楼层 看房方便,碧桂园凤凰城凤馨苑,凤凰城,3室2厅 ,96.01, 北 , 精装 ,18,2002, 塔楼,3,8,1400000.0,"14,582元/平",VR看装修 房本满五年 
亚太新城富丽园 2室1厅 南,亚太新城富丽园,新塘北,2室1厅 ,82.24, 南 , 精装 ,7,2004, 塔楼,2,28,1050000.0,"12,768元/平",近地铁 VR房源 房本满五年 随时看房 
中高层望花园方正小三房，业主诚心放卖哈。,敏捷锦绣天伦,新塘北,3室2厅 ,90.0, 东北 , 简装 ,32,2017, 塔楼,0,22,1760000.0,"19,556元/平",VR看装修 房本满两年 随时看房 
含车位！凤馨苑 对流三房 满五年税费少 中间位置,碧桂园凤凰城凤馨苑,凤凰城,3室2厅 ,95.98, 南 北 , 简装 ,18,2002, 塔楼,2, 1个月以前发布,1720000.0,"17,921元/平",VR看装修 房本满五年 随时看房 
时代廊桥 东南向三房 99新 业主很少住 保养新 带车位,增城时代廊桥,永和,3室2厅 ,84.28, 东南 , 精装 ,22,2017, 塔楼,3,18,1300000.0,"15,425元/平",VR看装修 房本满五年 随时看房 
21号线 保利中航城  复式大4房126方  主阳台望西福河,保利中航城一期,朱村,4室2厅 ,126.42, 东南 南 , 精装 ,13,2018, 板楼,1,18,2590000.0,"20,488元/平",VR房源 房本满两年 随时看房 
此房满五唯一，带一个大平台，全新未入住,富雅都市华庭,新塘北,3室2厅 ,107.36, 东南 , 毛坯 ,11,2014, 塔楼,1,25,1630000.0,"15,183元/平",VR看装修 房本满五年 随时看房 
锦绣天伦精装三房中高楼层望花园满五唯一,敏捷锦绣天伦,新塘北,3室1厅 ,80.93, 北 , 精装 ,33,2015, 塔楼,2,24,1515000.0,"18,720元/平",VR房源 房本满五年 随时看房 
此房满五唯一，带一个大平台，全新未入住,富雅都市华庭,新塘北,3室2厅 ,107.36, 东南 , 毛坯 ,11,2014, 塔楼,1,25,1630000.0,"15,183元/平",VR看装修 房本满五年 随时看房 
克拉邻里大两房，高楼层采光视野佳,翡翠绿洲克拉邻里,凤凰城,2室2厅 ,80.73, 东 , 精装 ,25,2016, 塔楼,2,22,1400000.0,"17,342元/平",VR房源 房本满两年 随时看房 
全新精装修  采用环保材料 望花园安静，独立厨房,新都盛世名门宏城汇,白江,2室1厅 ,48.48, 北 , 精装 ,21,2012, 塔楼,0,4,850000.0,"17,534元/平",近地铁 VR房源 房本满五年 随时看房 
时代倾城(增城区) 2室1厅 南 北,时代倾城(增城区),荔城增江,2室1厅 ,58.95, 南 北 , 精装 ,31,2011, 塔楼,0,7,830000.0,"14,080元/平",VR看装修 房本满两年 随时看房 
保利i立方 4室2厅 南,保利i立方,永和,4室2厅 ,95.62, 南 , 其他 ,17,2018, 塔楼,0,10,1510000.0,"15,792元/平",VR房源 房本满两年 随时看房 
聚焦房源：舒适大三房  成本低  成熟社区,汇美体育花园,新塘北,3室1厅 ,124.51, 南 , 简装 ,23,2007, 塔楼,0,15,1630000.0,"13,092元/平",VR看装修 房本满五年 随时看房 
翡翠绿洲湖滨苑 5室3厅 南,翡翠绿洲湖滨苑,凤凰城,5室3厅 ,252.28, 南 , 毛坯 ,25,2011, 塔楼,1, 1个月以前发布,4000000.0,"15,856元/平",VR看装修 房本满两年 随时看房 
新塘新康花园已加装电梯顶楼复式南北对流七房两卫,新康花园,白江,7室2厅 ,129.83, 南 北 , 精装 ,6,2004, 塔楼,54, 4个月以前发布,1680000.0,"12,940元/平",VR房源 房本满两年 随时看房 
业主诚心出shou.看房联系我望江大户型.南北对流.,创基丽江国际,增城区府,4室2厅 ,185.15, 南 , 精装 ,36,2017, 塔楼,2, 3个月以前发布,3680000.0,"19,876元/平",VR看装修 房本满两年 随时看房 
房子满五年，南北对流，中层视野宽阔 ，采光好,新都盛世名门,白江,3室2厅 ,120.0, 西南 , 精装 ,26,2012, 塔楼,25, 一年前发布,2500000.0,"20,834元/平",近地铁 VR看装修 房本满五年 随时看房 
东方名都全新未住精装修四房满五年税费少看房方便,东方名都,白江,4室2厅 ,107.14, 南 , 精装 ,15,2012, 塔楼,71, 一年前发布,2360000.0,"22,028元/平",近地铁 VR房源 房本满五年 随时看房 
稀有放量二期顶楼复式精装修非BAN必选。,翡翠绿洲森林半岛,凤凰城,5室3厅 ,188.21, 东 西 , 精装 ,25,2011, 塔楼,26, 9个月以前发布,3480000.0,"18,490元/平",VR房源 房本满五年 随时看房 
东南向四房 视野开阔 户型格局好 东方名都 近地铁口,东方名都,白江,4室1厅 ,144.57, 东南 , 精装 ,29,2013, 塔楼,8, 8个月以前发布,3080000.0,"21,305元/平",近地铁 VR房源 房本满五年 随时看房 
豪进山湖珺璟交通便利小区环境优美南北对流格局方正,豪进山湖珺璟,白江,5室2厅 ,208.4, 南 , 毛坯 ,8,2011, 塔楼,78, 一年前发布,3850000.0,"18,475元/平",VR房源 房本满两年 随时看房 
汇东国际大3房，房产证6月份满五了，南北对流,汇东国际花园,白江,3室1厅 ,129.43, 东南 , 毛坯 ,28,2012, 塔楼,3, 4个月以前发布,2230000.0,"17,230元/平",VR看装修 房本满五年 随时看房 
恒大山水城一线湖景带好装别墅，直接拎包入住,恒大山水城,中新镇,5室2厅 ,152.7, 南 北 , 精装 ,3,2008, 板塔结合,17, 9个月以前发布,4710000.0,"30,845元/平",VR房源 房本满两年 随时看房 
满五唯一 户型方正  中间楼层南向 采光好 交通便利,新塘新世界花园万象苑,沙村,4室1厅 ,118.33, 南 , 精装 ,18,2014, 塔楼,30, 3个月以前发布,2650000.0,"22,395元/平",近地铁 VR房源 房本满五年 随时看房 
豪进广场 南北对流 3房双阳台户型 业主诚心出*,碧桂园豪进广场,白江,3室2厅 ,117.94, 南 北 , 精装 ,30,2016, 塔楼,43, 一年前发布,2480000.0,"21,028元/平",近地铁 VR看装修 房本满五年 随时看房 
盛世名门  过5唯一 精装4房 套内117.8 带30方平台花园,新都盛世名门,白江,4室2厅 ,147.0, 西南 , 精装 ,28,2012, 塔楼,2, 1个月以前发布,2760000.0,"18,776元/平",近地铁 VR看装修 房本满五年 随时看房 
新康花园 一二楼复式花园房 配套成熟 业主诚心卖,新康花园,白江,4室2厅 ,125.74, 东南 南 , 精装 ,6,2000, 塔楼,34, 5个月以前发布,2200000.0,"17,497元/平",VR房源 房本满五年 随时看房 
群星花园 3室2厅 南,群星花园,新塘南,3室2厅 ,95.51, 南 , 简装 ,8,2003, 板楼,0,8,1150000.0,"12,041元/平",VR看装修 房本满五年 
精装修小三房，户型方正，望花园,锦绣新天地,新塘南,3室1厅 ,88.82, 北 , 精装 ,15,2011, 塔楼,2,6,1530000.0,"17,226元/平",VR房源 房本满五年 
南向精装二房，满五唯一，楼龄新，视野开阔。,新景豪庭,白江,2室2厅 ,79.1, 南 , 精装 ,13,2016, 塔楼,0,5,1390000.0,"17,573元/平",近地铁 VR看装修 房本满五年 
满五唯一 仅一个契税 地铁口50米 高实用率南北对流,仁安花园,朱村,3室2厅 ,92.23, 南 北 , 精装 ,11,2017, 塔楼,5,15,1360000.0,"14,746元/平",近地铁 VR房源 房本满两年 随时看房 
白江站旁 中高层视野好 通风采光不错 即将满五,新都盛世名门宏城汇,白江,1室1厅 ,48.48, 北 , 精装 ,21,2012, 塔楼,0,4,900000.0,"18,565元/平",近地铁 VR房源 房本满两年 随时看房 
此房证满五年唯一物业税费少 装修保养好 产权清晰,广州海伦堡,沙村,3室2厅 ,95.4, 东北 , 精装 ,18,2012, 塔楼,0,14,1550000.0,"16,248元/平",VR看装修 房本满五年 
金泽豪庭南北对流三房巨通风，装修保养好，可拎包入住,金泽豪庭,白江,3室2厅 ,115.82, 南 , 精装 ,27,2012, 塔楼,1,15,2300000.0,"19,859元/平",近地铁 VR房源 房本满五年 
源海仙村一号 3室2厅 北,源海仙村一号,石滩镇,3室2厅 ,129.89, 北 , 精装 ,25,2019, 塔楼,0,16,1300000.0,"10,009元/平",VR看装修 房本满两年 
一线江景洋房  户型实用  装修新净 包产权车位,敏捷莱茵花园,荔城增江,2室2厅 ,81.21, 北 , 精装 ,26,2012, 塔楼,0,11,1400000.0,"17,240元/平",VR房源 房本满五年 
房子过5年唯一方正3房装修保养好，通风采光好出行方便,广州海伦堡,沙村,3室2厅 ,88.5, 东南 南 , 精装 ,7,2008, 塔楼,2,11,1430000.0,"16,159元/平",VR看装修 房本满五年 
湖绣3房2卫 满五唯一 东向高楼层,翡翠绿洲湖绣苑,凤凰城,3室2厅 ,99.84, 东北 , 精装 ,25,2011, 塔楼,2,15,1900000.0,"19,031元/平",VR看装修 房本满五年 
新天地   大三房   高层  安静  望花园,锦绣新天地,新塘南,3室1厅 ,110.93, 北 , 精装 ,24,2009, 塔楼,1,8,1575000.0,"14,199元/平",VR房源 房本满五年 
奥园誉峯 2室2厅 北,奥园誉峯,永和,2室2厅 ,70.64, 北 , 其他 ,32,2019, 塔楼,0,26,970000.0,"13,732元/平",VR看装修 房本满两年 随时看房 
南向三房无遮挡采光，近地铁口位置，看房方便！,新塘新世界花园万象苑,沙村,3室2厅 ,94.57, 南 , 精装 ,16,2009, 塔楼,0,24,2120000.0,"22,418元/平",近地铁 VR看装修 房本满五年 随时看房 
满五省税费 南北对流 明厨明卫 安静舒适,碧桂园凤凰城凤馨苑,凤凰城,3室2厅 ,91.32, 南 , 其他 ,11,2002, 塔楼,2,26,1430000.0,"15,660元/平",VR看装修 房本满五年 随时看房 
凤馨三房 通透格局  楼层好 采光好 保养新,碧桂园凤凰城凤馨苑,凤凰城,3室1厅 ,96.0, 西 , 精装 ,18,2002, 塔楼,0,23,1590000.0,"16,563元/平",VR看装修 房本满五年 随时看房 
视野好     望花园    看房方便,惠百氏广场,白江,2室1厅 ,69.82, 西南 , 精装 ,18,2010, 塔楼,4,30,1290000.0,"18,477元/平",近地铁 VR房源 房本满五年 随时看房 
碧桂园豪进广场 毛坯三房 格局方正 望小区花园,碧桂园豪进广场,白江,3室2厅 ,116.77, 南 北 , 毛坯 ,31,2016, 塔楼,16, 9个月以前发布,2450000.0,"20,982元/平",近地铁 VR看装修 房本满五年 随时看房 
金地香山湖 南北对流大四房 采光好 视野开阔望山景,金地香山湖,永和,4室2厅 ,137.89, 南 , 毛坯 ,33,2019, 塔楼,32, 一年前发布,1480000.0,"10,734元/平",VR看装修 房本满两年 随时看房 
温馨精装四房，时尚简约，楼层保养好，拎包入住！,锦绣新天地,新塘南,4室2厅 ,166.5, 南 , 精装 ,18,2009, 塔楼,2, 3个月以前发布,2350000.0,"14,115元/平",VR房源 房本满五年 随时看房 
小区1栋单边位安静位置，望荔枝山公园人工湖值得拥有,碧桂园豪进广场,白江,3室1厅 ,119.75, 南 北 , 毛坯 ,30,2016, 塔楼,18, 7个月以前发布,2510000.0,"20,961元/平",近地铁 VR看装修 房本满五年 随时看房 
含两个车位  凤荔苑 楼龄新 双阳台 南北对流 高楼层,碧桂园凤凰城凤荔苑,凤凰城,3室2厅 ,122.93, 南 北 , 精装 ,29,2018, 塔楼,46, 7个月以前发布,2050000.0,"16,677元/平",VR看装修 房本满两年 随时看房 
地铁21号线凤岗站 中国铁建三房望花园 视野开阔,中国铁建国际花园,朱村,3室1厅 ,81.11, 北 东北 , 精装 ,26,2017, 塔楼,3,22,1400000.0,"17,261元/平",近地铁 VR看装修 房本满两年 随时看房 
东南向看花园。业主诚心出卖，格便宜,东方名都,白江,1室2厅 ,50.0, 东南 , 精装 ,17,2012, 塔楼,0,20,1110000.0,"22,200元/平",近地铁 VR房源 房本满五年 随时看房 
环境优美，温馨两房，交通方便，证满五年，,锦绣半山御景,荔城西区,2室1厅 ,77.35, 东北 , 毛坯 ,14,2012, 塔楼,4,30,800000.0,"10,343元/平",VR房源 房本满五年 随时看房 
南北对流，视野开阔，采光足，通风好，配满五,碧桂园城市花园花岸苑,朱村,3室1厅 ,96.37, 东北 , 其他 ,26,2016, 板塔结合,0,16,1270000.0,"13,179元/平",VR房源 房本满两年 随时看房 
房子过五年不唯一 没有按揭 总 j便宜,富城花园,新塘南,4室2厅 ,132.83, 北 , 简装 ,15,2008, 塔楼,2,26,1430000.0,"10,766元/平",VR看装修 房本满五年 
满五年唯一，南北对流，户型端正，采光视野通风俱佳,敏捷锦绣天伦,新塘北,3室2厅 ,119.39, 南 北 , 精装 ,32,2015, 塔楼,0,29,2239000.0,"18,754元/平",VR房源 房本满五年 
本苑区是四期稀有户型 三个房间主阳台都朝南,新塘新世界花园万象苑,沙村,3室2厅 ,95.87, 南 , 精装 ,18,2014, 塔楼,5,22,1900000.0,"19,819元/平",近地铁 VR看装修 房本满五年 
森林半岛鹿鸣山三房两卫，看湖景，满五年唯一,翡翠绿洲森林半岛,凤凰城,3室2厅 ,98.54, 西北 , 精装 ,21,2011, 塔楼,0,17,1980000.0,"20,094元/平",VR房源 房本满五年 
独特全南向3房户型，采光充足，生活方便,嘉骏豪苑,新塘南,3室1厅 ,109.37, 南 , 精装 ,19,2008, 塔楼,1,26,1408000.0,"12,874元/平",VR房源 房本满五年 
中新大盘  精装三房 满五 急卖,恒大山水城,中新镇,3室1厅 ,119.97, 东南 南 , 精装 ,18,2008, 板塔结合,0,27,2000000.0,"16,671元/平",VR房源 房本满五年 
新世界电梯房  视野好 满五年唯一 近地铁,新塘新世界花园万象苑,沙村,3室1厅 ,95.64, 北 , 精装 ,18,2012, 塔楼,10,16,1850000.0,"19,344元/平",近地铁 VR房源 房本满五年 
该房过五，无欠款，带装修，带租客,群星新邨,白江,2室2厅 ,85.73, 北 , 精装 ,21,2012, 塔楼,2,18,1500000.0,"17,497元/平",近地铁 VR房源 房本满五年 
海伦堡半岛大四房 人车分流 满五唯一  保养新视野开阔,广州海伦堡,沙村,4室2厅 ,129.02, 南 东南 , 精装 ,11,2008, 塔楼,0,27,2220000.0,"17,207元/平",VR看装修 房本满五年 
碧桂园凤凰城凤馨苑 3室2厅 北,碧桂园凤凰城凤馨苑,凤凰城,3室2厅 ,97.25, 北 , 精装 ,11,2002, 塔楼,1,19,1600000.0,"16,453元/平",VR看装修 房本满五年 
锦绣新天地，花园式小区，舒适大三房，地段好生活方便,锦绣新天地,新塘南,3室2厅 ,115.0, 东北 , 精装 ,24,2009, 塔楼,0,27,1660000.0,"14,435元/平",VR看装修 房本满五年 
急卖！地铁口 水电二局E区 南向靓装2房 拎包入住,水电二局宿舍,白江,2室1厅 ,52.33, 东南 , 精装 ,8,1996, 板楼,0,20,950000.0,"18,155元/平",近地铁 VR看装修 房本满两年 
此房满五年唯一， 南向大2房，采光好，近地铁花园景观,新塘新世界花园万象苑,沙村,2室2厅 ,82.35, 南 , 简装 ,18,2009, 塔楼,21,30,1720000.0,"20,887元/平",近地铁 VR看装修 房本满五年 
此房满五年唯一 无欠款交易快 全南向高楼层 住家安静,嘉骏豪苑,新塘南,3室2厅 ,94.59, 南 , 精装 ,19,2008, 塔楼,1,17,1150000.0,"12,158元/平",VR房源 房本满两年 
豪进广场，南北对流，高层望公园，精装修，拎包入住,碧桂园豪进广场,白江,4室2厅 ,138.0, 南 北 , 精装 ,31,2016, 塔楼,2, 2个月以前发布,3100000.0,"22,464元/平",近地铁 VR看装修 房本满五年 
白江地铁口旁 东方名都 满五唯一 精装舒适大四房,东方名都,白江,4室2厅 ,168.56, 西北 , 精装 ,29,2013, 塔楼,46, 3个月以前发布,3200000.0,"18,985元/平",近地铁 VR房源 房本满五年 
前排视野好，户型方正，横厅设计，采光好,金地香山湖,永和,4室2厅 ,124.39, 南 , 毛坯 ,33,2018, 塔楼,2, 9个月以前发布,1398000.0,"11,239元/平",VR看装修 房本满两年 随时看房 
此房满五，南北对流采光充足，户型方正*低，,群星花园,新塘南,2室2厅 ,83.1, 南 , 简装 ,8,2003, 板楼,56, 一年前发布,730000.0,"8,785元/平",VR看装修 房本满两年 随时看房 
花园别墅，共3层，三代同堂棒棒,碧桂园荔园,荔城增江,4室2厅 ,196.0, 南 北 , 精装 ,3, 暂无数据 , 联排别墅 ,9, 2个月以前发布,2800000.0,"14,286元/平",VR房源 房本满两年 随时看房 
南向，南北对流   户型方正大三房，高楼层，采光好,金地香山湖,永和,3室2厅 ,108.1, 南 , 毛坯 ,33,2018, 塔楼,0, 4个月以前发布,1250000.0,"11,564元/平",VR看装修 房本满两年 随时看房 
地铁白江站 200米 盛世三房 高层 业主诚意 放卖,新都盛世名门宏城汇,白江,3室1厅 ,91.84, 北 , 精装 ,22,2012, 塔楼,3, 2个月以前发布,1780000.0,"19,382元/平",近地铁 VR看装修 房本满五年 随时看房 
东向 ，电梯中层 ，过5年，精装3房，有车位,碧桂园凤凰城凤馨苑,凤凰城,3室2厅 ,97.0, 东 , 简装 ,18,2002, 塔楼,2, 1个月以前发布,1620000.0,"16,702元/平",VR看装修 房本满五年 随时看房 
满五唯一住房    大型小区 人车分流,时代倾城(增城区),荔城增江,1室1厅 ,58.95, 北 , 精装 ,31,2011, 塔楼,0, 2个月以前发布,838000.0,"14,216元/平",VR看装修 房本满五年 随时看房 
大三房 望园林中楼层 南向  采光好,汇东国际花园,白江,3室2厅 ,112.64, 南 北 , 精装 ,28,2017, 塔楼,0, 1个月以前发布,2180000.0,"19,354元/平",VR看装修 房本满两年 随时看房 
锦绣天伦南向三房 业主急出 看中好谈,敏捷锦绣天伦,新塘北,3室1厅 ,102.5, 南 , 毛坯 ,18,2017, 塔楼,99, 1个月以前发布,1730000.0,"16,879元/平",VR看装修 房本满两年 随时看房 
假日花园  温馨两房  全新装修未入住  满五唯一,假日花园,白江,2室2厅 ,65.98, 东北 , 精装 ,18,2007, 塔楼,6, 1个月以前发布,1450000.0,"21,977元/平",近地铁 VR看装修 房本满五年 随时看房 
户型方正，景观好，中间楼层采光好，业主诚心放卖！,广州海伦堡,沙村,3室1厅 ,111.7, 北 , 精装 ,11,2008, 塔楼,27, 6个月以前发布,1780000.0,"15,936元/平",VR房源 房本满五年 随时看房 
合汇学府名郡 地铁小三房 装修保养新,合汇学府名郡,白江,3室2厅 ,96.26, 东北 , 精装 ,32,2017, 塔楼,12, 10个月以前发布,1650000.0,"17,142元/平",近地铁 VR看装修 房本满两年 随时看房 
业主诚心出*   中间层 看房方便有钥匙,敏捷锦绣天伦,新塘北,2室2厅 ,76.65, 北 , 毛坯 ,32,2014, 塔楼,5, 一年前发布,1300000.0,"16,961元/平",VR看装修 房本满两年 随时看房 
南向 . 高楼层.看花园.无遮挡近地铁,新塘新世界花园万象苑,沙村,3室2厅 ,94.23, 南 , 简装 ,18,2009, 塔楼,87, 一年前发布,1950000.0,"20,695元/平",近地铁 VR看装修 房本满五年 随时看房 
环境优美、户型通透、业主诚意放卖,合景花漫里,永和,3室2厅 ,86.59, 南 , 精装 ,33,2017, 塔楼,24, 10个月以前发布,1180000.0,"13,628元/平",VR看装修 房本满两年 随时看房 
海伦堡花园 近小区出入方便 产权清晰 大阳台 业主急,广州海伦堡,沙村,3室2厅 ,91.81, 南 , 精装 ,17,2006, 塔楼,22, 6个月以前发布,1480000.0,"16,121元/平",VR看装修 房本满五年 随时看房 
顶好大厦、业主自住 装修保养好三房  住宅性质   急卖,顶好大厦,新塘南,3室2厅 ,83.37, 西 , 精装 ,6,2004, 塔楼,4, 1个月以前发布,988000.0,"11,851元/平",VR看装修 房本满两年 随时看房 
毛坯南向3房，中等楼层，可装修自己喜欢的风格。,太阳城巧克力,永和,3室2厅 ,108.47, 南 北 , 毛坯 ,18,2013, 塔楼,0, 一年前发布,1350000.0,"12,446元/平",VR看装修 房本满五年 随时看房 
金地香山湖 4室1厅 南,金地香山湖,永和,4室1厅 ,124.06, 南 , 毛坯 ,31,2017, 板塔结合,1, 7个月以前发布,1400000.0,"11,285元/平",VR看装修 房本满两年 随时看房 
本房满五唯一高层通风采光好南向格局方正交通生活便利,新都盛世名门宏城汇,白江,2室1厅 ,79.16, 北 , 精装 ,22,2012, 塔楼,4, 2个月以前发布,1430000.0,"18,065元/平",VR房源 房本满五年 随时看房 
满五房源，免重税，南向看花园三房，安静舒适,碧桂园城市花园花岸苑,朱村,3室2厅 ,97.68, 南 , 毛坯 ,25,2016, 板塔结合,116, 一年前发布,1370000.0,"14,026元/平",VR房源 房本满五年 随时看房 
体育花园 过五年 低税 两房方正看花园 看房方便,汇美体育花园,新塘北,2室2厅 ,85.99, 北 南 , 精装 ,22,2006, 塔楼,21, 6个月以前发布,1135000.0,"13,200元/平",VR看装修 房本满五年 随时看房 
金地香山湖 2室2厅 南,金地香山湖,永和,2室2厅 ,87.0, 南 , 毛坯 ,33,2018, 塔楼,1, 一年前发布,920000.0,"10,575元/平",VR看装修 房本满两年 随时看房 
新康花园电梯洋房    配套齐全，交通便利,新康花园,白江,2室1厅 ,79.99, 南 , 精装 ,6,2002, 塔楼,122, 一年前发布,1200000.0,"15,002元/平",VR看装修 房本满五年 随时看房 
现代城市花园，满5唯一，阔气两份，期待你的看房！,现代城市花园,新塘北,2室1厅 ,87.5, 北 , 简装 ,18,2007, 塔楼,27, 2个月以前发布,1399000.0,"15,989元/平",近地铁 VR房源 房本满五年 随时看房 
有钥匙 看花园 看房方便 随时可以约,敏捷锦绣天伦,新塘北,3室1厅 ,102.22, 南 , 毛坯 ,32,2015, 塔楼,41, 4个月以前发布,1790000.0,"17,512元/平",VR房源 房本满两年 随时看房 
朱村地铁站旁100米 小高层低密度住宅区 实用三房,仁安花园,朱村,3室2厅 ,93.27, 北 , 毛坯 ,10,2017, 塔楼,112, 一年前发布,1130000.0,"12,116元/平",近地铁 VR看装修 房本满两年 随时看房 
区府少量5房平层，270度无遮挡，望湖一线江景南北对流,创基丽江国际,增城区府,5室2厅 ,183.46, 东南 , 精装 ,36,2016, 塔楼,13, 6个月以前发布,3300000.0,"17,988元/平",VR看装修 房本满两年 随时看房 
此房满五 南向采光很好，楼龄新，业主诚心卖，保养好,新塘新世界花园万象苑,沙村,3室1厅 ,95.38, 南 , 简装 ,18,2012, 塔楼,6, 2个月以前发布,2120000.0,"22,227元/平",近地铁 VR看装修 房本满五年 随时看房 
中间楼层，边位光线好，北朝向对小区,广州敏捷绿湖首府三期,石滩镇,3室2厅 ,83.32, 东北 , 精装 ,32,2019, 塔楼,4, 一年前发布,840000.0,"10,082元/平",VR看装修 房本满两年 随时看房 
房产面积不过90方的三房两卫，业主有心卖哈。,锦绣新天地,新塘南,3室2厅 ,89.62, 东北 , 简装 ,15,2009, 塔楼,17, 2个月以前发布,1330000.0,"14,841元/平",VR看装修 房本满五年 随时看房 
户型方正，适合居住，物业好，管理好，干净,广州敏捷绿湖首府三期,石滩镇,3室2厅 ,84.59, 东北 , 精装 ,32,2018, 塔楼,59, 一年前发布,860000.0,"10,167元/平",VR看装修 房本满两年 随时看房 
此房源户型方正 环境优美 绿色视野,恒大山水城,中新镇,2室1厅 ,90.17, 北 , 精装 ,18,2012, 板塔结合,0, 7个月以前发布,1200000.0,"13,309元/平",VR看装修 房本满五年 随时看房 
地铁21号线旁恒大山水城全新未住三房出*,恒大山水城,中新镇,3室2厅 ,96.0, 北 , 精装 ,18,2008, 板塔结合,1, 一年前发布,1300000.0,"13,542元/平",VR看装修 房本满五年 随时看房 
新塘TOD地铁物业三房  好楼层好视野 好位置不临街,现代城市花园,新塘北,3室2厅 ,119.87, 东南 , 简装 ,18,2006, 塔楼,35, 9个月以前发布,1830000.0,"15,267元/平",近地铁 VR房源 房本满五年 随时看房 
