西门口版块 中层精装三房 东南朝向 拎包入住,光复北路,龙津,3室1厅 ,73.38, 东 南 , 精装 ,10,1995, 板楼,0,5,2300000.0,"31,344元/平",VR看装修 房本满两年 随时看房 
满五唯一 方正实用 厅出阳台三房,桥东小区,滘口,3室2厅 ,89.69, 北 , 简装 ,9,1995, 塔楼,1,16,2250000.0,"25,087元/平",近地铁 VR看装修 房本满五年 
保利社区 望花园安静 绿树成荫 原装电梯 满五年唯一,保利塞纳维拉,龙溪,2室2厅 ,70.53, 南 北 , 精装 ,18,2015, 板楼,2,17,2350000.0,"33,320元/平",VR看装修 房本满五年 
厅出阳台，方正户型，西南采光视野棒，,荔港南湾,南岸路,2室1厅 ,77.0, 西南 , 精装 ,25,1999, 塔楼,7,14,2800000.0,"36,364元/平",近地铁 VR房源 房本满五年 
原装两房 过5年唯一  诚意放卖 有小区管理,新丽苑,龙溪,2室1厅 ,56.56, 北 南 , 其他 ,6,2000, 板楼,1,4,1020000.0,"18,034元/平",近地铁 VR看装修 房本满五年 
南向大阳台9米长；吊打100平方的任何一个房源,誉领轩,龙津,3室2厅 ,102.86, 东 东南 , 精装 ,22,2012, 塔楼,1,13,7250000.0,"70,485元/平",VR看装修 房本满五年 
凯粤湾C区刚需2房，满五唯一，自住保养新,新世界凯粤湾,滘口,2室1厅 ,79.18, 西南 , 精装 ,33,2015, 塔楼,1,13,3620000.0,"45,719元/平",近地铁 VR看装修 房本满五年 
高层望江视野，三江交汇尽收眼底，罕有放盘,恒荔湾畔,芳村,3室2厅 ,96.71, 西南 西北 , 精装 ,33,2008, 塔楼,0,9,5250000.0,"54,287元/平",近地铁 VR房源 房本满五年 
急卖陈家祠商圈双地铁，刚需上车精装修三房，配套齐全,中山七路,龙津,3室1厅 ,61.54, 东南 , 精装 ,9,1991, 塔楼,2,21,2300000.0,"37,375元/平",近地铁 VR看装修 房本满两年 随时看房 
全新精装电梯三房 彩虹桥地铁上,泰安楼,西华路,3室1厅 ,72.1, 东南 , 精装 ,9,1995, 塔楼,4,18,2880000.0,"39,945元/平",VR看装修 房本满五年 随时看房 
荔湾区，一手业主，满五年，免增值税，无按揭。,西场电器城,西村,2室1厅 ,64.57, 南 , 简装 ,8,1990, 塔楼,0,24,1428000.0,"22,116元/平",近地铁 VR房源 房本满五年 随时看房 
长寿路地铁站 此房格局好 视野开阔 通风透气 采光充足,宝华路(荔湾),西关,3室2厅 ,80.84, 东北 东南 , 简装 ,9,1996, 塔楼,6,18,2400000.0,"29,689元/平",近地铁 VR看装修 房本满五年 随时看房 
保利公园九里 中高层南向望花园 大三房  满五年唯一,保利公园九里,龙溪,3室1厅 ,128.0, 东 , 精装 ,32,2014, 塔楼,0,29,5090000.0,"39,766元/平",VR看装修 房本满五年 
金兰苑 小区管理  小户型满五 通风便利好环境,金兰苑,汾水,2室1厅 ,51.85, 南 北 , 简装 ,9,2001, 塔楼,10,31,1100000.0,"21,216元/平",VR看装修 房本满五年 
桥东小区五芳苑 电梯两房 间隔方正 东南向,五芳苑,滘口,2室1厅 ,58.21, 东南 , 简装 ,9,2000, 塔楼,1,18,1700000.0,"29,205元/平",VR看装修 房本满五年 
景晖苑 满五年 准电梯房 户型方正 补分摊后71.839平方,景晖苑(荔湾区),鹤洞,2室2厅 ,71.83, 北 , 简装 ,9,1997, 塔楼,2,30,1650000.0,"22,971元/平",VR看装修 房本满五年 
原装大三房 南北对流 凤凰层望花地河 景观好,中铁荔湾国际城,龙溪,3室2厅 ,115.0, 南 北 , 其他 ,33,2015, 塔楼,4,20,4600000.0,"40,000元/平",VR房源 房本满五年 
【近沙面】【电梯四房】【居家精装修】【拎包入住】,西关大厦,人民路,4室2厅 ,101.48, 南 北 , 精装 ,20,1989, 塔楼,2,29,3680000.0,"36,264元/平",近地铁 VR房源 房本满两年 
精装修 格局好 户型实用性高 配套成熟 交通方便,金道花园,鹤洞,2室2厅 ,70.18, 西南 西北 , 精装 ,9,2000, 塔楼,3,29,2200000.0,"31,348元/平",近地铁 VR看装修 房本满五年 
房子保养好 东南向 格局方正 业主诚意卖 满5唯一,新世界逸彩庭园,滘口,3室2厅 ,97.03, 东南 南 , 简装 ,23,2007, 塔楼,82, 6个月以前发布,3680000.0,"37,927元/平",近地铁 VR看装修 房本满五年 
福州路 1室1厅 东南,福州路,西村,1室1厅 ,35.23, 东南 , 其他 ,6,2000, 塔楼,1,11,730000.0,"20,721元/平",近地铁 VR看装修 房本满五年 随时看房 
精装！地铁盘 公积金看过来 原装电梯小区 刚需自住适,城启晴轩,西关,1室1厅 ,30.78, 南 , 精装 ,26,2003, 塔楼,5,14,1280000.0,"41,586元/平",VR看装修 房本满五年 随时看房 
隽泷湾 高层大四房 业主自住保养的很好 看房方便,路劲隽泷湾,龙溪,4室2厅 ,145.14, 东 , 精装 ,31,2014, 塔楼,9, 3个月以前发布,4650000.0,"32,039元/平",VR看装修 房本满五年 
南源花园 小区管理 原装电梯 实用两房,南源花园,南岸路,2室1厅 ,51.93, 西 , 简装 ,17,1998, 塔楼,0,9,2100000.0,"40,440元/平",近地铁 VR看装修 房本满五年 
少有户型 小面积原装电梯楼 小区管理 近地铁,裕兴苑,陈家祠,2室1厅 ,62.95, 北 , 简装 ,9,2001, 塔楼,1,6,2600000.0,"41,303元/平",VR看装修 房本满五年 
老城区富力路西焦公园旁边南源花源,南源花园,南岸路,2室1厅 ,55.97, 南 北 , 简装 ,25,1998, 塔楼,1,14,2200000.0,"39,307元/平",近地铁 VR看装修 房本满五年 
陈家祠旁电梯两房.厅出大阳台光线好,中山七路,龙津,2室1厅 ,51.64, 东 北 , 简装 ,9,1990, 塔楼,0,12,2100000.0,"40,667元/平",近地铁 VR看装修 房本满五年 
幸福新村 低层实用两房 全明屋 有露台 楼龄新 随时看,幸福新村,周门,2室1厅 ,48.82, 西北 , 简装 ,9,2003, 塔楼,0,2,1940000.0,"39,738元/平",近地铁 VR房源 房本满五年 
荔港南湾 高楼层 间隔方正 视野开阔,荔港南湾,南岸路,2室1厅 ,73.11, 东北 , 简装 ,25,1999, 塔楼,0,5,2680000.0,"36,658元/平",近地铁 VR看装修 房本满五年 
隆城大厦原装电梯高层两房，精装修，视野开阔,隆城大厦,中山八,2室1厅 ,61.73, 南 , 精装 ,28,2000, 塔楼,10, 2个月以前发布,2100000.0,"34,020元/平",VR看装修 房本满五年 随时看房 
毛坯三房两卫  南向安静 采光充足  诚心放卖,华发荔湾荟,滘口,3室2厅 ,96.15, 南 , 毛坯 ,20,2016, 塔楼,95, 一年前发布,3650000.0,"37,962元/平",VR看装修 房本满两年 随时看房 
2站到乐峰 背靠广钢新城 电梯房 精装修拎包入住,芳华阁,鹤洞,3室1厅 ,97.68, 南 , 简装 ,9,1994, 塔楼,39, 5个月以前发布,2580000.0,"26,413元/平",近地铁 VR看装修 房本满五年 随时看房 
荔湾广场带平台2房 翻新大堂 华林寺8号线 总*低,荔湾广场,人民路,2室1厅 ,79.6, 西北 , 简装 ,30,2000, 板塔结合,112, 一年前发布,1730000.0,"21,734元/平",近地铁 VR看装修 房本满五年 随时看房 
合兴苑 实用大三房 户型方正实用 精装修保养好,合兴苑,花地湾,3室1厅 ,92.28, 西 东 , 精装 ,8,1997, 板楼,13, 5个月以前发布,2400000.0,"26,008元/平",近地铁 VR房源 房本满五年 随时看房 
新世界凯粤湾，江景望江盘，全新未入住,新世界凯粤湾,滘口,2室2厅 ,79.82, 东北 , 精装 ,33,2019, 塔楼,63, 一年前发布,3800000.0,"47,608元/平",近地铁 VR看装修 房本满两年 随时看房 
乐贤坊  满五年少税 高层无遮挡采光通风好,文昌雅居,龙津,3室2厅 ,94.13, 南 北 , 其他 ,32,2006, 塔楼,31, 7个月以前发布,4790000.0,"50,888元/平",近地铁 VR看装修 房本满五年 随时看房 
全新装修低层两房，合兴苑成熟小区交通便利,合兴苑,花地湾,2室1厅 ,49.91, 东 , 精装 ,8,1997, 板楼,15, 4个月以前发布,1390000.0,"27,851元/平",近地铁 VR房源 房本满五年 随时看房 
悦江上品 江景房 中高层 精装修可拎包入住 视野开阔,悦江上品苑,大坦沙,3室1厅 ,94.58, 北 , 精装 ,26,2016, 塔楼,0, 1个月以前发布,4980000.0,"52,654元/平",近地铁 VR房源 房本满两年 随时看房 
如意阁 石围塘11号线 中层单位,如意阁,芳村,2室1厅 ,73.02, 东南 , 简装 ,8,2001, 塔楼,41, 一年前发布,1850000.0,"25,336元/平",VR看装修 房本满两年 随时看房 
此房证满五年 近花地湾地铁 低层南向安静小区环境佳,红棉苑南区,花地湾,2室1厅 ,76.51, 南 , 简装 ,8,2000, 塔楼,109, 6个月以前发布,2300000.0,"30,062元/平",近地铁 VR看装修 房本满五年 随时看房 
西关小独栋，彩光通风好，景区就在家门 西关文化情怀,龙津西路,西关,2室1厅 ,37.81, 东南 , 精装 ,1,2004, 平房,51, 3个月以前发布,1880000.0,"49,723元/平",近地铁 VR房源 房本满五年 随时看房 
金兰苑电梯三房  满五年 格局方正 交通方便 朝向好,金兰苑,汾水,3室1厅 ,83.93, 南 北 , 简装 ,9,2001, 塔楼,24, 3个月以前发布,1850000.0,"22,043元/平",VR看装修 房本满五年 随时看房 
怡芳苑电梯三房，对花园满五年近地铁,怡芳苑,花地湾,3室1厅 ,67.49, 南 , 简装 ,9,1998, 塔楼,31, 一年前发布,2460000.0,"36,450元/平",近地铁 VR看装修 房本满五年 随时看房 
户型方正 标准两房 ；环境安静舒适；楼层好；景观正,金宇花园,东塱,2室2厅 ,62.27, 东南 , 简装 ,9,1999, 塔楼,43, 一年前发布,1550000.0,"24,892元/平",VR房源 房本满五年 随时看房 
珠岛花园 南北向电梯三房 望花园双阳台 光线好装修新,珠岛花园,大坦沙,3室1厅 ,63.82, 南 北 , 精装 ,9,1995, 板塔结合,8, 3个月以前发布,2650000.0,"41,524元/平",VR房源 房本满两年 随时看房 
陈家祠 阳光实用三房  旺中带静,康王北路,陈家祠,3室2厅 ,58.56, 东南 , 精装 ,8,1992, 塔楼,34, 7个月以前发布,2180000.0,"37,227元/平",近地铁 VR看装修 房本满五年 随时看房 
广钢新城后花园，户型方正，地铁沿线,金宇花园,东塱,2室1厅 ,62.27, 东北 , 简装 ,9,1999, 塔楼,43, 一年前发布,1650000.0,"26,498元/平",VR房源 房本满五年 随时看房 
翠竹苑 南向两房 交通方便 满五年,恒利翠竹苑,鹤洞,2室2厅 ,88.85, 南 , 精装 ,24,2001, 塔楼,20, 2个月以前发布,3080000.0,"34,666元/平",近地铁 VR看装修 房本满五年 随时看房 
全新装修 全屋家私家电 满五唯一 有钥匙随时看房,桥东小区,滘口,3室1厅 ,63.62, 西南 , 精装 ,9,1995, 塔楼,39, 3个月以前发布,1680000.0,"26,407元/平",近地铁 VR房源 房本满五年 随时看房 
万科柏悦湾 证够五年 客厅出阳台 户型方正实用,万科柏悦湾,大坦沙,3室1厅 ,96.79, 北 , 其他 ,34,2010, 塔楼,78, 7个月以前发布,4050000.0,"41,844元/平",VR看装修 房本满五年 随时看房 
电梯两房 精装修 厅出阳台南向,金花小区,西华路,2室1厅 ,44.92, 南 , 精装 ,9,2003, 塔楼,16, 2个月以前发布,2250000.0,"50,090元/平",VR房源 房本满两年 随时看房 
珠岛花园 三期加装电梯两房 保养好,珠岛花园,大坦沙,2室1厅 ,62.12, 北 , 精装 ,9,1995, 板塔结合,22, 7个月以前发布,2500000.0,"40,245元/平",VR看装修 房本满五年 随时看房 
户型方正.朝向好.产权清晰.保养好,乐怡居,花地湾,2室1厅 ,80.77, 南 , 简装 ,31,1996, 塔楼,31, 7个月以前发布,2350000.0,"29,095元/平",近地铁 VR看装修 房本满五年 随时看房 
花地城广场 精致三房两卫 温馨舒适 拎包即可入住,花地城广场,花地湾,3室2厅 ,98.67, 西 , 精装 ,17,2002, 塔楼,0, 1个月以前发布,3880000.0,"39,323元/平",近地铁 VR房源 房本满五年 随时看房 
9月满五年 方正精装两房 望花园 安静舒适,保利塞纳维拉,龙溪,2室1厅 ,70.53, 东北 , 精装 ,18,2015, 板楼,21, 2个月以前发布,2300000.0,"32,611元/平",VR看装修 房本满五年 随时看房 
原装电梯  户型方正  居住舒适 交通出行方便,泰安楼,西华路,3室2厅 ,84.05, 东 南 , 精装 ,9,1995, 塔楼,462, 一年前发布,3280000.0,"39,025元/平",VR房源 房本满五年 随时看房 
满五唯一，东南向，户型方正，产权清晰,花地城广场,花地湾,2室1厅 ,82.77, 东南 , 简装 ,17,2002, 塔楼,10, 4个月以前发布,3300000.0,"39,870元/平",近地铁 VR房源 房本满五年 随时看房 
花语南向高3房2卫，楼层视野开阔，户型方正实用,花语水岸,大坦沙,3室2厅 ,118.16, 南 , 精装 ,26,2015, 塔楼,6, 1个月以前发布,6230000.0,"52,726元/平",近地铁 VR看装修 房本满五年 随时看房 
幸福新村，三房三面单边，带天台花园，陈家祠旁边,幸福新村,周门,3室1厅 ,51.07, 东南 东北 南 , 精装 ,6,1990, 板楼,71, 2个月以前发布,1680000.0,"32,897元/平",近地铁 VR看装修 房本满五年 随时看房 
小康人家 2室1厅 南,小康人家,坑口,2室1厅 ,79.24, 南 , 简装 ,11,2002, 塔楼,18, 1个月以前发布,2650000.0,"33,443元/平",近地铁 VR看装修 房本满五年 随时看房 
东南向电梯三房 各付各税 700米滘口地铁站 封闭管理,祥兴新村,滘口,3室1厅 ,63.98, 东南 , 简装 ,9,1998, 塔楼,33, 11个月以前发布,1650000.0,"25,790元/平",VR看装修 房本满两年 随时看房 
凯粤湾南向看花园两房，五号线，交通便利配套齐全,新世界凯粤湾,滘口,2室1厅 ,75.61, 南 西南 , 精装 ,33,2015, 塔楼,9, 1个月以前发布,3550000.0,"46,952元/平",近地铁 VR看装修 房本满两年 随时看房 
西南看江三房 户型方正 产权清晰 闹中取静,岭南湾畔,西村,3室1厅 ,100.96, 西南 , 精装 ,32,2010, 塔楼,21, 8个月以前发布,5600000.0,"55,468元/平",近地铁 VR看装修 房本满两年 随时看房 
楼龄新 过5唯一 主套改成衣帽间 装修新保养好,丰年华庭,茶滘,3室2厅 ,105.19, 北 , 精装 ,15,2008, 板楼,67, 一年前发布,3500000.0,"33,274元/平",近地铁 VR看装修 房本满五年 随时看房 
保利三房望花园 各付各税 自住保养好 中高楼视野宽阔,保利公园九里,龙溪,3室2厅 ,91.26, 南 北 , 精装 ,17,2014, 塔楼,153, 6个月以前发布,3490000.0,"38,243元/平",VR看装修 房本满五年 随时看房 
桥东小区！电梯两房！安静望小区！满五不唯一税费低！,桥东小区,滘口,2室1厅 ,71.37, 东北 , 简装 ,9,1995, 塔楼,82, 一年前发布,1690000.0,"23,680元/平",近地铁 VR看装修 房本满五年 随时看房 
金宇花园 电梯两房 南向 户型方正,金宇花园,东塱,2室1厅 ,61.16, 南 北 , 简装 ,9,1995, 塔楼,16, 4个月以前发布,1650000.0,"26,979元/平",VR看装修 房本满五年 随时看房 
合兴苑小区 实用小两房 低层单位 有匙即看,合兴苑,花地湾,2室1厅 ,56.82, 东南 , 简装 ,8,1997, 板楼,3, 2个月以前发布,1500000.0,"26,400元/平",近地铁 VR房源 房本满五年 随时看房 
万科金域华府 媲美整路段一手楼  南北对流有入户空间,万科金域华府,龙津,3室1厅 ,72.49, 西北 , 精装 ,32,2009, 塔楼,68, 5个月以前发布,5450000.0,"75,183元/平",近地铁 VR看装修 房本满五年 随时看房 
金花小区 中层单位 单边位 采光好,金花小区,西华路,2室1厅 ,68.8, 东北 , 精装 ,8,2003, 塔楼,14, 6个月以前发布,2600000.0,"37,791元/平",近地铁 VR看装修 房本满五年 随时看房 
证够五年  唯一物业   电梯已加装使用中,金兰苑,汾水,2室1厅 ,52.33, 东南 , 简装 ,9,2001, 塔楼,0, 1个月以前发布,1320000.0,"25,225元/平",VR看装修 房本满五年 随时看房 
5.8号线双地铁口 马赛克外墙楼龄新满五年 即买即收租,业丰花园,西村,1室1厅 ,46.78, 西南 , 简装 ,9,1996, 塔楼,7, 2个月以前发布,1100000.0,"23,515元/平",近地铁 VR房源 房本满五年 随时看房 
鸿图苑 电梯两房 证满5年 配套完善 交通便利,鸿图苑,汾水,2室1厅 ,65.0, 西北 , 简装 ,9,1995, 塔楼,8, 3个月以前发布,1700000.0,"26,154元/平",VR房源 房本满五年 随时看房 
荔湾湖旁，电梯精装三房，小区管理，业主急卖，,黄沙大道,黄沙,3室1厅 ,70.2, 东南 , 精装 ,8,1997, 塔楼,133, 5个月以前发布,2700000.0,"38,462元/平",近地铁 VR房源 房本满五年 随时看房 
周门 西外 户型劲方正 正南向yyds实用全明 两房,周门小区周门西街,周门,2室1厅 ,61.61, 东南 , 毛坯 ,9,1998, 塔楼,7, 1个月以前发布,1880000.0,"30,515元/平",VR看装修 房本满五年 随时看房 
荔湾广场 电梯中层两房 采光好 老城区成熟配套,荔湾广场,人民路,2室1厅 ,79.6, 东北 , 简装 ,30,2000, 板塔结合,99, 一年前发布,1730000.0,"21,734元/平",近地铁 VR房源 房本满五年 随时看房 
95年顶楼带天台已做好防水隔热电梯大3房，满五唯一,田间苑小区,南岸路,3室2厅 ,84.04, 南 , 毛坯 ,9,1991, 塔楼,16, 5个月以前发布,2330000.0,"27,725元/平",近地铁 VR看装修 房本满五年 随时看房 
东鹏二期 满五唯一 原装电梯 带平台 户型方正实用两房,东鹏花园二期,坑口,2室1厅 ,62.53, 西南 , 精装 ,12,1997, 塔楼,33, 5个月以前发布,2000000.0,"31,985元/平",近地铁 VR房源 房本满五年 随时看房 
地铁盘绕 闹中带静 大三房灵动 高层电梯房近公园,流花路39号大院,流花站前,3室2厅 ,96.53, 北 , 精装 ,9,1992, 暂无数据,28, 7个月以前发布,2720000.0,"28,178元/平",VR看装修 房本满五年 随时看房 
小康人家大两房，满五年唯一，户型方正，配套齐全,小康人家,坑口,2室1厅 ,89.46, 西北 , 简装 ,19,2002, 塔楼,7, 2个月以前发布,2550000.0,"28,505元/平",近地铁 VR房源 房本满两年 随时看房 
各付各税此房望小区花园花地河，实用四房。带入户,远东御江豪庭,茶滘,4室2厅 ,126.58, 南 西 , 精装 ,15,2015, 塔楼,123, 一年前发布,4650000.0,"36,736元/平",VR看装修 房本满两年 随时看房 
富力环市西苑大一房业主诚意卖  适合刚需白领读书,富力环市西苑,西村,1室1厅 ,45.39, 西 , 简装 ,15,2000, 塔楼,5, 3个月以前发布,2170000.0,"47,808元/平",近地铁 VR看装修 房本满五年 随时看房 
此房满五 温馨实用三房 厅出阳台,荔港南湾,南岸路,3室1厅 ,76.08, 东北 , 精装 ,32,2008, 塔楼,0, 1个月以前发布,3550000.0,"46,662元/平",近地铁 VR看装修 房本满五年 随时看房 
富力广场T区 正规1房 无改动 户型方正 产权清晰,富力广场T区,中山八,1室1厅 ,40.82, 北 东北 , 简装 ,25,2005, 塔楼,149, 1个月以前发布,2080000.0,"50,956元/平",VR看装修 房本满五年 随时看房 
黄沙大道，荔湾湖公园，精装修小两房，随时可看房,黄沙大道,黄沙,2室1厅 ,28.75, 东 北 , 精装 ,7,1991, 塔楼,85, 一年前发布,850000.0,"29,566元/平",近地铁 VR看装修 房本满五年 随时看房 
西门口，宏新华庭，次新房，东向，2室1厅，厅直出阳台,宏新华庭,龙津,2室1厅 ,80.1, 东 , 精装 ,32,2010, 塔楼,7, 3个月以前发布,4980000.0,"62,173元/平",近地铁 VR看装修 房本满五年 随时看房 
省心省力可领包入住 低楼层且还地铁站边,长寿西路,西关,2室1厅 ,33.49, 东南 , 精装 ,6,2000, 板楼,29, 一年前发布,1100000.0,"32,846元/平",近地铁 VR看装修 房本满五年 随时看房 
元邦明月星辉 实用两房有阳台 通风采光好 交通便利,元邦明月星辉,龙津,2室2厅 ,47.72, 北 , 简装 ,27,2011, 板塔结合,8, 2个月以前发布,2380000.0,"49,875元/平",VR看装修 房本满五年 随时看房 
陈家祠双地铁1/8号，小区管理，高层电梯，视野开阔，,华福大厦,龙津,2室1厅 ,50.94, 西 , 精装 ,28,2002, 塔楼,63, 7个月以前发布,1850000.0,"36,318元/平",近地铁 VR看装修 房本满五年 随时看房 
福州路  小区管理 低楼层 随时看房,福州路,西村,1室1厅 ,30.5, 东南 , 简装 ,6,2000, 塔楼,14, 4个月以前发布,700000.0,"22,951元/平",近地铁 VR看装修 房本满五年 随时看房 
宝华路中层 实用两房一厅 全新装修 拎包入住 随时看房,宝华路(荔湾),西关,2室1厅 ,45.59, 东 , 精装 ,7,1995, 平房,13, 2个月以前发布,1490000.0,"32,683元/平",VR房源 房本满五年 随时看房 
宝华路 原装电梯楼 东南向两房 长寿路站旁 马赛克外墙,宝华路(荔湾),西关,2室1厅 ,37.31, 东南 , 精装 ,9,1991, 塔楼,10, 2个月以前发布,1660000.0,"44,493元/平",近地铁 VR看装修 房本满五年 随时看房 
此房满5唯一，楼层适高层，实用性高。,荔港南湾,南岸路,2室1厅 ,70.75, 西南 , 精装 ,25,1999, 塔楼,50, 9个月以前发布,3200000.0,"45,230元/平",近地铁 VR房源 房本满五年 随时看房 
文昌花园  花园电小区 电梯两房  距地铁150米  满五年,文昌花园,西关,2室1厅 ,55.94, 东 , 简装 ,32,2000, 塔楼,38, 一年前发布,1960000.0,"35,038元/平",近地铁 VR看装修 房本满五年 随时看房 
文昌南路 精装修两房 通风采光好 满五唯一 产权清晰,文昌南路,西关,2室2厅 ,46.22, 东 , 精装 ,8,2010, 塔楼,6, 1个月以前发布,1550000.0,"33,536元/平",近地铁 VR看装修 房本满五年 随时看房 
桃源小区电梯高层小户形 业主全新装修 满五年,桃源社区,西华路,1室0厅 ,14.68, 北 , 精装 ,9,1991, 塔楼,24, 3个月以前发布,670000.0,"45,641元/平",VR看装修 房本满五年 随时看房 
名汇大厦高层电梯两房 新装修 南向视野开阔,名汇商业大厦,西关,2室1厅 ,70.0, 南 , 精装 ,32,2000, 塔楼,32, 10个月以前发布,2750000.0,"39,286元/平",VR房源 房本满五年 随时看房 
金花小区 马赛克外墙楼龄新 中层方正两房,金花小区,西华路,2室1厅 ,39.74, 北 , 精装 ,9,2003, 塔楼,14, 2个月以前发布,1200000.0,"30,197元/平",VR看装修 房本满五年 随时看房 
市政东苑  户型方正 低楼层 视野开阔,市政东苑,南岸路,1室1厅 ,46.44, 南 , 简装 ,9,1990, 塔楼,11, 2个月以前发布,930000.0,"20,026元/平",近地铁 VR房源 房本满五年 随时看房 
骏业阁 西南向无遮挡中层精装带主套三房 双地铁小区,骏业阁,西关,3室2厅 ,123.77, 南 西南 西 , 精装 ,27,2005, 塔楼,0,22,4790000.0,"38,701元/平",近地铁 VR看装修 房本满五年 
黄沙大道 荔湖明苑二期 精装修厅出阳台高层望江望花园,荔湖明苑,黄沙,2室2厅 ,74.54, 南 西 北 , 精装 ,23,2003, 塔楼,1,13,3380000.0,"45,345元/平",近地铁 VR房源 房本满五年 
岭南湾畔  南向看花园 看房随时 户型方正,岭南湾畔,西村,2室1厅 ,84.3, 南 , 精装 ,32,2010, 塔楼,41, 一年前发布,4080000.0,"48,399元/平",近地铁 VR看装修 房本满五年 随时看房 
一手房改   南向全明两房  小区环境舒适,周门小区周门街,周门,2室1厅 ,61.78, 南 , 简装 ,11,1998, 平房,13, 2个月以前发布,2350000.0,"38,039元/平",近地铁 VR看装修 房本满五年 随时看房 
【老城区次新房】【高层三房带主套】【双地铁双公园】,侨康大厦,和平西,3室2厅 ,101.52, 北 东 , 精装 ,22,2016, 塔楼,70, 6个月以前发布,4280000.0,"42,160元/平",近地铁 VR看装修 房本满五年 随时看房 
万科金域华府 三房带主套 厅出阳台 近地铁 高使用率,万科金域华府,龙津,3室2厅 ,94.18, 东 , 精装 ,32,2009, 塔楼,25, 9个月以前发布,6300000.0,"66,894元/平",近地铁 VR看装修 房本满五年 随时看房 
龙津华府 南北对流 户型方正实用 通风采光好,龙津华府,龙津,4室2厅 ,112.91, 南 , 精装 ,32,2015, 塔楼,94, 一年前发布,7380000.0,"65,362元/平",VR看装修 房本满五年 随时看房 
