南北通透双阳台！一线瞰湖！看房方便,南沙奥园,南沙湾,3室1厅 ,134.16, 南 北 , 精装 ,11,2012, 塔楼,0,5,2050000.0,"15,281元/平",VR房源 房本满两年 随时看房 
南沙云山诗意大三房，过五唯一低税费，保养装修靓.,南沙云山诗意,金洲,3室2厅 ,112.93, 北 , 精装 ,28,2014, 塔楼,1, 2个月以前发布,2930000.0,"25,946元/平",VR看装修 房本满五年 
业主急卖 税费低 只要房子合适 都好沟通,海璟奥园,金洲,3室2厅 ,136.66, 南 北 , 精装 ,25,2011, 塔楼,35, 4个月以前发布,2530000.0,"18,514元/平",VR看装修 房本满五年 
山湖海景观大四房，60*装修，高层视野开阔,时代南湾,南沙港,4室2厅 ,147.86, 东南 , 精装 ,32,2012, 板塔结合,42, 一年前发布,3250000.0,"21,981元/平",VR看装修 房本满两年 
此房满五唯一，税费低，南北对于流，高楼层，视野开阔,越秀滨海珺城,明珠湾,2室1厅 ,87.93, 南 北 , 精装 ,28,2013, 塔楼,20, 一年前发布,2350000.0,"26,726元/平",近地铁 VR看装修 房本满五年 
视野宽阔，采光好，户型方正实用，业主诚意卖,越秀滨海新城,进港大道,3室2厅 ,86.0, 北 , 精装 ,34,2019, 塔楼,97, 一年前发布,1850000.0,"21,512元/平",VR看装修 房本满两年 
高层大户型 正望蕉门河景 视野开阔 无遮挡 采光好,阳光城丽景湾,进港大道,4室2厅 ,174.78, 东南 西南 , 精装 ,28,2017, 塔楼,22, 5个月以前发布,3200000.0,"18,309元/平",VR房源 房本满两年 
叠翠峰三期次新房，区府板块，定制精装3房,叠翠峰,南沙区府,3室2厅 ,86.0, 北 , 精装 ,17,2018, 板塔结合,3, 1个月以前发布,2480000.0,"28,838元/平",近地铁 VR看装修 房本满两年 
大三房 满五唯一 单边位 通风采光好 产权清晰,南沙碧桂园,金洲,3室2厅 ,121.18, 北 , 精装 ,18,2007, 板塔结合,4, 3个月以前发布,2120000.0,"17,495元/平",VR看装修 房本满五年 
特大大花园，小高层楼梯房一楼，南向,南沙碧桂园,金洲,3室2厅 ,94.5, 东南 , 简装 ,6,2007, 板塔结合,30, 6个月以前发布,2300000.0,"24,339元/平",VR看装修 房本满五年 
万科南方公元 3室1厅 南,万科南方公元,黄阁,3室1厅 ,88.57, 南 , 其他 ,28,2017, 塔楼,22, 4个月以前发布,1780000.0,"20,098元/平",VR看装修 房本满两年 
雅苑三房，南北通透，夏季凉爽，配套天然气,逸涛雅苑,进港大道,3室2厅 ,71.27, 南 北 , 精装 ,6,2008, 板楼,85, 9个月以前发布,1190000.0,"16,698元/平",VR房源 房本满五年 
此房装修保养新，纯南向中高楼层采光充足视野开阔,凯德新玥,榄核镇,2室1厅 ,76.93, 南 , 精装 ,32,2015, 塔楼,25, 5个月以前发布,1100000.0,"14,299元/平",VR看装修 房本满两年 
此房装修保养新，纯南向中高楼层采光充足视野开阔,凯德新玥,榄核镇,2室1厅 ,76.93, 南 , 精装 ,32,2015, 塔楼,25, 5个月以前发布,1100000.0,"14,299元/平",VR看装修 房本满两年 
时代云图两房 中高层看花园 配套成熟,广州时代云图,金洲,2室1厅 ,67.53, 北 , 精装 ,25,2016, 塔楼,12, 2个月以前发布,1650000.0,"24,434元/平",VR房源 房本满两年 
南沙碧桂园 双阳台，舒适两房两厅 安静,南沙碧桂园,金洲,2室1厅 ,75.9, 东南 , 其他 ,5,2007, 板塔结合,0, 1个月以前发布,1380000.0,"18,182元/平",VR房源 房本满五年 
中高层看园林 户型方正 适合刚需，近蕉门河,阳光城丽景湾,进港大道,2室2厅 ,76.05, 南 , 精装 ,30,2017, 塔楼,4, 1个月以前发布,1540000.0,"20,250元/平",VR看装修 房本满两年 
满五唯一！ 精装修! 视野开阔！ 诚心放卖！,越秀滨海珺城,明珠湾,2室1厅 ,76.16, 北 , 精装 ,28,2014, 塔楼,38, 6个月以前发布,1700000.0,"22,322元/平",VR看装修 房本满五年 
业主诚心出，南向看花园，看房方便,南沙心意华庭,金洲,2室2厅 ,68.0, 南 , 精装 ,18,2016, 板塔结合,26, 2个月以前发布,1280000.0,"18,824元/平",近地铁 VR看装修 房本满两年 
碧桂园天玺湾 3室1厅 南,碧桂园天玺湾,进港大道,3室1厅 ,104.0, 南 , 简装 ,18,2014, 板塔结合,1,12,2500000.0,"24,039元/平",房本满五年 随时看房 
此房满五，税费低，楼层好，视野开阔，采光足,双晖轩小区,大岗镇,3室1厅 ,90.63, 南 北 , 毛坯 ,6,2008, 塔楼,0,7,1230000.0,"13,572元/平",VR看装修 房本满五年 随时看房 
近地铁口 出行方便 环境优美宜居,南沙奥园,南沙湾,4室1厅 ,150.22, 南 , 毛坯 ,9,2012, 塔楼,2,30,2380000.0,"15,844元/平",VR看装修 房本满五年 随时看房 
海力花园 5室1厅 南,海力花园,进港大道,5室1厅 ,256.34, 南 , 毛坯 ,11,2012, 塔楼,0,16,3300000.0,"12,874元/平",VR房源 房本满两年 随时看房 
海力花园 4室2厅 南,海力花园,进港大道,4室2厅 ,151.43, 南 , 其他 ,11,2012, 塔楼,0,8,3080000.0,"20,340元/平",VR看装修 房本满五年 随时看房 
南沙境界  满五年  采光对流风好  风景环境优美,南沙境界家园,黄阁,3室2厅 ,117.74, 南 北 , 毛坯 ,26,2013, 板塔结合,0,11,2480000.0,"21,064元/平",VR看装修 房本满五年 随时看房 
中环华庭 2室1厅 南,中环华庭,横沥,2室1厅 ,84.0, 南 , 其他 ,6,2008, 板楼,0,5,1160000.0,"13,810元/平",VR房源 房本满两年 随时看房 
