珠光新城御景二期 一线江景南向4房  视野开阔,珠光新城御景二期,珠江新城东,4室2厅 ,154.26, 南 北 , 精装 ,27,2017, 塔楼,84, 7个月以前发布,22800000.0,"147,803元/平",近地铁 VR看装修 房本满两年 随时看房 
保利心语花园 中高层南向3房 采光好 户型方正实用,保利心语花园,珠江新城中,3室2厅 ,112.02, 南 , 精装 ,32,2008, 塔楼,1,20,10870000.0,"96,957元/平",近地铁 VR看装修 房本满五年 
兰亭盛荟 高层望市政公园 视野开阔 诚心卖,兰亭盛荟,东圃,3室2厅 ,79.53, 西北 , 精装 ,44,2018, 塔楼,4,25,4370000.0,"54,920元/平",VR看装修 房本满两年 
此房满五广州市唯一，一手业主，南向急卖,理想青年荟,天河公园,1室1厅 ,45.3, 南 , 精装 ,21,2007, 塔楼,1,20,3540000.0,"77,961元/平",VR房源 房本满五年 
实用率高 高楼层 视野开阔无遮挡 采光充足,边检宿舍,东圃,3室2厅 ,116.55, 东南 , 精装 ,16,2006, 塔楼,0,22,6250000.0,"53,626元/平",近地铁 VR房源 房本满五年 
兰亭盛荟 高层望市政公园 视野开阔 诚心卖,兰亭盛荟,东圃,3室2厅 ,79.53, 西北 , 精装 ,44,2018, 塔楼,4,25,4370000.0,"54,920元/平",VR看装修 房本满两年 
正南向三房 带100平方的私家独立花园 鲜有放盘,阳光假日园,棠下,3室1厅 ,82.5, 南 , 其他 ,11,2009, 塔楼,3,25,4290000.0,"51,995元/平",近地铁 VR房源 房本满五年 
保利心语花园 中高层南向3房 采光好 户型方正实用,保利心语花园,珠江新城中,3室2厅 ,112.02, 南 , 精装 ,32,2008, 塔楼,1,20,10870000.0,"96,957元/平",近地铁 VR看装修 房本满五年 
安静 南向 南北对流户型 地铁11号线就在家门口,邮通小区,华景新城,2室2厅 ,60.3, 东南 , 精装 ,6,1998, 塔楼,2,17,3980000.0,"66,004元/平",VR看装修 房本满五年 
新世界东逸花园，平台花园约45方，视野开阔居家舒适,新世界东逸花园,天河公园,3室2厅 ,93.08, 南 北 , 精装 ,9,1999, 塔楼,4,21,6860000.0,"73,678元/平",近地铁 VR房源 房本满两年 
南北向 看花园  安静 户型方正实用  有装修,华标广场,天润路,4室2厅 ,164.9, 东南 北 , 精装 ,30,2003, 塔楼,1,30,11800000.0,"71,559元/平",近地铁 VR房源 房本满五年 
天河区18㎡平层户型  米酷C区中楼层 业主诚心出卖,万科云城米酷,智慧城,1室0厅 ,18.59, 西 , 简装 ,18,2017, 塔楼,2,21,370000.0,"19,904元/平",近地铁 房本满两年 随时看房 
万科云城米酷小区介绍.......,万科云城米酷,智慧城,1室0厅 ,18.23, 东 , 精装 ,17,2017, 塔楼,0,21,370000.0,"20,297元/平",近地铁 房本满两年 随时看房 
天河北花园小区143平米南北通透4房满5唯一高层景观,穗园小区,天润路,4室2厅 ,142.18, 东南 北 , 精装 ,30,2000, 板塔结合,2, 1个月以前发布,10380000.0,"73,007元/平",VR看装修 房本满五年 
格局方正，采光很好，环境安静居住舒适,水荫路永福正街,水荫,3室2厅 ,86.1, 南 北 , 简装 ,8,1990, 塔楼,12, 1个月以前发布,2290000.0,"26,597元/平",近地铁 VR看装修 房本满五年 
天河次新楼 安静望花园四房 单边位采光通风好,富力天禧花园,车陂,4室2厅 ,171.55, 南 , 精装 ,32,2015, 塔楼,3, 2个月以前发布,13500000.0,"78,695元/平",近地铁 VR看装修 房本满两年 
居住体验舒适安全 采光好 独立厨卫带阳台可明火,观山苑,粤垦,1室1厅 ,45.7, 东 北 东北 , 精装 ,15,2010, 塔楼,0,10,2480000.0,"54,267元/平",近地铁 VR看装修 房本满两年 随时看房 
富力天河华庭 精装修 户型方正 四房双主套 视野采光好,富力天河华庭,林和,4室2厅 ,183.13, 东 南 北 , 精装 ,28,2005, 塔楼,1, 2个月以前发布,14110000.0,"77,039元/平",近地铁 VR看装修 房本满五年 
陶然庭苑 南向四房 采光好 安静,华景新城陶然庭苑,华景新城,4室2厅 ,135.44, 南 , 简装 ,35,2007, 塔楼,570, 一年前发布,7570000.0,"55,854元/平",VR房源 房本满五年 
东方新世界二期 西南向望花园 景观好,东方新世界,天河公园,3室2厅 ,115.83, 西南 , 简装 ,23,2009, 塔楼,40, 5个月以前发布,8910000.0,"76,922元/平",近地铁 VR看装修 房本满五年 
此房满五年唯一，实用四房，户型方正 ，业主诚心卖,保利香槟花园,珠江新城西,4室2厅 ,139.27, 北 , 精装 ,29,2004, 塔楼,31, 5个月以前发布,18200000.0,"130,682元/平",近地铁 VR看装修 房本满五年 
仙湖名苑 出门即公园 三面采光看公园景观 满五省税,仙湖名苑,天河公园,3室2厅 ,120.66, 东 南 , 精装 ,24,2003, 塔楼,20, 6个月以前发布,7980000.0,"66,137元/平",近地铁 VR房源 房本满五年 
嘉尚国际 楼龄新 保养好  高层无遮挡 华yang本部,嘉尚国际公寓,林和,1室1厅 ,49.56, 东 , 精装 ,32,2009, 板塔结合,0,15,4030000.0,"81,247元/平",近地铁 VR房源 房本满五年 随时看房 
华景新城正规方正四房，安静，舒适宜居,华景新城翠安侬苑,华景新城,4室2厅 ,133.47, 南 北 , 简装 ,32,2002, 塔楼,3, 2个月以前发布,7460000.0,"55,854元/平",VR看装修 房本满五年 
清华硕士家庭，南向四房，准电梯,省农机所,天润路,4室2厅 ,141.12, 东南 南 , 简装 ,9,1996, 塔楼,0, 1个月以前发布,8500000.0,"60,233元/平",近地铁 VR房源 房本满五年 
天河北 保利中汇 不用指标 双层单位 楼龄新净,保利中汇广场,林和,3室1厅 ,81.41, 北 , 精装 ,30,2012, 塔楼,3,18,2700000.0,"33,166元/平",房本满五年 
天朗明居  高层东向温馨两房  视野开阔 景观好,富力天朗明居,棠下,2室1厅 ,64.25, 南 , 简装 ,26,2004, 塔楼,0,12,3260000.0,"50,725元/平",近地铁 VR看装修 房本满五年 
三期高层 过五年 产权清晰 视野开阔 通风采光好,天力居,东圃,2室1厅 ,60.43, 南 北 , 简装 ,16,1998, 塔楼,1,9,2320000.0,"38,310元/平",近地铁 VR看装修 房本满五年 
此房源满五年 厅出阳台南向，业主诚意出手,金晖花园,粤垦,3室2厅 ,77.94, 南 北 , 精装 ,9,1998, 塔楼,0,9,3400000.0,"43,624元/平",VR房源 房本满五年 
店长推荐 珠江新城旁  电梯一房 小区管理 地铁口物业,华江花园,天河公园,1室1厅 ,39.27, 东 , 精装 ,9,2003, 塔楼,2,14,2300000.0,"58,569元/平",VR看装修 房本满五年 
中低楼层飞机户型 装修好拎包入住 户型方正采光通风好,棠德花苑,棠下,2室1厅 ,56.61, 北 , 精装 ,9,2000, 塔楼,17, 8个月以前发布,2100000.0,"37,096元/平",近地铁 VR房源 房本满五年 随时看房 
兴禺大厦电梯高层，采光视野好，满五年，东向,兴禺大厦,林和,3室2厅 ,94.28, 东 , 简装 ,33,2002, 塔楼,46, 一年前发布,3030000.0,"32,139元/平",近地铁 VR房源 房本满五年 随时看房 
华景陶然庭园 电梯高层两房 精装保养好 格局正,华景新城陶然庭苑,华景新城,2室1厅 ,77.63, 北 , 精装 ,35,2007, 塔楼,2, 2个月以前发布,4340000.0,"55,854元/平",VR房源 房本满五年 随时看房 
户型方正 南北对流两房 房出阳台,德荣小区,龙口西,2室1厅 ,53.92, 南 北 , 精装 ,8,1995, 板塔结合,46, 7个月以前发布,3500000.0,"64,911元/平",近地铁 VR看装修 房本满五年 随时看房 
东成花园红本  东南向 安静中楼层,东成花园,石牌,2室1厅 ,52.5, 南 , 简装 ,9,1997, 塔楼,7, 3个月以前发布,3250000.0,"61,905元/平",VR看装修 房本满五年 随时看房 
华景六期 温馨三房 楼层靓  格局方正,华景新城逸宁居,华景新城,3室2厅 ,79.03, 北 , 精装 ,31,2000, 塔楼,21, 6个月以前发布,4420000.0,"55,854元/平",VR看装修 房本满五年 随时看房 
骏景花园二期 高层满五年 业主诚心卖 看房方便,骏景花园,棠下,4室2厅 ,109.66, 北 , 简装 ,12,2000, 塔楼,6, 2个月以前发布,5690000.0,"51,878元/平",近地铁 VR房源 房本满五年 随时看房 
此房满五唯一，中高楼层视野好，产权清晰。,富力天朗明居,棠下,3室1厅 ,63.92, 北 , 精装 ,18,2002, 塔楼,64, 一年前发布,3250000.0,"50,725元/平",近地铁 VR看装修 房本满五年 随时看房 
东方新世界 大两房 居住舒适 交通便利 过五唯一精装修,东方新世界,天河公园,2室2厅 ,85.68, 北 , 精装 ,26,2007, 塔楼,135, 一年前发布,6600000.0,"76,922元/平",近地铁 VR看装修 房本满五年 随时看房 
急卖 骏景花园 南苑南向 满五年唯一,骏景花园,棠下,4室2厅 ,140.89, 南 , 精装 ,20,2003, 塔楼,25, 6个月以前发布,7310000.0,"51,878元/平",VR房源 房本满五年 随时看房 
珠江新城北，小区外墙、地面已翻新，户型方正采光好,育蕾小区,天河南,3室2厅 ,91.11, 北 南 , 简装 ,9,1990, 塔楼,12, 1个月以前发布,5300000.0,"58,172元/平",近地铁 VR看装修 房本满五年 随时看房 
双地铁 小区复式两房  带天台,侨翠苑,沙河,2室1厅 ,48.0, 东 南 , 简装 ,9,1992, 塔楼,5, 2个月以前发布,1150000.0,"23,959元/平",近地铁 VR房源 房本满五年 随时看房 
六运中轴线龙头位，马赛克外墙，加装电梯小高层2房1厅,六运小区,天河南,2室1厅 ,66.05, 西北 , 简装 ,8,1992, 塔楼,33, 7个月以前发布,4300000.0,"65,103元/平",近地铁 VR看装修 房本满两年 随时看房 
产权清晰，业主自住带80平大露台，大电梯不用等太久哦,东成花苑,天河公园,4室2厅 ,78.43, 南 , 精装 ,9,1998, 塔楼,7, 3个月以前发布,4700000.0,"59,927元/平",VR看装修 房本满五年 随时看房 
华景新城雅怡居 精装大两房 K改三房 拎包住,华景新城雅怡居,华景新城,2室1厅 ,77.33, 南 北 , 精装 ,9,1995, 塔楼,22, 11个月以前发布,3980000.0,"51,468元/平",VR看装修 房本满五年 随时看房 
2+1简约宽敞好房 高楼层视野开阔无遮挡通风采光好,中海康城,黄村,3室1厅 ,84.59, 西北 , 简装 ,18,2002, 塔楼,98, 一年前发布,4450000.0,"52,607元/平",近地铁 VR看装修 房本满五年 随时看房 
珠江新城北 体育东 六运小区安静三房，满五省税,六运小区,天河南,3室2厅 ,79.61, 东 南 北 , 简装 ,8,1993, 板楼,11, 2个月以前发布,5380000.0,"67,580元/平",近地铁 VR看装修 房本满五年 随时看房 
小区自带游泳池，人车分流，实用复式一房，有阳台。,橡树园,沙太南,1室1厅 ,38.56, 南 , 精装 ,13,2004, 塔楼,0, 2个月以前发布,1710000.0,"44,347元/平",VR房源 房本满五年 随时看房 
橡树园 东南向三房 户型靓仔 采光通风很好 适合居家,橡树园,沙太南,3室1厅 ,85.16, 东南 , 简装 ,9,2006, 塔楼,31, 7个月以前发布,3300000.0,"38,751元/平",VR看装修 房本满五年 随时看房 
保利心语  高层精装三房双卫  间隔方正实用,保利心语花园,珠江新城中,3室2厅 ,107.86, 北 , 精装 ,32,2008, 塔楼,2, 1个月以前发布,10460000.0,"96,957元/平",近地铁 VR看装修 房本满五年 随时看房 
此房满五唯一，格局方正，看房方便，好朝向，急出急出,云宁居,沙太南,2室1厅 ,67.8, 东 , 简装 ,9,1999, 塔楼,3, 3个月以前发布,1800000.0,"26,549元/平",VR看装修 房本满五年 随时看房 
珠江新城网红盘，高楼层望花园。,中海花城湾,珠江新城中,3室2厅 ,147.54, 北 , 简装 ,32,2005, 塔楼,0, 2个月以前发布,13670000.0,"92,641元/平",近地铁 VR看装修 房本满五年 随时看房 
金融城南向方三房，户型方正，采光通风好、,富力天朗明居,棠下,3室2厅 ,91.77, 东南 , 简装 ,18,2002, 塔楼,0, 1个月以前发布,4660000.0,"50,725元/平",近地铁 VR房源 房本满两年 随时看房 
金融城片区东圃城市假日园 横厅视野三房 南北对流,城市假日园,东圃,3室1厅 ,86.5, 南 , 精装 ,18,2004, 塔楼,1, 1个月以前发布,4520000.0,"52,231元/平",近地铁 VR房源 房本满两年 随时看房 
橡树园 实用三房 东南向 户型好隔局方正,橡树园,沙太南,3室1厅 ,85.16, 东南 , 简装 ,9,2006, 塔楼,81, 7个月以前发布,3400000.0,"39,925元/平",VR看装修 房本满五年 随时看房 
华景锦苑 华景天花板 户型方正采光好 通风对流,华景新城华景锦苑,华景新城,4室2厅 ,145.07, 南 北 , 精装 ,30,2015, 塔楼,0,5,8110000.0,"55,854元/平",VR看装修 房本满两年 
业主诚心卖 随时可看 还可谈！,中海康城,黄村,2室1厅 ,82.8, 北 , 精装 ,21,2003, 塔楼,1,8,4080000.0,"49,276元/平",近地铁 VR看装修 房本满五年 随时看房 
体育中鑫  大型花园社区  准电梯南向两房,华康小区,体育中心,2室2厅 ,66.0, 东南 , 简装 ,8,1999, 塔楼,0,7,4750000.0,"71,970元/平",近地铁 VR房源 房本满五年 随时看房 
东圃广场 三层复式 采光通风好 业主诚心卖,东圃广场,东圃,5室2厅 ,186.19, 西南 , 精装 ,12,1999, 塔楼,0,21,7080000.0,"37,985元/平",近地铁 VR房源 房本满五年 随时看房 
德埔小区  一梯两户 南北对流 实用率高,德埔小区,石牌,3室2厅 ,88.08, 南 北 东 , 简装 ,8,1993, 塔楼,2,11,5300000.0,"60,173元/平",近地铁 VR看装修 房本满五年 随时看房 
金田花园 花园小区 封闭式管理 配套成熟,金田花苑,天润路,2室2厅 ,76.84, 北 , 精装 ,19,1997, 塔楼,1,16,4680000.0,"60,821元/平",VR房源 房本满五年 随时看房 
满五年 车陂地铁站 安静不吵 东南向三房 中层视野好,富力天朗明居,棠下,3室1厅 ,86.91, 南 , 精装 ,26,2004, 塔楼,1,12,4410000.0,"50,725元/平",近地铁 VR房源 房本满五年 随时看房 
体育东六运小区 电梯高层三房 居住舒适,六运小区,天河南,3室1厅 ,77.77, 北 南 , 精装 ,9,1993, 塔楼,2,10,5600000.0,"72,008元/平",近地铁 VR看装修 房本满五年 随时看房 
高层南向看花园 满五年无欠款 产权清晰,城市假日园,东圃,2室1厅 ,72.08, 南 , 精装 ,16,2004, 塔楼,0,9,3770000.0,"52,231元/平",近地铁 VR看装修 房本满五年 随时看房 
盈彩美居 3室1厅 南,盈彩美居,东圃,3室1厅 ,108.09, 南 , 简装 ,12,2003, 塔楼,1,4,5270000.0,"48,731元/平",VR房源 房本满五年 随时看房 
龙口小区 南向两房 有电梯 厅出阳台 近地铁 采光好,龙口小区,龙口西,2室1厅 ,60.08, 南 , 精装 ,9,1996, 塔楼,1,9,4500000.0,"74,901元/平",近地铁 VR看装修 房本满五年 随时看房 
君紫花园 电梯东南向高楼层三房 无遮挡不临街,君紫花园,石牌,3室2厅 ,89.65, 东南 , 简装 ,8,1995, 塔楼,0,5,6300000.0,"70,274元/平",VR看装修 房本满五年 
中海康城  三房带主套 安静望花园 出门地铁,中海康城,黄村,3室2厅 ,110.92, 南 北 , 精装 ,12,2002, 塔楼,1,3,6100000.0,"54,995元/平",VR看装修 房本满两年 
天河北 金海花园 东南向三房两卫 厅出阳台 全明户型,金海花园,龙口东,3室2厅 ,79.72, 东南 , 精装 ,9,2002, 塔楼,0,3,8500000.0,"106,624元/平",近地铁 VR看装修 房本满五年 
此房满五年唯一，阳台南向房对流好。。,华景新城陶然庭苑,华景新城,4室2厅 ,135.44, 南 , 精装 ,35,2007, 塔楼,1,23,7570000.0,"55,854元/平",VR房源 房本满五年 
珠江俊园 证满五年 西南向四房 稀有户型 业主诚心卖,珠江俊园,华景新城,4室2厅 ,136.04, 西南 , 精装 ,28,2007, 塔楼,3,19,9310000.0,"68,435元/平",VR看装修 房本满五年 
满五唯一 有电梯 南向高层采光好 视野无遮挡 望小蛮腰,福金莲花园,员村,3室2厅 ,83.85, 南 , 简装 ,9,1999, 塔楼,0,18,4880000.0,"58,200元/平",VR房源 房本满五年 随时看房 
兴禺大厦  电梯高层南向二房 望中信 视野好,兴禺大厦,林和,2室2厅 ,86.31, 东南 , 简装 ,33,2002, 塔楼,1,25,2580000.0,"29,893元/平",近地铁 VR看装修 房本满五年 随时看房 
南向三房 保养好 产权过五年 视野采光无遮挡,美好居,车陂,3室2厅 ,95.86, 南 , 简装 ,19,2000, 塔楼,1,28,4440000.0,"46,318元/平",近地铁 VR看装修 房本满五年 随时看房 
体育西育兰小区 封闭式花园小区 全南向电梯精装修三房,育兰小区,天河南,3室2厅 ,96.27, 南 , 精装 ,8,1996, 塔楼,3,22,5500000.0,"57,131元/平",近地铁 VR看装修 房本满五年 随时看房 
员村公安宿舍（38-64号宿舍双号）,百合路38-64号宿舍（双号）,员村,2室1厅 ,74.64, 南 , 简装 ,9,2000, 塔楼,2,23,3570000.0,"47,830元/平",近地铁 VR看装修 房本满五年 随时看房 
绿佳花园 装修好带平台 原装电梯房 近地铁 户型方正,绿佳花园,燕塘,3室2厅 ,83.22, 北 , 精装 ,11,1998, 塔楼,2,26,3200000.0,"38,453元/平",近地铁 VR看装修 房本满五年 随时看房 
