豪利花园，房子精装修，拎包入住，看房方便，欢迎咨询,豪利花园,镜湖大道,3室1厅 ,98.96, 南 , 精装 ,16,2014, 塔楼,2,28,1790000.0,"18,089元/平",VR房源 房本满两年 随时看房 
金碧御水山庄大面积4房 高层电梯房 带装修 格局方正,金碧御水山庄,狮岭镇,4室1厅 ,165.36, 北 , 简装 ,11,2008, 塔楼,29, 6个月以前发布,1200000.0,"7,257元/平",VR房源 房本满五年 随时看房 
一线湖景     高楼层      户型方正      *格美丽,金碧御水山庄,狮岭镇,4室2厅 ,190.0, 东南 , 简装 ,11,2005, 塔楼,161, 一年前发布,1420000.0,"7,474元/平",VR房源 房本满五年 随时看房 
花都阳光家园 3室2厅 北,花都阳光家园,旧区,3室2厅 ,102.95, 北 , 简装 ,7,2003, 塔楼,0, 1个月以前发布,1380000.0,"13,405元/平",VR房源 房本满五年 随时看房 
美力花园，花园中间南北对流，户型方正实用,美力花园,旧区,3室2厅 ,140.0, 南 北 , 精装 ,8,2004, 塔楼,5, 一年前发布,2200000.0,"15,715元/平",VR看装修 房本满五年 随时看房 
南向三房   户型方正  采光好 小区进地铁口,云峰花园4期,镜湖大道,3室1厅 ,104.5, 南 , 毛坯 ,11,2012, 塔楼,18, 5个月以前发布,2050000.0,"19,618元/平",近地铁 VR房源 房本满五年 随时看房 
此房南北对流，采光通风效果好，户型方正,富丽花园,铁路西,3室2厅 ,77.52, 南 , 简装 ,9,1997, 塔楼,160, 一年前发布,530000.0,"6,837元/平",VR看装修 房本满五年 随时看房 
空中大露台*实用  房大厅大  近地铁出行方便,嘉信华庭,铁路西,3室2厅 ,90.0, 东北 , 精装 ,9,2005, 塔楼,93, 一年前发布,1190000.0,"13,223元/平",近地铁 VR房源 房本满两年 随时看房 
东南朝向 视野开阔采光充足 通风采光好，保养好,天马丽苑二期,铁路西,3室2厅 ,97.57, 南 , 精装 ,35,2007, 塔楼,21, 9个月以前发布,1398000.0,"14,329元/平",VR看装修 房本满两年 随时看房 
该房子满2年，税费低，中楼层，精装修三房,雅居乐万科热橙,花山镇,3室1厅 ,100.21, 南 北 , 精装 ,13,2016, 塔楼,0, 1个月以前发布,1400000.0,"13,971元/平",VR看装修 房本满两年 随时看房 
不靠高速安静，房子保养新装修好，拎包入住,南华时代城,铁路西,3室2厅 ,120.91, 东南 , 精装 ,28,2010, 塔楼,24, 一年前发布,2180000.0,"18,030元/平",VR看装修 房本满五年 随时看房 
尚品一期，满五唯一，不吵，望花园,尚品雅居领秀,秀全街,3室1厅 ,109.91, 东南 , 毛坯 ,18,2014, 塔楼,6, 3个月以前发布,1450000.0,"13,193元/平",VR看装修 房本满五年 随时看房 
南向三房，不望高速，东南向 离广州北站地铁口仅600米,祈福辉煌台,铁路西,3室2厅 ,118.55, 东南 , 精装 ,28,2009, 塔楼,26, 一年前发布,1600000.0,"13,497元/平",VR房源 房本满两年 随时看房 
时代城实用三房，户型方正，安静不吵，楼层适中采光好,南华时代城,铁路西,3室2厅 ,106.0, 东北 , 毛坯 ,31,2010, 塔楼,5, 2个月以前发布,1750000.0,"16,510元/平",VR看装修 房本满两年 随时看房 
天隽峰　住宅小区　精装修南北对流　近地铁省级教育,路劲天隽峰,旧区,4室2厅 ,144.6, 南 北 , 精装 ,33,2019, 塔楼,10, 2个月以前发布,3900000.0,"26,971元/平",近地铁 VR房源 房本满两年 随时看房 
地铁口三房 安静看花园 中间楼层 不靠路,祈福天龙苑,铁路西,3室2厅 ,91.41, 北 , 精装 ,27,2014, 塔楼,2, 2个月以前发布,1560000.0,"17,066元/平",近地铁 VR房源 房本满五年 随时看房 
融创文旅城4公里舒适大三房告别麻雀房,鼎信四季花园,花城街,3室2厅 ,127.97, 东北 , 毛坯 ,17,2012, 塔楼,11, 4个月以前发布,1980000.0,"15,473元/平",VR看装修 房本满五年 随时看房 
天马河五期，东南向看河景观，毛坯三房，业主诚意卖,天马河壹号五期,铁路西,3室2厅 ,120.23, 东南 , 毛坯 ,18,2015, 塔楼,15, 4个月以前发布,1780000.0,"14,805元/平",近地铁 VR看装修 房本满五年 随时看房 
滨湖壹号少有放盘 南向一线湖景 全新毛坯房 诚心卖,新晖朗悦居,新区,3室2厅 ,93.31, 南 , 毛坯 ,22,2013, 塔楼,3, 3个月以前发布,2850000.0,"30,544元/平",VR看装修 房本满五年 随时看房 
保利高尔夫郡 南北对流四房 采光保养好 中高层有钥匙,保利高尔夫郡,铁路西,4室2厅 ,138.85, 南 北 , 精装 ,29,2015, 塔楼,1,11,2100000.0,"15,125元/平",近地铁 VR房源 房本满五年 随时看房 
豪利花园 南向望花园 三房户型,豪利花园,镜湖大道,3室1厅 ,100.63, 东南 , 毛坯 ,16,2011, 塔楼,2,5,1680000.0,"16,695元/平",VR看装修 房本满两年 随时看房 
保利花城花园 3室1厅 南,保利花城花园,花城街,3室1厅 ,122.17, 南 , 毛坯 ,18,2013, 塔楼,0,7,2000000.0,"16,371元/平",VR看装修 房本满两年 随时看房 
广州市花都区秀全中学宿舍 4室2厅 南,广州市花都区秀全中学宿舍,旧区,4室2厅 ,128.01, 南 , 其他 ,6,2000, 板楼,0,8,1600000.0,"12,500元/平",近地铁 VR看装修 房本满五年 随时看房 
新鸿基御华园 1室1厅 南,新鸿基御华园,狮岭镇,1室1厅 ,56.07, 南 , 毛坯 ,31,2013, 板塔结合,0,7,650000.0,"11,593元/平",VR看装修 房本满两年 随时看房 
天马丽苑   纯南向视野好，九小，幼儿园都有,天马丽苑二期,铁路西,3室2厅 ,97.55, 南 , 精装 ,35,2007, 塔楼,0,5,1400000.0,"14,352元/平",VR看装修 房本满五年 
天马丽苑  科物业  汽车城地铁口,天马丽苑二期,铁路西,3室1厅 ,99.73, 西 , 简装 ,33,2007, 塔楼,1,15,1380000.0,"13,838元/平",VR看装修 房本满五年 随时看房 
骏威锦东花园A区 3室2厅 南,骏威锦东花园A区,新区,3室2厅 ,99.6, 南 , 精装 ,23,2012, 塔楼,1,14,2850000.0,"28,615元/平",近地铁 VR看装修 房本满五年 随时看房 
大三房，户型格局好，通风采光理想，视野开阔,祈福辉煌台,铁路西,3室1厅 ,119.59, 北 , 简装 ,28,2007, 塔楼,0,12,1580000.0,"13,212元/平",VR房源 房本满五年 随时看房 
格局方正实用采光好 证够五年唯一 业主诚心卖,宝铼雅居,铁路西,3室2厅 ,102.33, 南 北 , 毛坯 ,11,2013, 塔楼,3,12,1250000.0,"12,216元/平",VR看装修 房本满五年 随时看房 
精装， 南向 格局方正实用 ，业主急，诚心卖,宝铼雅居,铁路西,2室1厅 ,82.25, 南 , 精装 ,11,2013, 塔楼,0,6,1030000.0,"12,523元/平",VR房源 房本满两年 
锦尚蓬莱 精装三房 南北对流 望花园 近地铁 大润发,锦尚蓬莱苑,新区,3室2厅 ,111.68, 南 北 , 其他 ,18,2011, 塔楼,3,8,2800000.0,"25,072元/平",VR看装修 房本满五年 
刚需靓户型，方正实用，采光好..........,祈福辉煌台,铁路西,3室2厅 ,109.0, 北 , 精装 ,28,2015, 塔楼,0,7,1560000.0,"14,312元/平",VR房源 房本满五年 
花都湖天然氧吧，园林式大型小区，一线景观，成熟配套,中房观湖国际,旧区,3室2厅 ,152.3, 南 , 毛坯 ,28,2007, 塔楼,1,29,2680000.0,"17,597元/平",VR看装修 房本满五年 随时看房 
格局好 电梯高楼层 采光充足 视野开阔 配套齐全,天马丽苑二期,铁路西,3室1厅 ,99.73, 东 西 , 精装 ,33,2007, 塔楼,0,22,1450000.0,"14,540元/平",VR看装修 房本满五年 随时看房 
凤华路 3室2厅 南,凤华路,旧区,3室2厅 ,82.84, 南 , 精装 ,8,1994, 塔楼,0,22,830000.0,"10,020元/平",VR看装修 房本满五年 随时看房 
小区管理，全新靓装修，东南向，拎包入住，采光通风好,侨苑小区(花都区),旧区,3室2厅 ,98.54, 东 东南 , 精装 ,8,2000, 板楼,7,29,1060000.0,"10,758元/平",近地铁 VR房源 房本满两年 随时看房 
天马丽苑二期 3室1厅 南 北,天马丽苑二期,铁路西,3室1厅 ,92.86, 南 北 , 精装 ,35,2007, 塔楼,0,31,1390000.0,"14,969元/平",VR看装修 房本满五年 随时看房 
天马丽苑二期   望花园 南北对流  业主急卖,天马丽苑二期,铁路西,3室2厅 ,92.81, 南 北 , 其他 ,35,2015, 塔楼,0,21,1390000.0,"14,977元/平",VR看装修 房本满两年 随时看房 
雅居乐锦城花冠集 3室2厅 东南,雅居乐锦城花冠集,秀全街,3室2厅 ,94.11, 东南 , 毛坯 ,32,2008, 塔楼,0,15,1400000.0,"14,877元/平",VR房源 房本满五年 随时看房 
空中复式大五房   有大阳台50方  独立电梯  优质教育,福虹阳光美地,旧区,5室3厅 ,217.8, 南 , 简装 ,8,2004, 塔楼,5, 一年前发布,2600000.0,"11,938元/平",VR房源 房本满五年 随时看房 
近地铁，安静不吵，大面积居住宽趟明亮，看河景无遮挡,天马河壹号一期,铁路西,4室2厅 ,185.4, 东南 , 精装 ,19,2009, 塔楼,23, 6个月以前发布,2870000.0,"15,481元/平",近地铁 VR看装修 房本满两年 随时看房 
保利高尔夫郡 4室2厅 南,保利高尔夫郡,铁路西,4室2厅 ,139.33, 南 , 精装 ,26,2015, 塔楼,3, 1个月以前发布,2130000.0,"15,288元/平",近地铁 VR看装修 房本满两年 随时看房 
雅宝新城亚瑟公馆 2室2厅 南 北,雅宝新城亚瑟公馆,秀全街,2室2厅 ,95.3, 南 北 , 毛坯 ,19,2009, 塔楼,0,14,1250000.0,"13,117元/平",VR房源 房本满五年 随时看房 
腾步大厦 1室1厅 东,腾步大厦,旧区,1室1厅 ,77.93, 东 , 毛坯 ,14,2016, 塔楼,0,8,600000.0,"7,700元/平",VR看装修 房本满两年 随时看房 
凯旋国际 1室1厅 北,凯旋国际,新区,1室1厅 ,55.64, 北 , 精装 ,7,2007, 塔楼,0,6,520000.0,"9,346元/平",近地铁 VR看装修 房本满五年 随时看房 
元邦山清水秀 2室2厅 南 北,元邦山清水秀,狮岭镇,2室2厅 ,86.37, 南 北 , 毛坯 ,28,2018, 塔楼,0,9,700000.0,"8,105元/平",VR房源 房本满两年 随时看房 
花都美景花园 4室2厅 南,花都美景花园,旧区,4室2厅 ,84.82, 南 , 其他 ,9,1998, 塔楼,0,15,990000.0,"11,672元/平",VR房源 房本满两年 
航都花园 电梯精装三房 机场快线,航都花园,新区,3室2厅 ,101.8, 南 , 精装 ,12,2003, 塔楼,0,13,1580000.0,"15,521元/平",近地铁 VR房源 房本满五年 
品牌物业满五唯一实用三房，望花园户型方正好采光,万科天景花园,铁路西,3室1厅 ,95.37, 西南 西 , 精装 ,31,2006, 塔楼,0,9,1390000.0,"14,575元/平",近地铁 VR看装修 房本满五年 
近地铁 小区管理，中楼层，格局方正,侨滨苑,旧区,3室2厅 ,127.3, 南 北 , 精装 ,7,2000, 暂无数据,17, 一年前发布,1650000.0,"12,962元/平",近地铁 VR看装修 房本满五年 随时看房 
格局方正南向采光好 配套齐全环境优美 入住率高,祈福天龙苑,铁路西,3室1厅 ,92.08, 东南 , 毛坯 ,28,2014, 塔楼,2, 1个月以前发布,1580000.0,"17,159元/平",近地铁 VR房源 房本满两年 随时看房 
户型好，业主诚心放盘，小区配套齐全，交通便利,祈福辉煌台,铁路西,3室2厅 ,109.82, 南 , 精装 ,28,2012, 塔楼,2, 2个月以前发布,1680000.0,"15,298元/平",近地铁 VR房源 房本满两年 随时看房 
绿地新里缇香公馆 1室2厅 西南,绿地新里缇香公馆,旧区,1室2厅 ,59.73, 西南 , 其他 ,30,2016, 塔楼,0,29,800000.0,"13,394元/平",VR看装修 房本满两年 随时看房 
雅居乐锦城，小户型，看花园，安静不吵,雅居乐锦城花漾集,秀全街,2室1厅 ,49.27, 北 , 精装 ,32,2008, 塔楼,0,31,760000.0,"15,426元/平",VR看装修 房本满五年 随时看房 
滨湖壹号少有房源，南向湖景四房，业主诚心卖,新晖朗悦居,新区,4室2厅 ,136.55, 南 , 毛坯 ,22,2013, 塔楼,1,19,3700000.0,"27,097元/平",VR看装修 房本满五年 随时看房 
广州融创文旅城B1区 3室2厅 南,广州融创文旅城B1区,花城街,3室2厅 ,102.52, 南 , 毛坯 ,34,2018, 塔楼,0,26,2380000.0,"23,215元/平",VR看装修 房本满两年 随时看房 
视野开阔，格局方正 全明格局 即买即入住,雅宝新城英伦世家,秀全街,3室2厅 ,96.5, 北 , 精装 ,26,2012, 塔楼,1,28,1500000.0,"15,545元/平",VR看装修 房本满五年 随时看房 
绿地新里缇香公馆 2室2厅 北,绿地新里缇香公馆,旧区,2室2厅 ,78.57, 北 , 其他 ,30,2016, 塔楼,0,29,1150000.0,"14,637元/平",VR看装修 房本满两年 随时看房 
祈福辉煌台满五唯一，望花园不靠路,祈福辉煌台,铁路西,3室2厅 ,110.7, 东北 , 精装 ,28,2009, 塔楼,5, 2个月以前发布,1590000.0,"14,364元/平",VR房源 房本满五年 随时看房 
路劲开发 大三房保养新 花果山地铁口公园旁  教育笋盘,路劲天隽峰,旧区,3室2厅 ,111.05, 南 , 精装 ,32,2018, 塔楼,9, 2个月以前发布,2750000.0,"24,764元/平",近地铁 VR看装修 房本满两年 随时看房 
融创文旅城南北对流四房，采光通风好,广州融创文旅城B3区,花城街,4室2厅 ,143.0, 南 , 简装 ,33,2018, 塔楼,3, 1个月以前发布,3350000.0,"23,427元/平",VR看装修 房本满两年 随时看房 
地铁口3房 精装修保养很新 有电梯 首付款低,西苑小区,铁路西,3室2厅 ,94.72, 北 , 精装 ,8,2012, 平房,18, 2个月以前发布,1238000.0,"13,071元/平",近地铁 VR看装修 房本满两年 随时看房 
文苑小区 配套完善 离花都广场近 户型方正,文苑小区,旧区,3室2厅 ,112.88, 南 北 , 其他 ,7,2004, 板楼,5, 4个月以前发布,1430000.0,"12,669元/平",VR房源 房本满五年 随时看房 
全新未入住，高楼层三房精装修 一线江景洋房 采光充足,颐和盛世,炭步,3室2厅 ,101.42, 南 , 精装 ,31,2014, 塔楼,5, 3个月以前发布,810000.0,"7,987元/平",VR看装修 房本满两年 随时看房 
英伦世家单边位·户型方正·视野开阔·可以三房,雅宝新城英伦世家,秀全街,2室2厅 ,96.61, 北 , 毛坯 ,26,2012, 塔楼,4, 3个月以前发布,1500000.0,"15,527元/平",VR看装修 房本满五年 随时看房 
南华时代城.南向望园林.格局好.全新装修未入住.,南华时代城,铁路西,3室2厅 ,109.05, 南 , 精装 ,30,2010, 塔楼,13, 一年前发布,1950000.0,"17,882元/平",VR看装修 房本满两年 随时看房 
富力金港城南区 2室2厅 北,富力金港城南区,花东镇,2室2厅 ,82.14, 北 , 简装 ,19,2012, 塔楼,0, 4个月以前发布,480000.0,"5,844元/平",房本满两年 随时看房 
狮城国际二期南向中层毛坯 钥匙在手看房方便,致岭假日花园,狮岭镇,3室1厅 ,95.7, 南 , 毛坯 ,15,2017, 板塔结合,1, 3个月以前发布,1120000.0,"11,704元/平",VR看装修 房本满两年 随时看房 
此房满五，格局方正房子保养较好，环境优雅安静。,友田翡翠华庭,狮岭镇,3室2厅 ,89.2, 南 , 精装 ,12,2010, 板塔结合,3, 1个月以前发布,800000.0,"8,969元/平",VR看装修 房本满两年 随时看房 
难得的小户型南向望花园，不靠铁路不吵,云峰学府花园,秀全街,1室1厅 ,35.0, 南 , 精装 ,15,2016, 塔楼,1,29,500000.0,"14,286元/平",VR房源 房本满五年 随时看房 
花都湖板块 复式精装温馨两房 可以拎包入住,祈福生活无限,新区,2室1厅 ,39.63, 东 西 , 精装 ,12,2010, 塔楼,0,19,1080000.0,"27,253元/平",VR房源 房本满五年 随时看房 
田美小区 3室2厅 南 北,田美小区,旧区,3室2厅 ,95.42, 南 北 , 简装 ,9,1997, 板楼,23, 7个月以前发布,1200000.0,"12,576元/平",近地铁 VR看装修 房本满五年 
棠树板块，园区中间，南向望花园，跃式设计,福虹阳光美地,旧区,3室2厅 ,127.38, 南 , 精装 ,8,2004, 塔楼,0, 1个月以前发布,1689000.0,"13,260元/平",VR看装修 房本满五年 
保利花城三期对流大三房，视野好，安静，业主诚意放卖,保利花城花园,花城街,3室2厅 ,117.33, 东南 南 北 , 精装 ,18,2015, 塔楼,2,28,2285000.0,"19,475元/平",VR看装修 房本满两年 
亚瑟公馆 花园小区 满五唯一 中高层,雅宝新城亚瑟公馆,秀全街,3室2厅 ,96.12, 东 北 , 其他 ,19,2009, 塔楼,0,21,1300000.0,"13,525元/平",VR房源 房本满五年 
南向看花园，楼层好，视野宽阔，,祈福辉煌台,铁路西,1室1厅 ,65.43, 南 , 简装 ,28,2008, 塔楼,14, 6个月以前发布,870000.0,"13,297元/平",近地铁 VR房源 房本满五年 随时看房 
3房刚需户型，低税费，南向，带装修,广州融创文旅城A3区,花城街,3室2厅 ,89.53, 南 , 精装 ,33,2016, 塔楼,64, 一年前发布,2000000.0,"22,339元/平",VR看装修 房本满两年 随时看房 
格局方正 南向看花园 采光好 户型实用,合和新城,镜湖大道,3室2厅 ,96.44, 南 , 精装 ,15,2011, 平房,46, 8个月以前发布,1880000.0,"19,494元/平",VR房源 房本满五年 随时看房 
三房两厅两卫，单证高楼层，视野好，保养不错,天湖峰境,北兴镇,3室2厅 ,126.79, 北 , 精装 ,28,2010, 塔楼,5, 一年前发布,950000.0,"7,493元/平",VR看装修 房本满五年 随时看房 
户型方正，产权清晰，业主诚心卖,富力金港城东区,花东镇,2室1厅 ,83.14, 北 , 精装 ,11,2014, 塔楼,13, 一年前发布,920000.0,"11,066元/平",VR看装修 房本满五年 随时看房 
精装三房南向望花园小区 低层绿化好宜居，花果山地铁,骏威广场,旧区,3室2厅 ,131.96, 北 , 简装 ,8,2000, 塔楼,28, 一年前发布,1650000.0,"12,504元/平",近地铁 VR看装修 房本满两年 随时看房 
花城悦翠园：中高层，精点1房1厅，总*低,花城悦翠园,花山镇,1室1厅 ,25.49, 西 , 精装 ,9,2013, 塔楼,13, 4个月以前发布,260000.0,"10,201元/平",VR房源 房本满五年 随时看房 
广州融创文旅城B1区三房两厅一厨房 非顶,广州融创文旅城B1区,花城街,3室2厅 ,100.49, 东南 , 毛坯 ,34,2018, 塔楼,0, 1个月以前发布,2200000.0,"21,893元/平",VR看装修 房本满两年 随时看房 
祈福万景峰精装2房，刚需上车必选，南望花园采光好,祈福万景峰,铁路西,2室1厅 ,77.44, 南 , 精装 ,27,2017, 塔楼,21, 5个月以前发布,1230000.0,"15,884元/平",近地铁 VR房源 房本满两年 随时看房 
天龙苑装修两房，望小区园景，未入住过,祈福天龙苑,铁路西,2室2厅 ,77.03, 北 , 精装 ,27,2014, 塔楼,48, 一年前发布,1280000.0,"16,617元/平",近地铁 VR房源 房本满两年 随时看房 
配套成熟，楼下就是绿道，天马河，望亭桥步行街,天马河壹号一期,铁路西,2室2厅 ,75.22, 北 , 精装 ,18,2009, 塔楼,46, 11个月以前发布,1130000.0,"15,023元/平",近地铁 VR看装修 房本满五年 随时看房 
中高楼层 南向望花园 3房2厅2卫 全新毛坯房,豪利花园,镜湖大道,3室1厅 ,101.12, 东南 , 毛坯 ,16,2011, 塔楼,4, 1个月以前发布,1599000.0,"15,813元/平",VR房源 房本满两年 随时看房 
房屋户型方正，采光充足，南向看花园,广州融创文旅城A2区,花城街,4室2厅 ,114.27, 南 北 , 毛坯 ,33,2018, 塔楼,9, 5个月以前发布,2650000.0,"23,191元/平",VR看装修 房本满两年 随时看房 
自由人花园 刚需三房 高层 视野开阔 采光好 不靠路,自由人花园,镜湖大道,3室2厅 ,90.83, 南 , 精装 ,31,2018, 塔楼,6, 3个月以前发布,1700000.0,"18,717元/平",VR看装修 房本满两年 随时看房 
融创靓仔三房  靓楼层 业主诚心出,广州融创文旅城B1区,花城街,3室2厅 ,91.15, 南 , 毛坯 ,33,2018, 塔楼,13, 6个月以前发布,2100000.0,"23,039元/平",VR看装修 房本满两年 随时看房 
视野开阔，南向采光充足，户型方正，保养好,富力金港城东区,花东镇,3室2厅 ,95.66, 南 , 精装 ,18,2013, 塔楼,0, 6个月以前发布,1360000.0,"14,218元/平",VR看装修 房本满五年 随时看房 
南向高层大阳台，通风采光好，保养好,富力金港城东区,花东镇,3室1厅 ,93.27, 西南 , 简装 ,18,2013, 塔楼,1, 7个月以前发布,1200000.0,"12,866元/平",VR看装修 房本满两年 随时看房 
雅居乐花冠集，视野开阔，不靠高铁安静舒适，毛坯噢,雅居乐锦城花冠集,秀全街,3室2厅 ,93.0, 北 , 毛坯 ,32,2008, 塔楼,2, 9个月以前发布,1430000.0,"15,377元/平",VR看装修 房本满两年 随时看房 
雅居乐花漾集中高层视野好，满五唯一,雅居乐锦城花漾集,秀全街,3室2厅 ,92.41, 东 南 北 , 简装 ,32,2008, 塔楼,4, 3个月以前发布,1400000.0,"15,150元/平",VR看装修 房本满五年 随时看房 
南向三房2卫，证满2年随时可签，看房方便钥匙在手,广州融创文旅城A1区,花城街,3室2厅 ,99.06, 南 , 毛坯 ,33,2016, 塔楼,4, 1个月以前发布,2080000.0,"20,998元/平",VR房源 房本满两年 随时看房 
天马丽苑 望别墅区 保养好 业主急卖,天马丽苑二期,铁路西,2室2厅 ,72.43, 南 北 , 其他 ,34,2018, 塔楼,10, 3个月以前发布,1090000.0,"15,050元/平",VR看装修 房本满两年 随时看房 
南向视野宽阔  看房方便  温馨3房,合和新城,镜湖大道,3室2厅 ,94.77, 南 , 简装 ,15,2010, 平房,173, 一年前发布,1680000.0,"17,728元/平",近地铁 VR看装修 房本满五年 随时看房 
富丽花园 3室1厅 南 北,富丽花园,铁路西,3室1厅 ,73.86, 南 北 , 精装 ,9,2001, 塔楼,14, 3个月以前发布,890000.0,"12,050元/平",VR看装修 房本满两年 随时看房 
学府南苑，东南向毛坯，视野好，安静,学府南苑,秀全街,3室1厅 ,122.58, 东南 , 毛坯 ,18,2011, 塔楼,10, 4个月以前发布,1450000.0,"11,830元/平",VR房源 房本满五年 随时看房 
天隽峰　住宅小区　精装修南北对流　近地铁省级教育,路劲天隽峰,旧区,4室2厅 ,144.6, 南 北 , 精装 ,33,2019, 塔楼,10, 2个月以前发布,3900000.0,"26,971元/平",近地铁 VR房源 房本满两年 随时看房 
房屋保养新，望花园，南北对流，中高楼层，交通便利,天马丽苑二期,铁路西,3室2厅 ,92.86, 南 北 , 简装 ,35,2007, 塔楼,10, 4个月以前发布,1410000.0,"15,185元/平",VR看装修 房本满五年 随时看房 
大三房两厅两卫，中层，拎包入住。,豪利花园,镜湖大道,3室2厅 ,128.72, 东 西 , 精装 ,12,2009, 塔楼,0, 1个月以前发布,2380000.0,"18,490元/平",VR看装修 房本满两年 随时看房 
南北对流 小区清净 交通便利 绿化高,保利城花园,铁路西,3室2厅 ,103.15, 南 , 精装 ,26,2011, 塔楼,6, 3个月以前发布,1450000.0,"14,058元/平",近地铁 VR看装修 房本满五年 随时看房 
采光好，生活配套完善，小区管理,怡雅花园,旧区,3室2厅 ,123.34, 西南 , 其他 ,9,2006, 板楼,16, 4个月以前发布,1330000.0,"10,784元/平",VR看装修 房本满五年 随时看房 
万科天景花园 2室2厅 东南,万科天景花园,铁路西,2室2厅 ,79.71, 东南 , 精装 ,18,2006, 塔楼,8, 2个月以前发布,1250000.0,"15,682元/平",近地铁 房本满五年 随时看房 
繁华闹市中的一块寂静空间，配套齐全,翠华花园,铁路西,3室2厅 ,106.22, 北 , 精装 ,7,2006, 塔楼,37, 一年前发布,1260000.0,"11,863元/平",近地铁 VR房源 房本满五年 随时看房 
荣翠轩 地铁口物业 全新精装三房 电梯高层,荣翠轩,新区,3室2厅 ,98.75, 北 , 其他 ,15,2012, 塔楼,1, 3个月以前发布,1420000.0,"14,380元/平",VR房源 房本满五年 随时看房 
