实用大复式！过5年，唯一物业，税费低,锦绣生态园,钟村,4室2厅 ,202.67, 东北 , 精装 ,17,2007, 塔楼,1,18,5000000.0,"24,671元/平",VR房源 房本满五年 随时看房 
倚湖湾望湖电梯大四房业主换房急卖,祈福新村倚湖湾,祈福新村,4室1厅 ,153.8, 北 , 精装 ,33,2006, 塔楼,1,15,4100000.0,"26,658元/平",VR房源 房本满五年 
高品质精装自住大两房，随时可以看房,自在城市花园一二期,汉溪长隆,2室2厅 ,80.63, 西南 , 精装 ,18,2012, 板塔结合,0,8,2410000.0,"29,768元/平",VR看装修 房本满五年 
店长推荐：此房满五年 ，中高层 格局方正 采光好,东华花园,市桥东,3室2厅 ,94.51, 南 , 简装 ,6,2004, 板楼,0,10,2300000.0,"24,337元/平",VR看装修 房本满五年 
满五唯一 近地铁 框架结构 通风采光好 配套成熟,丹桂园,市桥,3室2厅 ,98.44, 东南 南 , 精装 ,7,2003, 板楼,0,8,1850000.0,"18,794元/平",近地铁 VR看装修 房本满五年 
富豪山庄大3房放卖，看房方便  视野好 位置安静,富豪山庄,富豪山庄,3室2厅 ,133.55, 南 北 , 精装 ,18,2013, 塔楼,0,14,3800000.0,"28,454元/平",VR房源 房本满五年 
广奥楼皇 少有放盘 电梯一梯两户 精装3房 南北双阳台,广州奥林匹克花园,洛溪,3室2厅 ,114.7, 南 , 精装 ,10,2002, 板楼,0,10,4600000.0,"40,105元/平",近地铁 VR看装修 房本满五年 
楼层好位置佳，视野开阔，采光充足配套齐全交通便利,广地花园,星河湾,2室1厅 ,79.15, 西北 , 简装 ,7,2006, 板塔结合,1,6,1920000.0,"24,176元/平",VR房源 房本满五年 
亚运城媒体南村 2室1厅 东南,亚运城媒体南村,亚运城,2室1厅 ,75.42, 东南 , 精装 ,18,2010, 塔楼,2,9,2260000.0,"29,966元/平",近地铁 VR看装修 房本满五年 
"满五唯一,精装修，南北通，格局好,视野宽采光充足",金山谷四期,金山谷,3室2厅 ,94.09, 南 , 精装 ,25,2013, 塔楼,0,10,3690000.0,"39,218元/平",近地铁 VR看装修 房本满五年 
南向三房一卫，户型方正，采光无遮挡。望江，满五,東海花園,厦滘,3室2厅 ,94.76, 东南 , 精装 ,19,2003, 塔楼,0, 1个月以前发布,4500000.0,"47,489元/平",近地铁 VR看装修 房本满五年 随时看房 
毓贤侧门两房，南向一楼带前后花园！,祈福新村A区,祈福新村,2室2厅 ,57.0, 南 , 简装 ,4,1994, 平房,4,30,1280000.0,"22,457元/平",VR看装修 房本满五年 随时看房 
有电梯缓冲到四楼 五个楼层便可享顶楼带天台养花种菜,今日丽舍,大石,2室1厅 ,61.6, 东 , 精装 ,9,1998, 塔楼,12,28,1200000.0,"19,481元/平",近地铁 VR房源 房本满五年 随时看房 
福景园 新装修 三房 有匙放便看房,福景园,桥南,2室1厅 ,63.9, 南 西 , 精装 ,8,2005, 塔楼,0,18,1290000.0,"20,188元/平",VR看装修 房本满五年 随时看房 
万科欧泊 满五省税  竖厅三房,万科欧泊,万博,3室1厅 ,95.93, 北 , 简装 ,35,2012, 板塔结合,0,21,4360000.0,"45,408元/平",近地铁 VR看装修 房本满五年 随时看房 
华侨城低楼层，南向两房，望小区园林安静舒适，满五年,华侨城(番禺),市桥,2室1厅 ,68.9, 南 , 简装 ,8,1994, 塔楼,3,20,990000.0,"14,369元/平",VR看装修 房本满两年 随时看房 
桥虹花园70年住宅 电梯南向望别墅 近番禺广场地铁口,桥虹花园,市桥北,3室1厅 ,161.43, 南 北 , 简装 ,4,2002, 塔楼,4,16,1590000.0,"9,850元/平",VR看装修 房本满两年 随时看房 
祈福新村C区 3室2厅 北,祈福新村C区,祈福新村,3室2厅 ,84.6, 北 , 简装 ,4,1995, 板楼,3,28,1700000.0,"20,095元/平",近地铁 VR看装修 房本满五年 随时看房 
新上 南向 别墅 四房有车位 过五年 实用高 看房方便,锦绣银湾,大石,4室2厅 ,150.82, 南 , 精装 ,1,2007, 板塔结合,3,29,8850000.0,"58,680元/平",VR房源 房本满五年 随时看房 
框架结构 可公积金贷款 南向户型 大阳台 采光好,番禺人民医院宿舍,市桥,2室2厅 ,79.4, 南 , 简装 ,6,1995, 板楼,8,17,1080000.0,"13,603元/平",VR看装修 房本满五年 随时看房 
店长推荐：品质精选三居室，业主诚心卖，近商圈,万科欧泊,万博,3室2厅 ,94.21, 东南 南 北 , 精装 ,39,2012, 板塔结合,4,28,4280000.0,"45,408元/平",VR看装修 房本满五年 随时看房 
店长推荐 东华一期南向小三房 中高楼层 税费少 近地铁,东华花园,市桥东,3室2厅 ,81.77, 南 , 简装 ,6,2004, 板楼,2,27,2220000.0,"27,150元/平",近地铁 VR看装修 房本满五年 随时看房 
南向刚需小两房 实用高 好出租 好居住 通风采光好,钟村商贸城,钟村,2室1厅 ,42.0, 南 , 精装 ,9,1995, 塔楼,1,29,800000.0,"19,048元/平",近地铁 VR房源 房本满五年 随时看房 
缤纷汇四房南向望整个祈福，视野开阔，采光充足！,祈福缤纷汇,祈福新村,4室2厅 ,171.35, 东南 南 , 精装 ,33,2017, 塔楼,0,21,6900000.0,"40,269元/平",近地铁 VR看装修 房本满两年 
创新城区域谷围新村 低层东南向四房 一梯两户南北对流,谷围新村,国际创新城,4室2厅 ,127.44, 东南 , 精装 ,2,2004, 板楼,3,23,2850000.0,"22,364元/平",VR看装修 房本满五年 
广地花园双层 314.5平方 大6房 看房方便,广地花园,星河湾,6室1厅 ,314.5, 南 , 其他 ,7,2006, 板塔结合,0,30,5980000.0,"19,015元/平",VR房源 房本满两年 
满五西南向电梯高层非顶楼视野宽阔采光充足装修保养好,丽江花园康城居,南浦,4室2厅 ,122.0, 西南 , 精装 ,9,1999, 塔楼,1,23,3380000.0,"27,705元/平",VR看装修 房本满五年 
江南新村 精装修2居室 证过五年唯一 宋全屋家电,江南新村,市桥北,2室2厅 ,85.0, 北 , 精装 ,7,1998, 塔楼,0,26,1550000.0,"18,236元/平",VR看装修 房本满五年 
满五年   户型方正 南向阳台 配套齐全 交通便利,南苑大厦,市桥,3室2厅 ,128.4, 南 , 简装 ,7,1997, 塔楼,1,18,1490000.0,"11,605元/平",VR房源 房本满五年 
西城花园南向3房，证过五年，中间楼层，,西城花园,市桥,3室1厅 ,83.19, 南 , 简装 ,8,1998, 塔楼,1,23,1400000.0,"16,829元/平",VR看装修 房本满五年 
星河湾盘 番禺 C B D 2字头上车盘 看房方便 保养好,广地花园,星河湾,2室2厅 ,74.96, 北 , 精装 ,7,2006, 板塔结合,3,23,1820000.0,"24,176元/平",VR房源 房本满五年 
海滨花园三期 电梯房 中高楼层 过五年 唯一,海滨花园,洛溪,3室1厅 ,100.9, 西北 , 精装 ,12,1998, 塔楼,2,29,2700000.0,"26,760元/平",VR房源 房本满五年 
好房好赞快速卖出，业主诚心放卖。,广州雅居乐花园雅逸庭,雅居乐,4室2厅 ,158.47, 南 , 精装 ,11,2010, 塔楼,0,20,5850000.0,"36,884元/平",VR房源 房本满五年 
此房过五年唯一 少有的户型 户型方正 通风对流 大阳台,海龙湾,南浦,3室2厅 ,110.7, 东南 西北 , 简装 ,11,2004, 塔楼,0,16,3250000.0,"29,359元/平",VR房源 房本满五年 
禺华园，地铁口700米，靓楼层。,禺华园,市桥,3室2厅 ,76.94, 东南 , 精装 ,7,1998, 塔楼,0,17,1680000.0,"21,836元/平",近地铁 VR看装修 房本满五年 
实用干净方正三房 南向户型通透光线好 合适居住好房子,如意花园,洛溪,2室2厅 ,69.05, 南 , 简装 ,7,1993, 板楼,0,17,1530000.0,"22,158元/平",近地铁 VR看装修 房本满五年 
祈福康怡居一楼四房带大园子 保养好无遮挡 通风采光好,祈福新村康怡居,祈福新村,4室2厅 ,108.43, 东北 , 简装 ,6,2002, 板楼,3,24,3230000.0,"29,789元/平",VR房源 房本满两年 
广州雅居乐花园剑桥郡 3室2厅 南,广州雅居乐花园剑桥郡,雅居乐,3室2厅 ,101.49, 南 , 简装 ,32,2013, 塔楼,3,18,4850000.0,"47,788元/平",近地铁 VR房源 房本满五年 
祈福新村湖景居中层大三房 双阳台设计 户型方正实用,祈福新村湖景居,祈福新村,3室2厅 ,102.0, 南 , 简装 ,4,1998, 板楼,1,16,2350000.0,"23,040元/平",VR看装修 房本满五年 
海伦堡电梯3房 南向 望园景 过五税费低,番禺海伦堡,桥南,3室2厅 ,102.1, 南 , 精装 ,17,2005, 塔楼,1,29,3200000.0,"31,342元/平",VR房源 房本满五年 
康北，电梯中高层，东南向，过五唯一 ，不靠路,康裕北苑,市桥,3室2厅 ,101.4, 东南 , 简装 ,13,2005, 塔楼,3,27,2990000.0,"29,488元/平",近地铁 VR看装修 房本满五年 
亚运城媒体南村小区中间位置，靓装修保养新，安静舒适,亚运城媒体南村,亚运城,2室2厅 ,91.66, 南 , 精装 ,22,2010, 塔楼,2,24,2450000.0,"26,730元/平",近地铁 VR看装修 房本满五年 
东湖洲花园一区 南北对流 南望江 北望花园 景观好,东湖洲花园1区,番禺客运站,4室2厅 ,180.59, 南 北 , 精装 ,22,2009, 塔楼,3,16,6500000.0,"35,994元/平",VR房源 房本满五年 
昊龙花园 高层景观—流 心旷神怡 户型好 小区密度低,昊龙花园南区,桥南,3室2厅 ,102.5, 北 , 精装 ,9,2007, 塔楼,1,27,3080000.0,"30,049元/平",VR看装修 房本满五年 
：南向单位，视野宽阔，采光充足，配套设施齐全,番禺万达广场,万博,1室1厅 ,50.0, 南 , 简装 ,31,2014, 塔楼,3,17,710000.0,"14,200元/平",近地铁 房本满五年 随时看房 
3号线500米精装修温馨两房采光通透视野开阔可拎包入住,富丽家园永富楼,大石,2室1厅 ,58.1, 东南 , 精装 ,8,1995, 塔楼,4,15,1200000.0,"20,655元/平",近地铁 VR看装修 房本满五年 随时看房 
东南向中空复式设计位置中间两边无遮挡，使用率高,祈福新村山泉居,祈福新村,6室2厅 ,218.87, 东南 , 简装 ,6,2004, 板楼,0,11,5980000.0,"27,323元/平",VR房源 房本满五年 随时看房 
高层东南望江 ，方正三房，采光通风好，装修保养新,丽江花园星海洲,南浦,3室2厅 ,100.23, 东南 , 精装 ,25,1999, 塔楼,1,8,2800000.0,"27,936元/平",VR看装修 房本满五年 随时看房 
华南碧桂园翠山蓝天苑 4室2厅 东,华南碧桂园翠山蓝天苑,华南碧桂园,4室2厅 ,172.05, 东 , 精装 ,8,2007, 塔楼,0,6,6150000.0,"35,746元/平",VR看装修 房本满两年 随时看房 
侨丰苑 3室1厅 南,侨丰苑,市桥,3室1厅 ,80.6, 南 , 精装 ,6,1998, 塔楼,0,15,1550000.0,"19,231元/平",VR房源 房本满五年 随时看房 
过五年，位置安静，视野开阔，业主诚心卖,广州碧桂园美苑,南浦,2室2厅 ,68.0, 东北 , 毛坯 ,7,1998, 塔楼,1,4,1850000.0,"27,206元/平",近地铁 VR房源 房本满五年 随时看房 
三期南北对流双阳台三房，楼龄新满五省税，业主急出,广州星河湾荟心园,星河湾,3室2厅 ,120.0, 南 北 , 简装 ,9,2001, 板楼,0,12,4060000.0,"33,759元/平",VR看装修 房本满五年 随时看房 
市桥地铁站500米  小区中间位置 楼层好 南北对流,康富花园,市桥,3室2厅 ,103.0, 南 , 简装 ,7,1998, 塔楼,7,15,1930000.0,"18,738元/平",近地铁 VR看装修 房本满五年 随时看房 
少有碧桂园东南向一楼花园68方，采光通风都很好。,广州碧桂园雅苑,南浦,3室2厅 ,88.7, 东南 , 精装 ,6,1998, 塔楼,3,13,3650000.0,"41,150元/平",近地铁 VR房源 房本满五年 随时看房 
地铁200米，小区中间位置，中楼层，南北对流,来福苑,市桥,3室2厅 ,105.0, 南 北 , 精装 ,8,2000, 塔楼,0,8,2200000.0,"20,953元/平",近地铁 VR看装修 房本满五年 
此房证过五年 三房两卫 格局方正,东华花园,市桥东,3室1厅 ,89.8, 北 , 其他 ,6,2004, 板楼,1,7,2150000.0,"23,943元/平",VR看装修 房本满五年 
南向开阔大三房景观阳台，过五年税费少。,自在城市花园一二期,汉溪长隆,3室2厅 ,121.25, 东南 , 简装 ,11,2004, 塔楼,1,8,3610000.0,"29,768元/平",VR房源 房本满五年 
枫林绿洲南向一楼 带100方左右花-园 证满五年唯一物业,富豪山庄,富豪山庄,4室2厅 ,148.7, 南 , 精装 ,4,2013, 塔楼,1,4,5980000.0,"40,216元/平",VR房源 房本满五年 
一步到位四房套房保养好 邻近名都商圈、教育、市场,祈福新村海晴居,祈福新村,4室2厅 ,111.7, 北 , 精装 ,6,2003, 板楼,0,3,3480000.0,"31,155元/平",VR房源 房本满两年 
今日丽舍小区精装3房 中层视野采光好 满五省税,今日丽舍,大石,3室2厅 ,97.47, 西南 , 精装 ,23,2004, 塔楼,0,4,2580000.0,"26,470元/平",近地铁 VR看装修 房本满五年 
锦绣生态园 电梯3房 东南向 高楼层 保养好,锦绣生态园,钟村,3室2厅 ,70.7, 东南 , 精装 ,12,1993, 塔楼,0,3,1550000.0,"21,924元/平",VR看装修 房本满五年 
复式5房 带前后花园 证满5年 精装修 南北向,万科金色城品,沙湾,5室2厅 ,87.54, 南 , 精装 ,8,2001, 塔楼,0,20,5200000.0,"59,402元/平",VR房源 房本满五年 
中区大三房！！！步梯南向低层！！！,祈福新村青怡居,祈福新村,3室2厅 ,105.3, 南 , 精装 ,5,2001, 板塔结合,2,23,3130000.0,"29,725元/平",VR房源 房本满五年 随时看房 
地铁口600米 繁华地段  南北对流 全新精装修 拎包入住,友谊大厦,市桥,3室2厅 ,109.28, 东南 南 , 精装 ,7,1995, 塔楼,3, 1个月以前发布,1780000.0,"16,289元/平",近地铁 VR看装修 房本满五年 随时看房 
祈福新村湖景居 3室2厅 北,祈福新村湖景居,祈福新村,3室2厅 ,79.18, 北 , 精装 ,4,1998, 板楼,5,19,1750000.0,"22,102元/平",VR房源 房本满两年 随时看房 
证过5年唯一省税  有钥匙   仅41000每平  急卖,锦绣香江花园山水园,汉溪长隆,3室2厅 ,117.0, 南 北 , 精装 ,11,2004, 塔楼,1,28,4080000.0,"34,850元/平",VR看装修 房本满五年 随时看房 
东秀园 南北对流  现代新装修 近地铁 电梯3房 带平台,东秀园,番禺广场,3室2厅 ,99.8, 南 , 精装 ,8,1996, 塔楼,2,22,2550000.0,"25,552元/平",近地铁 VR看装修 房本满五年 随时看房 
山水华府一期靓位置 带30方入户  4+1户型对流,锦绣香江花园山水华府,汉溪长隆,4室2厅 ,231.66, 南 东南 , 精装 ,16,2010, 板塔结合,112, 2个月以前发布,8080000.0,"34,850元/平",VR房源 房本满五年 
广州碧桂园乐苑 4室1厅 东南,广州碧桂园乐苑,南浦,4室1厅 ,198.0, 东南 , 简装 ,6,1998, 塔楼,1, 1个月以前发布,6000000.0,"30,304元/平",近地铁 VR房源 房本满五年 
满五，南北对流，大阳台花园，保养好，安静望花园,亚运城技术官员村,亚运城,4室2厅 ,169.01, 南 , 简装 ,11,2010, 塔楼,39, 6个月以前发布,4680000.0,"27,691元/平",VR房源 房本满五年 
富丽广场 近地铁精装4房 视野开阔 光线好 业主急卖,富丽广场,大石,4室1厅 ,117.44, 东 东南 南 , 精装 ,6,1995, 板塔结合,0,17,2380000.0,"20,266元/平",近地铁 VR房源 房本满两年 
特惠好房，温馨大两房，配套齐全交通便利,东方白云花园,市桥北,2室2厅 ,87.39, 北 , 简装 ,15,2005, 塔楼,0,11,1950000.0,"22,314元/平",VR看装修 房本满五年 
房子朝南向，格局方正实用，采光通风佳！过五年唯一！,祈福新村康怡居,祈福新村,2室1厅 ,66.66, 南 , 精装 ,6,2002, 板楼,3,14,1596000.0,"23,943元/平",VR房源 房本满五年 
满五省税费 望花园  保养好！！,万科欧泊,万博,3室2厅 ,96.2, 西南 , 精装 ,35,2012, 板塔结合,0,9,4370000.0,"45,408元/平",近地铁 VR看装修 房本满五年 
金山谷大2房 南向单边位 拎包入住 地铁口 校区旁,金山谷八期,金山谷,2室2厅 ,75.68, 东南 南 , 精装 ,21,2013, 塔楼,0,12,2350000.0,"31,052元/平",近地铁 VR看装修 房本满两年 
喜运楼 2室2厅 南,喜运楼,市桥北,2室2厅 ,60.67, 南 , 简装 ,7,1996, 塔楼,2,14,930000.0,"15,329元/平",近地铁 VR看装修 房本满五年 
昊龙花园南区 2室1厅 北,昊龙花园南区,桥南,2室1厅 ,67.44, 北 , 简装 ,5,2007, 塔楼,0,8,1820000.0,"26,987元/平",VR房源 房本满五年 
南浦海滨花园 临 近地铁2号线 低密度小区 环境优美,南浦海滨花园,南浦,2室1厅 ,80.33, 西北 , 精装 ,5,2002, 塔楼,1,8,2300000.0,"28,632元/平",近地铁 VR看装修 房本满五年 
满五唯一、采光通风好、保养新净、舒适两房,亚运城媒体北村,亚运城,2室2厅 ,84.7, 南 北 , 精装 ,22,2010, 塔楼,3,15,2270000.0,"26,801元/平",近地铁 VR看装修 房本满五年 
祈福新村康怡居 2室1厅 南,祈福新村康怡居,祈福新村,2室1厅 ,61.0, 南 , 精装 ,6,2002, 板塔结合,1,12,1550000.0,"25,410元/平",VR房源 房本满五年 
小区中间114方东南向三房两卫电梯房，满五唯一税费少,绿庭雅苑,桥南,3室2厅 ,114.32, 南 , 精装 ,7,2005, 塔楼,0,11,2780000.0,"24,318元/平",VR看装修 房本满五年 
楼of the King 单位，南向望别墅，满五省税费！！,万科欧泊,万博,3室2厅 ,95.46, 南 , 精装 ,33,2012, 板塔结合,0,9,4340000.0,"45,408元/平",近地铁 VR看装修 房本满五年 随时看房 
新城市宜家 次新小区 刚需两房 近地铁 南向户型,新城市宜家,大石,2室1厅 ,69.08, 南 , 精装 ,9,2017, 塔楼,2,12,2100000.0,"30,400元/平",近地铁 VR看装修 房本满两年 
户型方正、实用，采光通风好，小区绿化好，居住舒服,庄士映蝶蓝湾,石楼,2室1厅 ,60.33, 南 北 , 精装 ,17,2012, 平房,1,13,1300000.0,"21,549元/平",VR看装修 房本满两年 
江丽苑，南向三房，满五免征增值税，适合刚需家庭入手,江丽苑(番禺区),市桥,3室1厅 ,75.0, 南 北 , 简装 ,8,1996, 塔楼,3, 2个月以前发布,1100000.0,"14,667元/平",VR看装修 房本满五年 随时看房 
此房满五年  一楼带花 园 朝向好 采光充足 交通便利,广州碧桂园美苑,南浦,3室2厅 ,102.5, 西南 , 精装 ,7,1998, 塔楼,5, 3个月以前发布,3880000.0,"37,854元/平",近地铁 VR房源 房本满五年 随时看房 
全新精美装修，过五年，税费低廉，户型方正实用近地铁,德安新村,市桥,3室1厅 ,91.62, 北 , 精装 ,7,1993, 塔楼,43, 3个月以前发布,1850000.0,"20,193元/平",近地铁 VR看装修 房本满五年 随时看房 
一楼带前后花园 祈福新村E区 交通便利  证过5年,祈福新村E区,祈福新村,3室2厅 ,91.15, 北 , 精装 ,4,1995, 塔楼,1, 3个月以前发布,2130000.0,"23,369元/平",VR看装修 房本满五年 随时看房 
田心社区 独栋，小区管理，证满五，南阳里，户型方正,田心社区,市桥,5室2厅 ,125.62, 东南 , 简装 ,4,1990, 塔楼,13, 2个月以前发布,1380000.0,"10,986元/平",VR房源 房本满五年 随时看房 
南向中间楼层。户型方正，光线很好，南北对流,金沙湾花园,沙湾,3室2厅 ,109.0, 南 , 简装 ,6,2007, 塔楼,10, 4个月以前发布,2380000.0,"21,835元/平",VR看装修 房本满五年 随时看房 
丽景花园 交通便利 方正户型 通风采光好,丽景花园,市桥,4室2厅 ,115.17, 南 , 简装 ,7,1995, 塔楼,74, 一年前发布,1430000.0,"12,417元/平",房本满五年 随时看房 
东沙小区 3室1厅 南,东沙小区,市桥,3室1厅 ,81.3, 南 , 精装 ,6,1995, 板楼,10, 1个月以前发布,1490000.0,"18,328元/平",VR看装修 房本满五年 随时看房 
楼层刚刚好，采光充足。配套齐全，交通便利，业主好说,华侨城(番禺),市桥,3室1厅 ,68.42, 南 , 精装 ,8,1994, 塔楼,31, 7个月以前发布,1200000.0,"17,539元/平",VR看装修 房本满两年 随时看房 
地铁300米 框架方正大三房 南北对流采光好  省级北城,氮肥厂宿舍,市桥,3室2厅 ,86.7, 南 , 精装 ,7,2000, 塔楼,62, 10个月以前发布,1480000.0,"17,071元/平",近地铁 VR看装修 房本满五年 随时看房 
碧桂园南向大三房 小区中间位置 通风采光好 安静不吵,广州碧桂园美苑,南浦,3室2厅 ,102.5, 西南 , 简装 ,7,1998, 塔楼,10, 4个月以前发布,2700000.0,"26,342元/平",近地铁 VR看装修 房本满五年 随时看房 
店长推荐：满五税费少 采光通风好 方便看房,东华花园,市桥东,3室2厅 ,94.3, 东北 北 , 简装 ,6,2004, 板楼,88, 11个月以前发布,2150000.0,"22,800元/平",VR看装修 房本满五年 随时看房 
124平方大三房中高楼层采光好房随意装修，格局方正,裕丰新村,亚运城,3室2厅 ,124.37, 北 , 毛坯 ,17,2008, 塔楼,3, 1个月以前发布,1950000.0,"15,680元/平",VR看装修 房本满两年 随时看房 
金山谷领仕近学院近地铁近门口产权清晰,金山谷四期,金山谷,3室1厅 ,95.06, 北 , 精装 ,29,2013, 塔楼,1, 1个月以前发布,3600000.0,"37,871元/平",近地铁 VR房源 房本满五年 随时看房 
东南向 全新未入住 中高层 竖厅,万科欧泊,万博,3室2厅 ,95.49, 南 , 精装 ,35,2012, 板塔结合,12, 2个月以前发布,4340000.0,"45,408元/平",VR看装修 房本满五年 随时看房 
店长推荐   产权清晰   已满5年  近地铁  近富都 星海,鸣翠苑,市桥北,3室2厅 ,90.7, 东北 , 精装 ,6,2001, 塔楼,7, 2个月以前发布,2380000.0,"26,241元/平",近地铁 VR看装修 房本满五年 随时看房 
地铁口600米，装修好四楼三房，过五唯一，生活便利,华苑楼,市桥,3室2厅 ,97.7, 东 , 简装 ,8,2000, 塔楼,112, 一年前发布,1650000.0,"16,889元/平",近地铁 VR看装修 房本满五年 随时看房 
倚湖湾二期 实用三房套房 南北对流 保养好 过五年唯一,祈福新村倚湖湾二期,祈福新村,3室2厅 ,105.0, 北 , 简装 ,4,2012, 板楼,0, 1个月以前发布,2550000.0,"24,286元/平",VR看装修 房本满五年 随时看房 
番安宿舍 近地铁，大三房，满五，装修保养好,番安宿舍,市桥北,3室2厅 ,102.7, 西南 , 精装 ,7,1998, 塔楼,44, 7个月以前发布,1420000.0,"13,827元/平",近地铁 VR看装修 房本满五年 随时看房 
房子过五      电梯高层      没遮挡,雅居乐锦官城雍容南台,沙湾,3室2厅 ,98.25, 北 , 简装 ,15,2011, 塔楼,24, 一年前发布,2650000.0,"26,973元/平",VR看装修 房本满五年 随时看房 
锦绣半岛西区 4室1厅 西,锦绣半岛西区,南浦,4室1厅 ,162.0, 西 , 简装 ,25,2009, 塔楼,32, 5个月以前发布,3980000.0,"24,568元/平",VR看装修 房本满两年 随时看房 
店长推荐：一尺山居 满五省税 刚需三房 保养好,广州雅居乐花园一尺山居,雅居乐,3室2厅 ,100.77, 东北 , 精装 ,23,2009, 塔楼,0, 5个月以前发布,3720000.0,"36,884元/平",VR房源 房本满五年 随时看房 
康乐园 低楼层 南向三房  配套成熟 交通便利,康乐园,市桥,3室2厅 ,79.4, 南 东南 , 简装 ,7,1990, 塔楼,54, 一年前发布,1700000.0,"21,411元/平",近地铁 VR看装修 房本满五年 随时看房 
楼下就是地铁口 环境优美 精装三房 楼层高 通风采光好,新月明珠花园,大石,3室2厅 ,110.79, 西南 , 精装 ,22,2007, 塔楼,18, 7个月以前发布,3750000.0,"33,848元/平",近地铁 VR看装修 房本满两年 随时看房 
缤纷汇优质三房套房   视野开阔,祈福缤纷汇,祈福新村,3室2厅 ,96.56, 北 , 精装 ,33,2016, 板塔结合,1, 2个月以前发布,3350000.0,"34,694元/平",近地铁 VR看装修 房本满两年 随时看房 
石桥新村 3室1厅 南,石桥新村,市桥,3室1厅 ,73.5, 南 , 精装 ,7,1995, 塔楼,8, 1个月以前发布,1298000.0,"17,660元/平",近地铁 VR看装修 房本满五年 随时看房 
丽江花园华林居 望湖对流3房 采光通风好 视野好,丽江花园华林居,南浦,4室2厅 ,103.4, 东北 , 简装 ,8,1998, 塔楼,16, 3个月以前发布,3200000.0,"30,948元/平",VR看装修 房本满五年 随时看房 
"框架结构，可用公积金贷款, 南北對流。",工业路,市桥,3室2厅 ,70.44, 南 , 精装 ,7,1993, 塔楼,3, 1个月以前发布,1260000.0,"17,888元/平",VR看装修 房本满五年 随时看房 
