,位置,次数
386,东方夏湾拿,138
387,大城云山,325
388,雅居乐滨江花园,62
389,人盛巴厘天地,674
390,人盛城市假日花园,12
391,紫泉流溪湾,285
392,紫泉翠荔嘉园,314
393,丰盈雅居,9
394,云星钱隆天誉,169
395,温馨家园,4
396,珠江壹城,318
397,星河绿洲,19
398,上城湾畔东区,80
399,御景宏雅花园,45
400,逸泉映翠,63
401,珠光流溪御景,148
402,荔山雅筑,81
403,富力泉天下,358
404,珠光御景山水城,48
405,建宏德怡花苑,9
406,华标荔苑,126
407,名城御景绿洲,69
408,逸泉山庄,149
409,星汇峰,73
410,君源御湖城,161
411,流溪河山庄,14
412,莱茵水岸,35
413,欣荣宏国际商贸城,40
414,爱尚流溪,8
415,宏诚海岸花园,12
416,夏日港湾,28
417,城市印象,31
418,雍禾苑,16
419,上城湾畔C区别墅,10
420,智汇国际,48
421,亿城泉说,6
422,利泰花林湖畔,103
423,侨宏花园,12
424,彩虹苑,15
425,荔林春晓,53
426,内街一巷,3
427,回归路小区,9
428,骏逸湖畔花苑,23
429,康乐东路,8
430,景业荔都,30
431,盛会青云府,10
432,从化怡景楼,11
433,小城大院,4
434,望谷温泉小镇,48
435,红荔新村,2
436,广东动漫城,19
437,逸景雅轩,6
438,上城湾畔B区,57
439,新光百德广场,124
440,宏润天睿,28
441,旺利花苑,3
442,西宁西路,3
443,居礼润园,6
444,海洋广场,9
445,汉中紫薇苑,6
446,广从南路,3
447,岭南首府,12
448,关围新村,4
449,翡翠城,12
450,荔景园(从化区),6
451,都市华庭(从化),3
452,时代名苑,17
453,保利桃花源,10
454,蜜糖苑,6
455,上横南路,5
456,新境界豪廷,9
457,貝月湾,3
458,骏雅名庭,3
459,玫瑰園,3
460,富逸华庭,14
461,俊嘉汇绿名居,3
462,海景居,3
463,智杰花园,3
464,碧溪路,3
465,小海南路,3
466,城内路,3
467,托斯卡纳(从化区),3
468,新村北路市政总公司公寓,3
469,建云西路,3
470,锦绣花园,3
471,新城中路,3
472,東富廣場,6
473,内街,3
474,人盛大厦,9
475,智杰雅筑,6
476,云星夏日南湾,6
477,怡富绿色家园,9
478,蓝田东路,3
479,新时代家园,5
480,环城路,3
481,教育路(从化),3
482,银农楼,3
483,花园路(从化),3
484,西宁中路,3
485,兴丰苑,3
486,珠光云岭湖,3
487,宏润花园,3
488,诚信大厦,3
489,河东北路,4
490,太平花园,2
491,金景楼,2
492,从化商贸城,2
493,光大花园中海锦榕湾,13
494,泊雅湾,7
495,船舶厂宿舍,1
496,华乐苑,7
497,富力千禧花园,15
498,东翠花园金麟台,6
499,保利花园(海珠),33
500,杏坛小区,5
501,保利百合花园,6
502,天鹅湾,8
503,江南花园,12
504,凤安花园,8
505,英豪花园,10
506,珠江帝景苑,56
507,珠江帝景苑合生紫龙府,12
508,保利天悦公寓,33
509,基建新村,4
510,瑞宝花园,7
511,荔福路,5
512,江景苑,6
513,保利海棠花园,2
514,可逸豪苑,7
515,芭堤水岸,9
516,穗发花园,9
517,宝岗大厦,13
518,海印南苑,8
519,富景花园,18
520,下渡路,1
521,中海名都,18
522,金乐大厦,1
523,中山大学宿舍,16
524,嘉仕花园东区,34
525,东晓花苑,2
526,远洋宿舍（晓港）,6
527,顺景雅苑,14
528,广东轻工学院宿舍,2
529,电器研究所,2
530,大江苑南贤大街,3
531,海景阁,4
532,力迅时光里,13
533,江南新苑,19
534,富力银禧花园,23
535,丰盈居,6
536,光大花园榕岸,16
537,中旅侨苑,3
538,珠江广场,18
539,翠馨华庭,11
540,光大花园榕景四季,15
541,海悦大厦,3
542,瀚林水岸,3
543,鸿运花园,13
544,聚德花园,25
545,纵横公寓,7
546,逸景翠园,28
547,柏涛雅苑,8
548,信和广场,4
549,万华花园,12
550,海琴湾,9
551,沙园,8
552,棕榈园,4
553,江湾花苑,3
554,金碧花园第一金碧,26
555,怡安花园,13
556,金碧花园第三金碧,35
557,洪德雅苑,5
558,叠彩园,15
559,嘉鸿花园金玫瑰苑,8
560,金影花园,8
561,沙园大厦,1
562,侨诚花园,13
563,珠江御景湾,6
564,愉景雅苑,20
565,海富花园,9
566,合生颐景华苑,5
567,珠影大院,4
568,悦安花园,3
569,岭南小区,1
570,洪德居,8
571,光大花园,20
572,基立北街四航局宿舍,1
573,琴海居,5
574,宝岗大道,7
575,银山尚橙,4
576,怡雅苑(海珠),8
577,前进路(海珠),12
578,益鹏翠苑,3
579,玫瑰园,7
580,荟翠苑,8
581,杏园小区,4
582,金融街融御,1
583,康怡花苑,4
584,新安街5号-47号(单号)宿舍,4
585,明珠花园(海珠区),18
586,富力金禧花园,5
587,金碧花园第二金碧,21
588,素社新村,20
589,凤凰新村,15
590,保利红棉花园,17
591,罗马家园,19
592,橡胶新村102号大院,4
593,江燕花园,3
594,海洋雅苑,1
595,同福东路,2
596,金碧湾,4
597,南晓苑,7
598,愉景南苑,12
599,祈乐苑,15
600,嘉鸿花园,4
601,昌岗中路,1
602,怡乐路,4
603,龙田西街口机电宿舍,1
604,南方花园,3
605,赤岗二街3-7号,2
606,嘉丽苑,5
607,雅郡花园,11
608,南华花园,8
609,晓园新村晓园新,6
610,晓燕湾,4
611,花城湾畔,4
612,海珠半岛花园,20
613,侨雅苑(海珠区),2
614,昌岗西路,1
615,杏林小区,1
616,龙华苑,2
617,邓岗小区,1
618,翠怡小区,6
619,保利丰花园,6
620,君华江畔豪园,7
621,鸿新苑,2
622,东银广场,8
623,康泰花苑(海珠区),5
624,晓安花园,7
625,草芳苑,7
626,佳滨苑,2
627,兰亭熙园,3
628,晓港湾,23
629,粤安大厦,5
630,穗花新村,14
631,爱都铭轩,2
632,南园居,4
633,凤阳小区,7
634,盈丰华轩,4
635,江南苑,3
636,兰亭颖园,2
637,南丽苑,1
638,江南大道南,2
639,华怡花园,4
640,南箕花苑,5
641,细岗路,2
642,泓景花园,6
643,怡雅居,5
644,同福西路,1
645,南洲名苑,13
646,财智大厦,3
647,翠屏中惠雅苑,4
648,荔福花园,2
649,华标涛景湾,3
650,中港四航局宿舍,4
651,珠光高派华庭,5
652,新鸿花园二期,6
653,中信君庭,6
654,富力现代广场,18
655,华标品峰台,1
656,翠城花园,26
657,明晖苑,1
658,江南雅居,5
659,万翠苑,2
660,心江南,1
661,广发新村,2
662,金盛大厦,3
663,鸣翠花园,5
664,赤岗路97号大院,2
665,金星花园,2
666,双子星城,6
667,丽影华庭C区,2
668,锦丽居,9
669,滨江瑞城,7
670,南洲花苑AB区,13
671,穗宁花园,3
672,南洲花苑C区,2
673,晓园新村晓园东,6
674,昌盛小区,6
675,江南西路,4
676,影城花园,3
677,赤岗苑,11
678,坚真花园,3
679,福景居,2
680,南燕苑,1
681,德怡居,1
682,银业国际公寓,2
683,南珠广场,5
684,绿茵翠庭,5
685,江南美景花园,16
686,金穗雅园,7
687,森语星园,3
688,新怡苑,2
689,金丰花园,7
690,雅景苑,2
691,光大花园水岸榕城,5
692,富江阁,2
693,东兴阁,1
694,逸蓝华庭,2
695,世港花园,2
696,佳大银湾,5
697,燕子岗路,1
698,东华星域,3
699,海新街11-19号宿舍（单号）,1
700,侨诚花园宝通街,3
701,汇美南苑,1
702,锦骏华庭,4
703,洪德路,7
704,天汇大厦,3
705,绿地滨江汇,1
706,荔福小区,2
707,恒洲小苑,1
708,嘉仕花园西区,8
709,和辉花园,7
710,鸿辉阁,3
711,合生广场,1
712,珠江新岸公寓,6
713,雅致花园,1
714,赤岗路89号大院,1
715,海逸花园,6
716,尚领时代,4
717,广纸小区,2
718,会展世界城,4
719,南田路,2
720,南晖苑,2
721,万丰花园,2
722,南景园,3
723,江南大道南水厂宿舍,3
724,保利百合花园二期,5
725,海意名苑,5
726,鸿荣阁,1
727,顺华名庭,9
728,保利天悦花园,6
729,乐居苑,6
730,新理想华庭,4
731,丽景湾,6
732,海洋研究所宿舍,4
733,天立俊园,1
734,中海锦苑,5
735,东翠花园,4
736,怡景湾,3
737,新凤凰后街1-5号大院,1
738,金昌大厦,5
739,侨宏大厦,7
740,中信乐涛苑,6
741,朗晴居一期,2
742,江南大道中,10
743,滨江1933,5
744,穗南大厦,4
745,晓南花园,3
746,工业大道南425号大院,3
747,一棉大院,1
748,广船宿舍,2
749,索丽苑,3
750,信步闲庭,7
751,润南花园,3
752,蓝色快线,6
753,广东教育学院,5
754,恒鑫东和湾,4
755,警官学院,5
756,金海湾花园,3
757,江畔华庭,4
758,利安花园,5
759,南北广场,7
760,米兰苑,5
761,省总工会宿舍,3
762,万科金域华庭,6
763,世纪云顶雅苑,7
764,宝怡阁,4
765,帝景华苑,2
766,蓝色康园,23
767,翔韵雅居,1
768,罗马家园龙禧,2
769,鸣翠花园四期,2
770,大江苑大江冲,1
771,可逸名庭,2
772,佳信花园,5
773,明珠东苑,4
774,新鸿花园一期,4
775,中顺领御公馆,4
776,港务局宿舍,4
777,会展西岸,4
778,凤阳苑,1
779,江南嘉居,2
780,康大路,1
781,广州手表厂宿舍,1
782,金雅苑,20
783,海天花苑,7
784,五一新村,6
785,泰沙路,1
786,南村路,4
787,江丽苑(海珠区),5
788,益丰花园,5
789,松园大厦(海珠区),3
790,滨江水恋,8
791,瑞康路,1
792,经典居,1
793,海琴湾宜利苑,3
794,宏宇广场罗马假日,1
795,滨江东路549号大院,3
796,鹅潭明珠苑,3
797,碧蓝映居,1
798,官洲北苑,5
799,上渡路电信宿舍,3
800,丽海雅居,2
801,万科派,3
802,晓港雅筑,2
803,金穗东苑,5
804,万松园,1
805,红十字会医院宿舍牛奶厂街1号大院,1
806,凤乐雅轩,5
807,鸿富大厦,2
808,粤信广场,5
809,元邦明月园,4
810,名粤广场,1
811,聚龙花园,3
812,荣信大厦,1
813,芳草轩,5
814,畔江花园,3
815,润汇大厦,5
816,南翠苑,3
817,江畔楼,1
818,下渡大街47号大院,1
819,江山国际,3
820,橡胶新村远洋宿舍,1
821,明都华庭泊岸森邻,2
822,中海橡园国际,8
823,海珠花园,1
824,宏宇广场,5
825,中海联同福睿府,4
826,富基广场,15
827,中山二院南院宿舍,1
828,怡龙大厦,3
829,源海御苑,4
830,珠江大家庭花园,4
831,新港商厦,1
832,毛纺小区,1
833,富力尚溢居,1
834,万寿路,2
835,柏蕙花园,8
836,南丰阁,4
837,金豪嘉苑,2
838,江南翠菊园,4
839,汇美景台,6
840,滨江明珠,5
841,瑞康大厦,2
842,骏和大厦,2
843,亿海湾,3
844,东晓花园,1
845,朗晴居二期,3
846,晓港花苑,4
847,信达阳光海岸,1
848,高雅湾,6
849,恒龙苑,3
850,晓园新村晓园南,1
851,可逸家园,2
852,新港西路143号大院,1
853,倚江楼,2
854,兰亭御园,1
855,南轩阁,2
856,怡乐花园,4
857,天誉半岛花园,3
858,丽水庭园,1
859,翠园,2
860,万寿雅苑,2
861,怡海路,1
862,粤昆苑,1
863,明源楼,1
864,穗龙花园,1
865,中广大厦,3
866,小港路,1
867,可逸锦苑,1
868,晓港东一马路,6
869,鹭江富华楼,2
870,东丰阁,2
871,赤岗一街大院赤岗一街,4
872,城市职业学院教工宿舍,1
873,江怡路228号,5
874,保利康桥,2
875,工业大道中377号大院,1
876,弘基广场,3
877,南华西路,3
878,晓怡居,1
879,紫丹阁,3
880,南方花园二期合生帝景国际,1
881,新世界大厦,1
882,星品,1
883,东晓路,4
884,梅园西路,1
885,祥庆花园,1
886,逸华轩,2
887,工业大道北,2
888,宝岗路,2
889,同福中路,3
890,荣德阁,1
891,革新路,2
892,怡龙苑,2
893,星御翠园,1
894,碧海大厦,1
895,新滘医院宿舍,1
896,丽景花苑,1
897,和平家园,4
898,海傍居,1
899,光华小区,1
900,大江苑夏沙巷,2
901,听涛雅苑,2
902,天心宿舍,1
903,光大花园和榕风景,2
904,缝纫机厂宿舍,2
905,嘉银华庭,1
906,南洲路695-733号宿舍（单号）,1
907,荟贤大厦,1
908,汇源小区(海珠区),1
909,远锋大厦,3
910,海康小区,1
911,同福东路田心坊,1
912,浪琴居,1
913,新港西路,1
914,康隆苑,1
915,蝶翠新居,3
916,花季华庭,1
917,同福中路联鹤大街,1
918,富力顺意花园,4
919,蟠龙花园,2
920,石岗路34号大院,4
921,海天大厦,1
922,江怡路,1
923,基立大厦,2
924,滨江东路(海珠),2
925,荣校大院,1
926,大学印象,2
927,东晓大厦,1
928,电子七所大院,1
929,敦和路225-243号宿舍（单号）,2
930,星海明珠,1
931,领江壹号,1
932,琶洲新村,1
933,华保花园,1
934,富力朗逸轩,2
935,轻工手表厂宿舍,1
936,天海庭,2
937,晓港东马路,1
938,丽影华庭B区,1
939,海逸半岛,1
940,泰沙路733号-739号宿舍(单号),1
941,梅园阁,1
942,聚雅苑,1
943,紫金楼,1
944,新业路20-42号（双号）,3
945,佳兆业君汇上品,1
946,景致花园,2
947,云锦居,1
948,德盛苑,1
949,榕苑,1
950,跃进新村,1
951,昌龙苑,1
952,南华东路,1
953,敦和法院宿舍,1
954,动感华庭,2
955,金紫里北街机电大院,2
956,敦和花园,3
957,敦和商务公寓,1
958,丽园雅庭,1
959,赤岗二街1号大院,1
960,利海假日轩,1
961,龙祥大厦,1
962,江南大道北,2
963,群星苑,2
964,赤岗三街17至23号小区,2
965,侨燕苑,1
966,荔海鸣蝉花园,1
967,时代廊桥,1
968,君晖苑,1
969,加怡花园,2
970,好信广场,1
971,富泽园,2
972,金汇花园,1
973,工业大道中,1
974,东晓苑,1
975,南天阁,1
976,豪利花园,55
977,雅居乐万科热橙,20
978,雅居乐御宾府,5
979,中房观湖国际,15
980,西苑小区,5
981,钻石豪庭,6
982,南华时代城,79
983,雅居乐雍华廷二期,15
984,大运家园,19
985,天马河壹号一期,32
986,俊怡云山御居,17
987,富丽花园,20
988,华景雅苑德维轩,2
989,凯旋门,8
990,智烨山水豪庭,27
991,南航碧花园D区,4
992,云峰学府花园,17
993,雅居乐锦城花冠集,25
994,富力金港城东区,68
995,金碧御水山庄,27
996,花都阳光家园,5
997,美力花园,8
998,云峰花园4期,21
999,嘉信华庭,9
1000,天马丽苑二期,98
1001,尚品雅居领秀,6
1002,祈福辉煌台,80
1003,路劲天隽峰,21
1004,祈福天龙苑,64
1005,鼎信四季花园,10
1006,天马河壹号五期,15
1007,新晖朗悦居,5
1008,保利高尔夫郡,50
1009,保利花城花园,17
1010,广州市花都区秀全中学宿舍,2
1011,新鸿基御华园,22
1012,骏威锦东花园A区,14
1013,宝铼雅居,52
1014,锦尚蓬莱苑,14
1015,凤华路,2
1016,侨苑小区(花都区),2
1017,福虹阳光美地,11
1018,雅宝新城亚瑟公馆,13
1019,腾步大厦,2
1020,凯旋国际,7
1021,元邦山清水秀,11
1022,花都美景花园,2
1023,航都花园,13
1024,万科天景花园,45
1025,侨滨苑,2
1026,绿地新里缇香公馆,7
1027,雅居乐锦城花漾集,14
1028,广州融创文旅城B1区,25
1029,雅宝新城英伦世家,14
1030,广州融创文旅城B3区,13
1031,文苑小区,4
1032,颐和盛世,35
1033,富力金港城南区,10
1034,致岭假日花园,10
1035,友田翡翠华庭,3
1036,祈福生活无限,9
1037,田美小区,3
1038,广州融创文旅城A3区,10
1039,合和新城,40
1040,天湖峰境,27
1041,骏威广场,19
1042,花城悦翠园,3
1043,祈福万景峰,21
1044,广州融创文旅城A2区,21
1045,自由人花园,49
1046,广州融创文旅城A1区,14
1047,学府南苑,16
1048,保利城花园,87
1049,怡雅花园,17
1050,翠华花园,29
1051,荣翠轩,7
1052,雅致苑,2
1053,银菊花小区,6
1054,日昌豪苑,5
1055,芙蓉春晓,21
1056,富力金港城北区,26
1057,雅宝新城,6
1058,湖畔花园,10
1059,祈福聚龙堡,2
1060,南华广场,2
1061,银珠苑小区,2
1062,骏威锦东花园B区,10
1063,南航花园,18
1064,云峰花园1期,17
1065,东骏花园,9
1066,梅园新村(花都区),2
1067,美雅苑,3
1068,骏怡居,2
1069,碧桂园假日半岛鸟语花香,2
1070,华南路,5
1071,美域华庭,4
1072,阳光雅居,5
1073,永星景苑,9
1074,花都颐和山庄,4
1075,华侨花园,3
1076,荣芳楼,2
1077,新都雅居,4
1078,朗悦君廷,13
1079,五洲花园,2
1080,万虹花园,17
1081,馨泉花园,2
1082,建设北路,6
1083,广州融创文旅城商务公寓,3
1084,碧桂园空港国际,7
1085,锦鹏苑,4
1086,澳景蓝庭,3
1087,新都城市花园,8
1088,摩登华雅轩,3
1089,美阁花园,4
1090,雅居乐雍逸豪庭,5
1091,艺景明苑,7
1092,逸贤苑,3
1093,金华花园,8
1094,新源雅居,5
1095,杏林花园,7
1096,银星花园,9
1097,公园前路,3
1098,永大新城,15
1099,秀全大道,2
1100,天马河壹号,13
1101,豪骏名苑,8
1102,骏威锦东花园C区,9
1103,勤天一品树院,13
1104,狮峰花园,3
1105,美林轩逸时光,10
1106,云峰花园3期,4
1107,碧桂园联合广场,2
1108,天马河国际公馆,15
1109,骏辉园,6
1110,祈福都会花园,16
1111,小城之春雅居,4
1112,好美嘉园,13
1113,秀全苑,2
1114,深航御花园,2
1115,金都花园,13
1116,金河湾花园一期,4
1117,恒辉小区,4
1118,紫薇丽都,4
1119,宏城大厦,2
1120,怡翠苑,8
1121,碧泰豪苑,13
1122,雅宝新城雅宝名居,11
1123,花都银燕大厦,19
1124,翠景苑(花都),2
1125,翠华绿茵苑,6
1126,逸泉韵翠花园,33
1127,玖珑湖悦源庄,3
1128,达明阁,2
1129,花都富豪山庄,3
1130,路劲隽悦豪庭一期,3
1131,碧桂园假日半岛映翠苑,6
1132,锦尚名苑,7
1133,雅宝新城名门世家,17
1134,金色华庭,4
1135,百合豪园,9
1136,朗庭雅居,4
1137,雅居乐雍华廷一期,6
1138,桂园楼小区,3
1139,金鹏花园,4
1140,美力百富雅苑二期,5
1141,尚品雅居悦庭,4
1142,半山茗苑,5
1143,云港花园,5
1144,岭南公馆,5
1145,阳光倚翠,3
1146,东悦雅苑,3
1147,嘉汇城一期,11
1148,保利高尔夫郡水晶宫寓,4
1149,百合雅居,5
1150,云珠花园,7
1151,富银路,3
1152,永愉花园,9
1153,建设路(花都区),5
1154,华盛新村,2
1155,华贵苑,4
1156,雅乐苑,3
1157,金穗华庭,3
1158,美力盈彩花苑,11
1159,时代美居,3
1160,公园前9号小区,2
1161,友田茗轩,5
1162,狮城苑,4
1163,班芙小镇,4
1164,宜华居,4
1165,金狮华庭,5
1166,友田朗逸雅居,6
1167,友田碧云轩,2
1168,华都新村,3
1169,雅居乐锦城花锦集,3
1170,天马河壹号四期,14
1171,嘉逸华庭,13
1172,路劲隽悦豪庭二期三期,5
1173,新都花园,2
1174,红菊花大厦,2
1175,金融街花溪小镇,6
1176,保利翡翠山,4
1177,在水一方,2
1178,狮峰公馆,12
1179,经济贸易职业技术学校,2
1180,平福小区,2
1181,华天大厦,5
1182,雅居乐锦城花间集,8
1183,金福馨庭,2
1184,花城路,5
1185,风神公社,10
